Player,Season,VORP,DWS,PER,FTA,TOV,PTS,AllNBA_pred_proba,Class
Tim Hardaway,1990,5.2,2.5,20.9,4.6,3.3,22.9,0.2,0
Terry Porter,1990,6.2,3.9,21.7,4.2,2.3,17.0,0.17,0
Brad Daugherty,1990,3.1,3.6,19.9,7.6,2.8,21.6,0.17,0
Hersey Hawkins,1990,4.1,3.3,19.4,6.9,2.7,22.1,0.14,0
Reggie Miller,1990,4.6,0.8,21.2,7.3,2.0,22.6,0.12,0
Larry Nance,1990,4.2,3.6,20.6,4.1,1.6,19.2,0.12,0
Mark Price,1990,1.1,0.6,21.7,3.9,3.5,16.9,0.07,0
Isiah Thomas,1990,2.0,2.3,17.4,4.8,3.9,16.2,0.04,0
Detlef Schrempf,1990,2.6,1.6,18.6,6.6,2.1,16.1,0.04,0
Vlade Divac,1990,2.5,4.8,17.7,3.4,1.8,11.2,0.04,0
Charles Smith,1990,2.1,3.6,17.6,6.5,2.2,20.0,0.03,0
Roy Tarpley,1990,0.2,0.3,23.6,3.6,2.6,20.4,0.03,0
Larry Bird,1990,3.8,3.6,19.7,3.1,3.1,19.4,0.03,0
Michael Jordan,1991,9.2,5.6,27.7,7.4,2.5,30.1,1.0,1
Charles Barkley,1991,6.1,3.7,24.5,8.7,3.1,23.1,1.0,2
David Robinson,1991,7.4,6.9,27.5,8.3,2.7,23.2,1.0,1
Patrick Ewing,1991,5.5,6.9,22.8,6.2,2.5,24.0,0.99,2
Karl Malone,1991,5.9,5.2,25.4,10.7,3.1,28.0,0.99,1
Clyde Drexler,1991,7.4,4.5,23.6,6.6,3.2,25.0,0.98,1
John Stockton,1991,8.1,4.6,22.8,4.5,3.5,15.8,0.97,2
Scottie Pippen,1991,6.4,5.5,21.5,5.3,3.1,21.0,0.92,2
Mark Price,1991,4.2,1.6,22.7,4.0,2.2,17.3,0.87,3
Dennis Rodman,1991,4.0,7.0,17.0,1.7,1.7,9.8,0.85,3
Brad Daugherty,1991,4.5,3.5,23.0,7.3,2.5,21.5,0.81,3
Tim Hardaway,1991,4.1,2.0,19.1,4.8,3.3,23.4,0.79,2
Chris Mullin,1991,4.8,2.7,19.9,5.2,2.5,25.6,0.78,1
Kevin Johnson,1991,4.0,2.9,19.9,7.1,3.5,19.7,0.78,3
Kevin Willis,1991,1.7,4.1,19.7,4.5,2.4,18.3,0.67,3
Hakeem Olajuwon,1991,4.6,5.6,23.7,6.1,2.7,21.6,0.38,0
Dominique Wilkins,1991,2.7,1.3,22.2,8.4,2.9,28.1,0.17,0
Reggie Miller,1991,3.6,1.7,17.6,6.3,1.9,20.7,0.14,0
Glen Rice,1991,2.9,1.7,17.5,4.0,1.8,22.3,0.1,0
Jeff Hornacek,1991,4.9,3.8,18.9,3.9,2.1,20.1,0.1,0
Horace Grant,1991,5.2,5.0,20.6,3.9,1.2,14.2,0.08,0
Larry Nance,1991,5.2,4.0,21.4,4.0,1.1,17.0,0.08,0
Pervis Ellison,1991,3.0,3.7,19.9,4.7,3.0,20.0,0.05,0
Reggie Lewis,1991,3.3,3.5,17.9,4.2,1.7,20.8,0.05,0
Derrick Coleman,1991,2.3,2.6,19.5,6.0,3.8,19.8,0.04,0
Micheal Williams,1991,3.9,3.2,18.4,5.4,3.0,15.0,0.04,0
Joe Dumars,1991,2.2,2.5,15.4,5.8,2.4,19.9,0.04,0
Mitch Richmond,1991,1.5,1.5,16.3,5.1,3.1,22.5,0.03,0
Larry Bird,1991,3.1,2.5,21.0,3.6,2.8,20.2,0.03,0
Danny Manning,1991,4.6,4.5,19.7,4.7,2.6,19.3,0.03,0
Michael Jordan,1992,10.2,5.2,29.7,7.3,2.7,32.6,1.0,1
Charles Barkley,1992,7.1,4.8,25.9,7.7,3.1,25.6,1.0,1
Hakeem Olajuwon,1992,7.8,8.0,27.3,7.0,3.2,26.1,0.99,1
Karl Malone,1992,7.3,5.0,26.2,10.2,2.9,27.0,0.99,1
David Robinson,1992,6.8,6.4,24.2,9.3,2.9,23.4,0.97,3
Derrick Coleman,1992,4.4,5.1,21.2,6.9,3.2,20.7,0.9,3
Mark Price,1992,4.4,2.3,22.1,4.1,2.6,18.2,0.86,1
John Stockton,1992,6.2,3.4,21.3,4.5,3.2,15.1,0.86,2
Dominique Wilkins,1992,4.9,1.4,24.3,8.8,2.6,29.9,0.85,2
Patrick Ewing,1992,4.0,8.1,20.8,6.9,3.3,24.2,0.84,2
Tim Hardaway,1992,3.7,1.6,19.7,5.6,3.3,21.5,0.8,3
Dražen Petrović,1992,2.5,2.6,17.3,5.2,2.9,22.3,0.8,3
Larry Johnson,1992,3.5,2.5,18.9,5.3,2.8,22.1,0.75,2
Scottie Pippen,1992,4.7,4.8,19.2,4.3,3.0,18.6,0.74,3
Joe Dumars,1992,3.2,1.3,17.6,5.2,1.8,23.5,0.69,2
Brad Daugherty,1992,4.7,3.9,22.0,6.9,2.1,20.2,0.15,0
Reggie Miller,1992,4.7,1.7,19.4,5.9,1.8,21.2,0.15,0
Danny Manning,1992,2.8,3.1,19.6,6.1,2.9,22.8,0.14,0
Detlef Schrempf,1992,4.2,2.9,19.2,8.0,3.0,19.1,0.12,0
Shawn Kemp,1992,2.6,5.1,20.4,6.4,2.8,17.8,0.11,0
Dikembe Mutombo,1992,2.7,5.5,17.2,6.0,2.6,13.8,0.06,0
Clifford Robinson,1992,2.8,4.3,18.8,5.1,2.1,19.1,0.06,0
Nick Anderson,1992,3.5,3.7,17.3,5.1,2.1,19.9,0.04,0
Rony Seikaly,1992,1.0,3.3,18.0,7.5,2.8,17.1,0.03,0
