Player,Season,VORP,DWS,PER,FTA,TOV,DRB,AllNBA_pred_proba,Class
Baron Davis,2006,3.2,2.3,21.0,5.9,3.1,3.6,0.040535267,0
Marcus Camby,2006,4.0,5.1,19.1,3.2,1.7,9.3,0.038908023,0
LeBron James,2007,9.8,4.6,29.1,10.3,3.4,6.1,0.99959356,1
Chris Paul,2007,9.3,4.6,28.3,4.9,2.5,3.2,0.99941516,1
Manu Ginóbili,2007,6.0,4.5,24.3,6.0,2.7,3.9,0.99590343,3
Kobe Bryant,2007,6.3,4.3,24.2,9.0,3.1,5.2,0.9893132,1
Kevin Garnett,2007,6.0,6.2,25.3,4.7,1.9,7.3,0.9853263,1
Dirk Nowitzki,2007,6.0,4.0,24.6,7.1,2.1,7.3,0.97950256,2
Paul Pierce,2007,5.0,5.7,19.6,6.1,2.8,4.5,0.96857667,3
Dwight Howard,2007,3.7,6.4,22.9,10.9,3.2,10.8,0.95757055,1
Yao Ming,2007,2.8,4.1,22.5,7.4,3.3,7.7,0.9496657,3
Amar'e Stoudemire,2007,4.6,3.8,27.6,8.7,2.2,6.8,0.94850105,2
Steve Nash,2007,4.2,1.4,21.1,3.0,3.6,3.1,0.94081557,2
Tim Duncan,2007,4.8,6.2,24.4,5.9,2.3,8.3,0.93788254,2
Deron Williams,2007,4.5,2.3,20.8,5.0,3.4,2.5,0.9342093,2
Carlos Boozer,2007,3.5,4.3,21.9,4.9,2.6,8.0,0.8535551,3
Tracy McGrady,2007,3.1,3.8,18.4,5.4,2.4,4.5,0.55979526,3
Carmelo Anthony,2007,2.5,3.0,21.1,7.7,3.3,5.1,0.16925856,0
Baron Davis,2007,4.5,2.8,19.8,5.2,2.8,3.5,0.13324192,0
Marcus Camby,2007,3.8,5.9,17.2,2.6,1.5,10.2,0.13064185,0
Chris Bosh,2007,3.9,3.1,23.8,8.3,2.3,6.1,0.11087726,0
Allen Iverson,2007,4.0,2.8,20.9,9.7,3.0,2.4,0.092633836,0
Caron Butler,2007,3.5,2.4,20.7,4.5,2.6,5.1,0.091368064,0
Andre Iguodala,2007,4.9,4.4,19.0,6.2,2.6,4.4,0.078766696,0
Chauncey Billups,2007,6.2,3.4,23.6,5.6,2.1,2.2,0.061110593,0
Vince Carter,2007,3.3,2.2,18.8,5.6,2.4,4.5,0.06104865,0
Hedo Türkoğlu,2007,3.6,3.5,17.8,4.8,3.0,4.7,0.060254596,0
Pau Gasol,2007,3.2,2.1,21.6,5.5,1.9,6.0,0.053038195,0
Josh Smith,2007,3.7,4.6,19.0,5.8,3.0,6.2,0.047750223,0
Metta World Peace,2007,2.6,2.2,18.8,5.2,2.6,4.0,0.04291544,0
Gerald Wallace,2007,2.5,2.8,17.5,6.9,2.9,5.1,0.030289862,0
Lamar Odom,2007,3.2,4.3,16.9,4.3,2.0,8.1,0.02769347,0
Dwyane Wade,2008,9.6,4.4,30.4,9.8,3.4,3.9,0.9999509,1
Dwight Howard,2008,4.7,7.6,25.4,10.7,3.0,9.6,0.99979967,1
LeBron James,2008,11.8,6.5,31.7,9.4,3.0,6.3,0.99958974,1
Chris Paul,2008,9.9,5.0,30.0,6.7,3.0,4.7,0.9978243,2
Kobe Bryant,2008,5.9,4.0,24.4,6.9,2.6,4.1,0.99304295,1
Brandon Roy,2008,6.0,2.6,24.0,6.5,1.9,3.4,0.97514504,2
Tim Duncan,2008,4.7,5.0,24.4,6.4,2.2,8.0,0.9592165,2
Pau Gasol,2008,5.0,4.2,22.2,5.4,1.9,6.4,0.9504541,3
Dirk Nowitzki,2008,4.2,3.4,23.1,6.7,1.9,7.3,0.9478548,1
Yao Ming,2008,3.3,5.0,22.7,5.7,3.0,7.2,0.91074806,2
Tony Parker,2008,3.5,3.0,23.4,5.0,2.6,2.7,0.90284836,3
Paul Pierce,2008,3.9,4.8,17.7,6.8,2.8,5.0,0.8309754,2
Shaquille O'Neal,2008,2.1,2.2,22.3,6.9,2.2,5.9,0.82725215,3
Chauncey Billups,2008,3.8,2.2,18.8,5.8,2.2,2.6,0.78865355,3
Carmelo Anthony,2008,1.5,2.6,19.0,7.1,3.0,5.2,0.7607283,3
Deron Williams,2008,3.8,1.9,21.1,5.6,3.4,2.5,0.13498968,0
Andre Iguodala,2008,4.3,3.5,18.4,6.4,2.7,4.6,0.12979123,0
Chris Bosh,2008,3.5,3.1,22.1,8.0,2.3,7.2,0.072418064,0
Kevin Garnett,2008,3.5,4.1,21.2,2.3,1.6,7.1,0.05956434,0
Danny Granger,2008,4.2,2.4,21.8,6.9,2.5,4.4,0.04687361,0
Kevin Durant,2008,3.8,2.7,20.8,7.1,3.0,5.5,0.043714385,0
Josh Smith,2008,2.3,3.6,17.2,5.2,2.3,5.3,0.043261167,0
Rajon Rondo,2008,4.0,5.1,18.8,3.4,2.6,4.0,0.03537724,0
Rashard Lewis,2008,4.1,4.8,16.8,3.4,2.0,4.6,0.031147227,0
David Lee,2008,2.0,3.1,19.0,4.1,1.9,8.6,0.020429494,0
Gerald Wallace,2008,3.7,4.6,18.6,6.4,2.1,6.2,0.016159695,0
Emeka Okafor,2008,1.5,4.6,18.0,4.5,1.8,6.7,0.014284222,0
Troy Murphy,2008,3.3,3.4,17.8,2.5,1.6,9.8,0.014219732,0
David West,2008,2.0,3.5,18.9,5.5,2.1,6.4,0.011978963,0
Manu Ginóbili,2008,2.4,2.3,22.9,4.3,2.0,4.0,0.011790554,0
Dwyane Wade,2009,7.9,4.6,28.0,9.1,3.3,3.5,0.9998522,1
Dwight Howard,2009,4.6,7.1,24.0,10.0,3.3,9.7,0.999373,1
LeBron James,2009,10.3,5.2,31.1,10.2,3.4,6.4,0.99897987,1
Kevin Durant,2009,7.5,5.0,26.2,10.2,3.3,6.3,0.99766016,1
Tim Duncan,2009,5.0,4.5,24.7,4.8,1.8,7.3,0.99196786,3
Steve Nash,2009,4.2,0.8,21.6,2.8,3.6,2.9,0.96299565,2
Carmelo Anthony,2009,2.9,2.4,22.2,8.9,3.0,4.4,0.92556405,2
Amar'e Stoudemire,2009,2.2,2.5,22.6,7.7,2.6,6.1,0.92085874,2
Kobe Bryant,2009,4.4,4.0,21.9,7.4,3.2,4.3,0.9164376,1
Brandon Roy,2009,4.1,2.1,21.3,6.8,2.0,3.3,0.8889731,3
Deron Williams,2009,4.1,3.0,20.6,5.5,3.3,3.3,0.8792842,2
Dirk Nowitzki,2009,4.7,3.9,22.9,7.2,1.8,6.7,0.84747875,2
Pau Gasol,2009,4.2,4.2,22.9,5.6,2.2,7.6,0.8293549,3
Andrew Bogut,2009,2.8,4.8,20.7,3.4,1.9,7.1,0.7791964,3
Joe Johnson,2009,3.4,2.4,19.3,3.5,1.9,3.7,0.67707276,3
Carlos Boozer,2009,3.7,4.6,21.3,4.9,2.7,8.9,0.110202104,0
Josh Smith,2009,5.1,5.1,21.0,5.2,2.4,6.0,0.09243704,0
Rajon Rondo,2009,4.2,4.7,19.1,3.5,3.0,3.2,0.08184859,0
Manu Ginóbili,2009,4.7,3.2,22.5,4.7,2.1,2.9,0.07880113,0
Chris Paul,2009,3.5,1.5,23.7,4.2,2.5,3.8,0.06623843,0
Nenê,2009,3.6,3.7,18.9,5.1,1.5,5.6,0.061047,0
Chris Bosh,2009,3.6,1.7,25.0,8.4,2.4,7.9,0.05904354,0
Gerald Wallace,2009,3.7,6.2,18.3,7.2,2.3,8.1,0.05310776,0
Andre Iguodala,2009,3.5,2.8,17.8,5.2,2.7,5.5,0.0433745,0
Chauncey Billups,2009,3.6,1.7,20.2,7.0,2.4,2.8,0.04037365,0
Troy Murphy,2009,2.9,3.7,18.0,2.7,1.4,8.4,0.03882751,0
David Lee,2009,3.5,2.9,22.2,4.1,2.3,8.9,0.02848669,0
Danny Granger,2009,2.9,2.7,19.8,6.9,2.5,4.4,0.0218829,0
Russell Westbrook,2009,2.3,3.4,17.8,5.1,3.3,3.1,0.021802034,0
Derrick Rose,2009,2.7,2.5,18.6,4.3,2.8,2.9,0.012254434,0
LeBron James,2010,7.8,5.3,27.3,8.4,3.6,6.5,0.99954164,1
Dwyane Wade,2010,6.1,4.7,25.6,8.6,3.1,4.8,0.99900013,2
Dwight Howard,2010,5.4,7.7,26.1,11.7,3.6,10.1,0.99809235,1
Derrick Rose,2010,6.7,4.8,23.5,6.9,3.4,3.1,0.9938087,1
Pau Gasol,2010,5.2,4.7,23.3,5.2,1.7,6.9,0.9926764,2
Russell Westbrook,2010,4.4,3.1,23.6,7.7,3.9,3.1,0.9903162,2
Kobe Bryant,2010,5.0,3.5,23.9,7.1,3.0,4.1,0.9711066,1
Zach Randolph,2010,3.2,3.7,22.6,5.3,2.0,7.8,0.9669393,3
Chris Paul,2010,6.7,4.4,23.7,4.8,2.2,3.6,0.9413475,3
Kevin Durant,2010,5.3,3.3,23.6,8.7,2.8,6.1,0.90645075,1
Amar'e Stoudemire,2010,2.4,2.6,22.7,7.7,3.2,5.6,0.88844955,2
LaMarcus Aldridge,2010,3.4,3.5,21.5,5.5,1.9,5.3,0.85881394,3
Dirk Nowitzki,2010,4.5,3.3,23.4,6.1,1.9,6.3,0.7413217,2
Al Horford,2010,3.9,3.7,20.7,2.4,1.5,7.0,0.677655,3
Manu Ginóbili,2010,4.5,3.2,21.7,5.1,2.2,3.2,0.6570851,3
Carmelo Anthony,2010,2.7,2.5,21.7,7.9,2.7,5.8,0.10658541,0
Steve Nash,2010,3.3,0.7,20.8,3.3,3.5,2.9,0.10535854,0
Tim Duncan,2010,3.5,4.0,21.9,3.4,1.6,6.7,0.08806154,0
David West,2010,3.0,3.4,20.4,4.7,2.0,5.3,0.073947996,0
Paul Pierce,2010,4.6,5.1,19.7,5.6,2.1,5.0,0.064527765,0
Chauncey Billups,2010,2.7,1.4,18.7,5.8,2.5,2.3,0.038522527,0
Kevin Love,2010,4.2,2.5,24.3,6.8,2.1,10.7,0.037525665,0
Nenê,2010,3.2,3.1,20.4,5.4,1.8,5.7,0.030988047,0
Chris Bosh,2010,2.3,4.3,19.4,6.1,1.8,6.5,0.026736928,0
Gerald Wallace,2010,2.4,3.6,16.2,5.3,2.1,6.5,0.024009768,0
Josh Smith,2010,3.2,4.5,19.2,4.1,2.6,6.8,0.02328778,0
Kevin Garnett,2010,3.8,5.6,20.6,3.1,1.6,7.7,0.022987392,0
Andrew Bogut,2010,1.9,5.1,16.7,3.3,1.9,8.0,0.019101165,0
Danny Granger,2010,2.9,3.2,17.8,5.9,2.6,4.3,0.015725702,0
Tony Parker,2010,2.4,2.4,20.4,3.9,2.6,2.7,0.012239904,0
LeBron James,2011,7.6,4.5,30.7,8.1,3.4,6.4,0.999683,1
Kevin Durant,2011,5.8,3.7,26.2,7.6,3.8,7.4,0.9979266,1
Dwight Howard,2011,3.3,4.4,24.2,10.6,3.2,10.8,0.992411,1
Russell Westbrook,2011,3.0,2.4,22.9,6.3,3.6,3.1,0.95967,2
Dwyane Wade,2011,4.0,2.9,26.3,6.1,2.6,3.3,0.93054,3
Chris Paul,2011,6.1,2.3,27.0,5.0,2.1,2.9,0.90376127,1
Kobe Bryant,2011,2.9,2.0,21.9,7.8,3.5,4.3,0.850395,1
Andrew Bynum,2011,2.6,3.3,22.9,5.6,2.5,8.6,0.843183,2
Tony Parker,2011,2.3,1.6,22.0,4.7,2.6,2.5,0.8111142,2
Kevin Love,2011,3.9,2.3,25.4,8.4,2.3,9.2,0.80763745,2
Tyson Chandler,2011,2.2,3.6,18.7,5.1,1.6,6.5,0.7577726,3
Rajon Rondo,2011,2.1,3.4,17.5,3.4,3.6,3.7,0.75597364,3
Blake Griffin,2011,3.4,2.6,23.4,7.1,2.3,7.6,0.7334528,2
Carmelo Anthony,2011,2.7,2.6,21.1,6.7,2.6,4.7,0.7058269,3
Dirk Nowitzki,2011,3.0,2.6,21.7,5.7,1.9,6.0,0.68011594,3
Paul Pierce,2011,3.2,3.7,19.6,5.6,2.8,4.6,0.10119375,0
Kyle Lowry,2011,2.3,1.6,18.8,4.2,2.8,3.7,0.06492823,0
Josh Smith,2011,3.3,4.9,21.1,4.9,2.5,7.5,0.061942793,0
Pau Gasol,2011,3.3,3.1,20.4,4.0,2.2,7.6,0.061143227,0
Derrick Rose,2011,2.9,2.0,23.0,6.1,3.1,2.7,0.045119904,0
Greg Monroe,2011,2.6,2.7,22.0,4.1,2.4,6.0,0.027060093,0
James Harden,2011,3.1,1.8,21.1,6.0,2.2,3.6,0.020808585,0
Rudy Gay,2011,2.4,3.3,17.8,4.0,2.5,4.4,0.019656893,0
Marc Gasol,2011,3.1,4.0,18.4,4.9,1.9,7.1,0.016164972,0
John Wall,2011,1.6,1.9,17.7,6.1,3.9,3.8,0.014820192,0
LaMarcus Aldridge,2011,2.5,1.6,22.7,5.0,2.0,5.3,0.012953609,0
Paul Millsap,2011,3.1,2.9,21.8,4.0,1.8,6.0,0.011663576,0
Al Jefferson,2011,3.0,2.5,22.8,2.9,1.0,7.4,0.011073215,0
Ryan Anderson,2011,3.0,1.9,21.2,2.8,0.9,4.0,0.0064006364,0
Brandon Jennings,2011,2.8,1.8,18.4,3.6,2.2,2.7,0.0062026144,0
LeBron James,2012,9.9,4.7,31.6,7.0,3.0,6.8,0.9996151,1
Kevin Durant,2012,8.9,5.3,28.3,9.3,3.5,7.3,0.99945825,1
Kobe Bryant,2012,5.0,2.6,23.0,8.0,3.7,4.7,0.9795218,1
Paul George,2012,4.4,6.3,16.8,3.5,2.9,6.5,0.97764957,3
Russell Westbrook,2012,4.6,3.9,23.9,7.0,3.3,3.9,0.9712034,2
Tim Duncan,2012,3.8,4.9,24.4,4.3,2.1,8.1,0.9476432,1
Dwight Howard,2012,1.8,4.8,19.4,9.5,3.0,9.1,0.94761324,3
Dwyane Wade,2012,3.8,3.5,24.0,6.2,2.8,3.7,0.9351638,3
Chris Paul,2012,6.4,3.4,26.4,4.6,2.3,3.0,0.92801213,1
James Harden,2012,5.8,3.0,22.9,10.2,3.8,4.1,0.9153543,3
Carmelo Anthony,2012,3.9,2.0,24.8,7.6,2.6,4.9,0.8806992,2
Tony Parker,2012,3.1,2.3,23.0,5.0,2.6,2.7,0.88051236,2
David Lee,2012,2.8,3.7,19.2,4.1,2.6,8.5,0.83751845,3
Marc Gasol,2012,5.1,5.4,19.5,4.0,2.0,5.5,0.81114453,2
Blake Griffin,2012,4.0,3.9,22.4,5.3,2.3,6.0,0.7703373,2
Paul Pierce,2012,3.6,3.7,19.1,5.5,2.8,5.7,0.27429774,0
Deron Williams,2012,4.2,1.8,20.3,4.7,2.8,2.6,0.17189132,0
Brook Lopez,2012,3.0,2.6,24.7,5.3,1.8,4.1,0.05931382,0
Manu Ginóbili,2012,2.0,2.4,19.0,3.4,2.2,2.9,0.05441778,0
Stephen Curry,2012,5.6,2.8,21.3,3.7,3.1,3.3,0.046039067,0
Al Jefferson,2012,2.8,3.3,20.9,2.8,1.3,7.2,0.029445538,0
Mike Conley,2012,4.6,4.7,18.3,3.5,2.4,2.3,0.022204004,0
Rajon Rondo,2012,1.5,2.0,18.1,2.4,3.9,4.4,0.018825885,0
David West,2012,3.7,4.7,20.1,4.3,2.2,5.7,0.018244168,0
Joakim Noah,2012,3.3,4.7,18.1,3.6,2.7,7.2,0.017927727,0
John Wall,2012,2.4,2.2,20.8,6.2,3.2,3.3,0.017285388,0
Greg Monroe,2012,2.6,3.2,19.5,4.8,2.9,6.7,0.013259199,0
Kyrie Irving,2012,3.0,1.1,21.4,4.9,3.2,3.1,0.009207434,0
Ty Lawson,2012,2.5,1.8,17.9,4.3,2.5,2.2,0.00849803,0
Zach Randolph,2012,1.5,4.7,17.9,3.9,2.0,7.2,0.008112785,0
Kevin Durant,2013,9.6,4.4,29.8,9.9,3.5,6.7,0.99966836,1
LeBron James,2013,7.9,3.7,29.3,7.6,3.5,5.9,0.9993919,1
Stephen Curry,2013,6.7,4.0,24.1,4.5,3.8,3.7,0.9991509,2
James Harden,2013,5.3,2.7,23.5,9.1,3.6,3.9,0.99605775,1
Kevin Love,2013,7.7,3.7,26.9,8.2,2.5,9.6,0.9929612,2
LaMarcus Aldridge,2013,2.7,3.5,21.8,5.2,1.8,8.7,0.9814811,3
Paul George,2013,5.0,6.4,20.1,5.8,2.8,6.0,0.9783131,3
Blake Griffin,2013,4.7,4.1,23.9,8.4,2.8,7.1,0.96584934,2
Chris Paul,2013,5.8,3.2,25.9,5.6,2.3,3.7,0.959983,1
Al Jefferson,2013,3.0,4.7,22.7,3.8,1.7,8.7,0.94619733,3
Dwight Howard,2013,2.3,4.1,21.3,9.0,3.2,8.9,0.93510896,2
Joakim Noah,2013,5.2,6.6,20.0,4.2,2.4,7.7,0.92868054,1
Goran Dragić,2013,4.0,2.0,21.4,5.5,2.8,2.3,0.9136128,3
Damian Lillard,2013,3.9,1.8,18.6,5.2,2.4,3.1,0.83176446,3
Tony Parker,2013,1.5,1.9,18.9,3.6,2.2,2.0,0.7288791,2
Carmelo Anthony,2013,5.3,2.5,24.4,7.0,2.6,6.2,0.17011137,0
Anthony Davis,2013,4.0,3.2,26.5,6.6,1.6,7.0,0.16060828,0
DeMarcus Cousins,2013,4.2,3.8,26.1,8.4,3.5,8.6,0.13915767,0
Dirk Nowitzki,2013,4.7,2.3,23.6,4.7,1.5,5.7,0.11778171,0
Kyle Lowry,2013,4.8,3.3,20.1,4.9,2.5,3.6,0.116618015,0
Andre Drummond,2013,2.3,3.5,22.6,4.0,1.4,7.8,0.111609414,0
Russell Westbrook,2013,2.7,2.3,24.7,6.4,3.8,4.5,0.09160246,0
Dwyane Wade,2013,2.2,2.0,22.0,4.8,3.0,3.4,0.079994224,0
John Wall,2013,3.6,4.0,19.5,4.8,3.6,3.6,0.045101397,0
DeAndre Jordan,2013,3.3,5.8,18.2,4.6,1.5,9.5,0.03957415,0
Paul Millsap,2013,3.0,4.0,19.8,5.3,2.5,6.4,0.036037482,0
Tim Duncan,2013,2.9,4.6,21.3,4.3,2.1,7.6,0.034070957,0
Eric Bledsoe,2013,1.8,1.6,19.6,5.5,3.3,4.1,0.030943183,0
Isaiah Thomas,2013,3.2,1.3,20.5,5.7,3.0,2.3,0.028185824,0
Manu Ginóbili,2013,2.4,2.4,20.0,2.8,2.0,2.5,0.0228126,0
Stephen Curry,2014,7.9,4.1,28.0,4.2,3.1,3.6,0.99992144,1
James Harden,2014,8.1,4.2,26.7,10.2,4.0,4.7,0.9994369,1
Anthony Davis,2014,6.7,4.2,30.8,6.8,1.4,7.7,0.9959304,1
Russell Westbrook,2014,5.8,3.2,29.1,9.8,4.4,5.4,0.9879126,2
Chris Paul,2014,7.2,3.2,26.0,3.9,2.3,4.0,0.9861773,2
Tim Duncan,2014,4.0,4.7,22.6,4.0,1.7,6.9,0.9843247,3
LeBron James,2014,5.7,2.9,25.9,7.7,3.9,5.3,0.9807092,1
LaMarcus Aldridge,2014,3.1,3.7,22.8,5.1,1.7,7.7,0.92353165,2
DeAndre Jordan,2014,3.5,5.4,21.0,5.7,1.3,10.1,0.9191188,3
Pau Gasol,2014,3.7,4.4,22.7,4.7,2.0,9.0,0.9071167,2
DeMarcus Cousins,2014,3.2,3.2,25.2,9.2,4.3,9.5,0.9046101,2
Blake Griffin,2014,3.6,2.4,22.8,6.4,2.3,5.7,0.83727777,3
Marc Gasol,2014,4.8,4.7,21.7,5.4,2.2,6.4,0.8368061,1
Kyrie Irving,2014,4.2,2.0,21.5,4.9,2.5,2.4,0.8123447,3
Klay Thompson,2014,4.0,3.1,20.8,3.3,1.9,2.9,0.8022419,3
Damian Lillard,2014,4.9,3.3,20.7,4.9,2.7,4.0,0.13621737,0
Kawhi Leonard,2014,4.1,4.4,22.0,3.9,1.5,5.9,0.0684994,0
Jeff Teague,2014,2.8,2.8,20.6,4.4,2.8,2.1,0.06338532,0
Al Horford,2014,3.6,3.6,21.4,1.9,1.3,5.4,0.043382004,0
John Wall,2014,4.0,4.2,19.9,4.6,3.8,4.2,0.035070576,0
Jimmy Butler,2014,4.2,3.0,21.3,7.1,1.4,4.1,0.033072025,0
Rudy Gay,2014,2.9,1.3,19.7,5.8,2.7,4.4,0.030017417,0
Gordon Hayward,2014,4.0,2.9,20.2,6.1,2.7,4.2,0.027014127,0
Rudy Gobert,2014,3.4,4.3,21.6,3.3,1.4,6.2,0.02267284,0
Derrick Favors,2014,2.6,3.3,21.8,4.5,1.6,5.6,0.009127517,0
Dwyane Wade,2014,2.1,1.4,21.4,6.0,3.4,2.6,0.0057233283,0
Mike Conley,2014,2.7,2.7,18.6,3.6,2.2,2.6,0.0055111162,0
Zach Randolph,2014,1.9,3.8,19.5,4.2,2.2,7.4,0.0051467232,0
Eric Bledsoe,2014,2.9,2.9,18.4,5.4,3.4,4.3,0.0044770916,0
Chris Bosh,2014,1.3,1.5,19.8,5.3,2.2,6.0,0.0042973678,0
Russell Westbrook,2015,6.8,4.0,27.6,7.2,4.3,6.0,0.999778,1
Stephen Curry,2015,9.5,4.1,31.5,5.1,3.3,4.6,0.99968505,1
Kevin Durant,2015,7.8,3.5,28.2,6.9,3.5,7.6,0.99947304,2
LeBron James,2015,7.5,4.0,27.5,6.5,3.3,6.0,0.9994252,1
Chris Paul,2015,6.0,3.5,26.2,4.4,2.6,3.7,0.99899787,2
Kawhi Leonard,2015,6.7,5.5,26.0,4.6,1.5,5.5,0.9922559,1
Paul George,2015,4.9,4.8,20.9,6.5,3.3,6.0,0.980005,3
DeAndre Jordan,2015,3.2,5.5,20.6,8.0,1.4,10.3,0.96612585,1
Andre Drummond,2015,2.0,5.5,21.2,7.2,1.9,9.9,0.963449,3
DeMarcus Cousins,2015,3.0,3.3,23.6,10.2,3.8,9.1,0.95029724,2
Draymond Green,2015,5.3,5.1,19.3,4.1,3.2,7.8,0.9474132,2
Kyle Lowry,2015,5.7,3.7,22.2,6.4,2.9,4.0,0.9355913,3
Damian Lillard,2015,4.3,1.4,22.2,6.2,3.2,3.4,0.9170627,2
LaMarcus Aldridge,2015,2.5,4.5,22.4,4.1,1.3,6.2,0.7288606,3
Klay Thompson,2015,2.5,2.6,18.6,2.8,1.7,3.4,0.6051482,3
DeMar DeRozan,2015,3.2,2.4,21.5,8.4,2.2,3.7,0.2463661,0
James Harden,2015,6.8,2.6,25.3,10.2,4.6,5.3,0.24399748,0
Anthony Davis,2015,3.2,2.8,25.0,7.0,2.0,8.1,0.14754876,0
Kemba Walker,2015,4.3,3.6,20.8,5.4,2.1,3.7,0.11075806,0
Hassan Whiteside,2015,3.3,5.3,25.6,4.5,1.9,8.6,0.07597652,0
Paul Millsap,2015,4.1,6.0,21.3,5.0,2.4,6.6,0.07292427,0
Isaiah Thomas,2015,4.2,2.5,21.5,6.6,2.7,2.4,0.057550654,0
John Wall,2015,3.9,3.5,19.8,4.5,4.1,4.4,0.05177278,0
Jimmy Butler,2015,3.9,2.7,21.3,7.1,2.0,4.2,0.047428526,0
Pau Gasol,2015,4.0,3.9,21.7,4.0,2.3,8.9,0.04196656,0
Rudy Gobert,2015,2.0,3.8,17.5,4.6,1.9,7.5,0.023777982,0
Jeff Teague,2015,1.9,3.0,17.9,3.9,2.8,2.3,0.017545694,0
Brook Lopez,2015,2.1,1.7,21.7,5.5,2.4,5.1,0.01639511,0
Jrue Holiday,2015,1.9,1.2,19.7,3.3,2.6,2.6,0.013712662,0
Carmelo Anthony,2015,3.4,2.5,20.3,5.6,2.4,6.4,0.01156881,0
LeBron James,2016,6.7,3.0,27.0,7.2,4.1,7.3,0.99895227,1
Giannis Antetokounmpo,2016,6.7,4.5,26.1,7.7,2.9,7.0,0.99892336,2
James Harden,2016,8.0,3.6,27.4,10.9,5.7,7.0,0.9964412,1
Stephen Curry,2016,5.9,3.9,24.6,4.6,3.0,3.7,0.9955917,2
DeAndre Jordan,2016,3.5,4.6,21.8,5.2,1.4,10.1,0.99443144,3
John Wall,2016,4.8,3.0,23.2,6.8,4.1,3.4,0.9930205,3
Kawhi Leonard,2016,7.1,4.7,27.6,7.2,2.1,4.7,0.9927456,1
Jimmy Butler,2016,6.6,3.8,25.1,8.9,2.1,4.5,0.99132967,3
Russell Westbrook,2016,9.3,4.6,30.6,10.4,5.4,9.0,0.9896622,1
Anthony Davis,2016,5.4,5.1,27.5,8.6,2.4,9.5,0.9839893,1
Kevin Durant,2016,5.7,4.0,27.6,6.2,2.2,7.6,0.97948414,2
DeMar DeRozan,2016,3.3,2.4,24.0,8.7,2.4,4.3,0.97730696,3
Rudy Gobert,2016,4.4,6.0,23.3,5.9,1.8,8.9,0.9734163,2
Isaiah Thomas,2016,5.6,1.6,26.5,8.5,2.8,2.1,0.96757084,2
Draymond Green,2016,4.3,5.4,16.5,2.8,2.4,6.6,0.8248976,3
Kyle Lowry,2016,4.6,2.3,22.9,6.1,2.9,4.0,0.25988945,0
Gordon Hayward,2016,4.5,3.3,22.2,5.9,1.9,4.7,0.22761999,0
DeMarcus Cousins,2016,5.5,3.8,25.8,9.3,3.7,8.9,0.2191894,0
Damian Lillard,2016,4.8,1.5,24.1,7.3,2.6,4.3,0.20506069,0
Chris Paul,2016,5.2,2.6,26.2,4.3,2.4,4.3,0.18851887,0
Blake Griffin,2016,3.5,2.4,22.6,6.9,2.3,6.3,0.16000645,0
Hassan Whiteside,2016,2.2,5.3,22.6,4.6,2.0,10.3,0.10632193,0
Paul George,2016,3.4,3.1,20.2,5.0,2.9,5.8,0.094154984,0
Mike Conley,2016,5.1,2.5,23.2,5.3,2.3,3.0,0.07918141,0
Nikola Jokić,2016,4.8,2.0,26.3,3.1,2.3,6.9,0.066373736,0
Dwight Howard,2016,1.9,4.5,20.8,5.7,2.3,8.7,0.05928829,0
Andre Drummond,2016,1.8,5.3,20.9,4.4,1.9,9.5,0.05858511,0
Marc Gasol,2016,4.6,3.5,20.3,4.5,2.2,5.5,0.054033253,0
Kyrie Irving,2016,3.4,1.5,23.0,4.6,2.5,2.5,0.04463784,0
Eric Bledsoe,2016,3.1,1.4,20.5,6.9,3.4,4.1,0.04216755,0
LeBron James,2017,8.2,3.0,28.6,6.5,4.2,7.5,0.99916065,1
Russell Westbrook,2017,6.1,4.5,24.7,7.1,4.8,8.2,0.9985898,2
Giannis Antetokounmpo,2017,5.7,3.6,27.3,8.5,3.0,8.0,0.9974171,2
Anthony Davis,2017,5.9,4.9,28.9,8.0,2.2,8.6,0.997269,1
James Harden,2017,7.7,3.8,29.8,10.1,4.4,4.8,0.9959644,1
Damian Lillard,2017,6.3,2.7,25.2,7.4,2.8,3.6,0.9943745,1
Victor Oladipo,2017,5.0,4.0,23.1,4.9,2.9,4.6,0.94196457,3
Stephen Curry,2017,4.0,1.8,28.2,5.9,3.0,4.4,0.9344834,3
Kevin Durant,2017,5.5,2.9,26.0,5.9,3.0,6.4,0.90750384,1
Joel Embiid,2017,2.6,3.8,22.9,7.4,3.7,8.7,0.9024846,2
DeMar DeRozan,2017,3.2,2.8,21.0,7.0,2.2,3.2,0.8769152,2
LaMarcus Aldridge,2017,3.7,3.6,25.0,5.3,1.5,5.2,0.871468,2
Karl-Anthony Towns,2017,5.2,3.4,24.9,4.9,1.9,9.4,0.8520266,3
Paul George,2017,3.6,3.9,18.7,5.2,2.7,4.7,0.7600414,3
Jimmy Butler,2017,4.2,1.8,23.7,7.2,1.8,4.0,0.7408393,3
Nikola Jokić,2017,5.5,2.9,24.4,4.2,2.8,8.1,0.19955152,0
Kyrie Irving,2017,4.5,2.7,25.0,4.4,2.3,3.2,0.095328815,0
Kemba Walker,2017,4.2,2.0,20.6,5.3,2.2,2.7,0.08284338,0
DeMarcus Cousins,2017,2.9,3.2,22.6,8.2,5.0,10.7,0.08005719,0
Chris Paul,2017,4.2,2.7,24.4,3.8,2.2,4.8,0.06334822,0
John Wall,2017,1.8,1.5,19.1,5.9,3.9,3.1,0.057956915,0
