Player,Season,VORP,DWS,PER,FTA,TOV,DRB,Rookie,RookieNBA_pred_proba,Class
Bennedict Mathurin,2022,-1.0,0.8,13.1,5.8,1.9,3.0,1,0.96963465,1
Jaden Ivey,2022,-0.7,0.8,12.1,4.8,3.2,2.9,1,0.9677503,2
Walker Kessler,2022,2.1,2.5,21.5,2.1,0.8,5.3,1,0.9515389,1
Jeremy Sochan,2022,-0.7,0.7,11.4,2.1,1.7,3.6,1,0.9143952,2
Tari Eason,2022,0.1,1.7,15.2,1.8,1.2,3.7,1,0.8369676,2
Keegan Murray,2022,0.8,1.7,12.3,1.0,0.8,3.5,1,0.77579504,1
Mark Williams,2022,0.4,1.3,19.8,2.3,0.9,4.9,1,0.1366309,0
RaiQuan Gray,2022,0.0,0.0,15.5,2.0,4.0,6.0,1,0.10270254,0
Jabari Smith Jr.,2022,-1.1,1.4,11.2,2.6,1.3,5.7,1,0.07718628,0
Andrew Nembhard,2022,-0.6,0.8,10.0,0.8,1.7,2.2,1,0.019809885,0
Shaedon Sharpe,2022,-0.6,0.6,11.5,1.3,1.0,2.2,1,0.018765943,0
Malaki Branham,2022,-1.3,0.2,9.5,1.1,1.2,2.3,1,0.0026884596,0
Jaden Hardy,2022,0.0,0.5,14.6,1.6,1.0,1.6,1,0.002039968,0
Jaylin Williams,2022,0.1,1.2,11.2,1.1,0.8,4.0,1,0.0019192913,0
AJ Griffin,2022,0.4,0.9,12.6,0.7,0.6,1.6,1,0.0014172777,0
Christian Braun,2022,-0.1,1.2,10.3,0.8,0.5,1.8,1,0.0012389844,0
Jacob Gilyard,2022,0.0,0.1,7.3,0.0,2.0,4.0,1,0.00071661506,0
Nikola Jović,2022,-0.1,0.2,10.6,1.3,0.7,1.5,1,0.0006597268,0
Dyson Daniels,2022,0.0,1.4,8.8,0.7,1.0,2.6,1,0.0005961734,0
Jason Preston,2022,0.0,0.1,10.3,0.1,0.7,1.4,1,0.00052140665,0
Blake Wesley,2022,-1.3,0.3,3.5,1.2,1.8,1.9,1,0.00035549843,0
A.J. Green,2022,0.1,0.3,11.5,0.1,0.3,1.1,1,0.00030414725,0
Patrick Baldwin Jr.,2022,0.0,0.3,11.3,0.2,0.4,1.3,1,0.00026143724,0
Bryce McGowens,2022,-0.8,0.4,7.2,1.7,0.9,1.6,1,0.00019756141,0
Stanley Umude,2022,0.0,0.0,65.6,2.0,0.0,0.0,1,0.00019341592,0
Kenneth Lofton Jr.,2022,0.1,0.2,20.2,1.1,0.5,1.3,1,0.00018910988,0
Christian Koloko,2022,-0.3,1.0,11.4,1.0,0.3,1.5,1,0.0001683462,0
Amen Thompson,2023,1.3,2.4,18.2,2.5,1.5,4.2,1,0.99017334,2
Chet Holmgren,2023,3.3,4.4,20.4,3.4,1.6,6.3,1,0.9849172,1
Victor Wembanyama,2023,3.8,4.4,23.1,5.2,3.7,8.4,1,0.977733,1
Trayce Jackson-Davis,2023,1.4,1.6,21.6,1.9,0.7,3.0,1,0.9055867,0
Ausar Thompson,2023,-0.1,1.7,12.8,1.9,1.3,4.3,1,0.904339,0
Dereck Lively II,2023,0.8,1.8,18.1,1.5,0.9,4.4,1,0.8831523,0
Jaime Jaquez Jr.,2023,0.1,2.7,12.9,2.3,1.5,2.7,1,0.7296834,0
GG Jackson II,2023,0.0,1.1,13.7,3.2,1.4,3.0,1,0.7078653,0
Brandin Podziemski,2023,0.9,2.0,13.0,1.1,1.2,4.2,1,0.6592185,1
Scoot Henderson,2023,-1.7,0.9,9.5,3.3,3.4,2.3,1,0.49755234,0
Brandon Miller,2023,-0.3,1.0,13.0,2.3,1.8,3.4,1,0.38073727,1
Cam Whitmore,2023,0.5,1.1,16.6,2.4,1.0,2.9,1,0.31265336,0
Trey Jemison,2023,-0.5,0.6,11.8,1.0,1.4,2.8,1,0.29739472,0
Keyonte George,2023,-1.2,0.1,10.4,3.0,2.5,2.6,1,0.13907743,2
Toumani Camara,2023,-0.5,1.4,10.6,1.4,1.2,2.9,1,0.050205097,0
Bilal Coulibaly,2023,-0.9,0.9,8.9,2.1,1.4,3.2,1,0.026734315,0
Jordan Hawkins,2023,-0.3,1.0,10.2,1.2,0.6,1.8,1,0.021585679,0
Tristan Vukcevic,2023,-0.1,0.1,13.9,2.2,1.0,3.0,1,0.015555362,0
Vasilije Micić,2023,-0.8,0.4,10.7,1.3,1.7,1.2,1,0.009084217,0
Cason Wallace,2023,0.9,2.1,12.0,0.5,0.5,1.6,1,0.008120986,2
Craig Porter Jr.,2023,0.4,0.9,15.4,1.1,0.9,1.7,1,0.0049596373,0
Brice Sensabaugh,2023,-0.5,0.2,8.6,1.3,1.5,2.7,1,0.002512939,0
Taylor Hendricks,2023,0.1,0.6,11.8,0.7,0.7,3.5,1,0.0011983213,0
Sidy Cissoko,2023,0.0,0.1,12.0,1.3,0.3,1.2,1,0.001142879,0
Duop Reath,2023,0.3,1.0,15.1,1.4,0.8,2.3,1,0.0011421693,0
Adama Sanogo,2023,-0.1,0.1,21.9,1.3,0.6,1.9,1,0.0010097317,0
Marcus Sasser,2023,-0.2,0.6,11.8,0.9,1.3,1.6,1,0.00094560697,0
Tosan Evbuomwan,2023,-0.1,0.2,9.9,1.5,0.5,2.5,1,0.0008605004,0
Javon Freeman-Liberty,2023,-0.3,0.2,10.7,1.6,1.1,2.5,1,0.0007808819,0
Malik Williams,2023,-0.3,0.1,4.9,0.3,0.4,3.3,1,0.0005353127,0
