Player,Season,VORP,DWS,PER,FTA,TOV,PTS,Rookie,RookieNBA_pred_proba,Class
Willie Burton,1990,-0.7,1.6,11.5,3.9,1.9,12.0,1,0.81,2
Gary Payton,1990,1.6,2.4,13.2,1.2,2.2,7.2,1,0.73,2
Duane Causwell,1990,0.3,2.2,13.0,2.2,1.3,6.9,1,0.14,0
A.J. English,1990,-0.7,0.7,10.6,2.2,1.6,8.8,1,0.11,0
Danny Ferry,1990,-0.8,1.3,10.9,1.9,1.5,8.6,1,0.05,0
Anthony Bonner,1990,0.0,0.8,12.2,2.2,1.2,7.4,1,0.02,0
Bimbo Coles,1990,-0.1,1.2,10.4,1.2,1.2,4.9,1,0.01,0
Tyrone Hill,1990,-0.8,1.1,10.5,2.1,1.0,5.3,1,0.01,0
Alec Kessler,1990,-1.7,1.2,8.4,1.7,1.4,6.2,1,0.01,0
Bo Kimble,1990,-1.0,0.8,7.7,1.9,1.2,6.9,1,0.01,0
Marcus Liberty,1990,-0.7,0.1,10.4,1.2,0.9,6.7,1,0.01,0
Terry Mills,1990,-0.1,0.9,13.6,1.2,0.8,5.7,1,0.01,0
Loy Vaught,1990,-0.3,1.4,12.1,1.0,0.7,5.5,1,0.01,0
Rumeal Robinson,1990,-0.2,0.5,11.7,1.7,1.6,5.6,1,0.01,0
Mario Elie,1990,0.3,0.3,12.9,2.7,0.9,7.2,1,0.01,0
Anthony Cook,1990,-0.6,0.5,10.7,2.2,0.9,5.3,1,0.0,0
Gerald Paddio,1990,-1.3,0.5,9.3,1.3,1.0,7.2,1,0.0,0
Brian Oliver,1990,-0.5,0.6,9.9,1.0,0.7,3.8,1,0.0,0
Jerrod Mustaf,1990,-0.6,0.8,8.3,1.4,1.0,4.3,1,0.0,0
Jud Buechler,1990,0.0,0.8,10.0,0.9,0.4,3.1,1,0.0,0
Kevin Pritchard,1990,-0.6,0.4,6.9,1.2,1.0,3.9,1,0.0,0
Cedric Ceballos,1990,0.0,0.7,17.8,2.6,1.1,8.2,1,0.0,0
Dikembe Mutombo,1991,1.4,3.6,16.5,7.0,3.5,16.6,1,1.0,1
Billy Owens,1991,1.3,2.3,15.6,3.9,2.2,14.3,1,0.99,1
Larry Johnson,1991,2.6,2.5,18.9,5.0,2.0,19.2,1,0.97,1
Stacey Augmon,1991,0.8,2.2,14.4,3.9,2.2,13.3,1,0.94,1
Larry Stewart,1991,0.3,1.8,12.9,3.1,1.5,10.4,1,0.94,2
