Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Season
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,
1,Derrick Alston,"Nov 4, '94, PHI vs. MIL",22,3,139,2657,318,650,1,7,114,234,228,525,94,95,87,112,298,751,.489,.143,.487,19.1,5.4,3.8,0.7,0.7,0.6,1994
2,Darrell Armstrong,"Apr 11, '95, ORL vs. CLE",26,14,840,19915,2663,6507,923,2763,1463,1679,654,2269,3394,1133,98,1556,1398,7712,.409,.334,.871,23.7,9.2,2.7,4.0,1.3,0.1,1994
3,Sergei Bazarevich,"Nov 9, '94, ATL @ PHO",29,1,10,74,11,22,1,6,7,9,1,7,14,1,1,7,10,30,.500,.167,.778,7.4,3.0,0.7,1.4,0.1,0.1,1994
4,Elmer Bennett,"Jan 27, '95, CLE vs. POR",24,3,21,159,16,47,3,11,13,18,1,10,22,9,1,20,16,48,.340,.273,.722,7.6,2.3,0.5,1.0,0.4,0.0,1994
5,James Blackwell,"Nov 30, '94, CHH vs. MIA",26,1,13,80,8,13,0,0,2,3,2,11,11,4,0,5,8,18,.615,,.667,6.2,1.4,0.8,0.8,0.3,0.0,1994
6,Tim Breaux,"Nov 5, '94, HOU @ MIN",24,3,102,940,108,293,22,74,61,96,38,96,41,24,13,47,68,299,.369,.297,.635,9.2,2.9,0.9,0.4,0.2,0.1,1994
7,Chris Childs,"Dec 27, '94, NJN vs. NYK",27,9,541,13617,1288,3196,372,1082,762,934,196,1308,2633,490,54,1064,1586,3710,.403,.344,.816,25.2,6.9,2.4,4.9,0.9,0.1,1994
8,Bill Curley,"Nov 5, '94, DET @ ATL",22,5,147,1614,157,354,2,9,78,105,124,290,60,61,44,75,345,394,.444,.222,.743,11.0,2.7,2.0,0.4,0.4,0.3,1994
9,Yinka Dare,"Nov 11, '94, NJN @ WSB",22,4,110,1002,86,217,0,0,61,107,101,281,4,12,70,96,179,233,.396,,.570,9.1,2.1,2.6,0.0,0.1,0.6,1994
10,Tony Dumas,"Nov 5, '94, DAL vs. NJN",22,4,156,2222,409,1013,102,312,220,362,94,198,186,65,19,148,256,1140,.404,.327,.608,14.2,7.3,1.3,1.2,0.4,0.1,1994
11,Howard Eisley,"Nov 4, '94, MIN @ DEN",22,12,786,16013,1881,4617,516,1474,838,1013,208,1324,2748,540,83,1172,1701,5116,.407,.350,.827,20.4,6.5,1.7,3.5,0.7,0.1,1994
12,Matt Fish,"Nov 4, '94, LAC vs. POR",25,3,50,512,71,142,0,1,35,56,43,110,25,19,14,33,91,177,.500,.000,.625,10.2,3.5,2.2,0.5,0.4,0.3,1994
13,Brian Grant,"Nov 4, '94, SAC vs. PHO",22,12,756,21417,3103,6332,6,28,1721,2306,1834,5622,923,455,561,1235,2409,7933,.490,.214,.746,28.3,10.5,7.4,1.2,0.6,0.7,1994
14,Darrin Hancock,"Nov 5, '94, CHH vs. CLE",23,3,133,1395,196,370,2,6,73,126,58,169,89,56,10,97,157,467,.530,.333,.579,10.5,3.5,1.3,0.7,0.4,0.1,1994
15,Jerome Harmon,"Feb 17, '95, PHI @ ORL",25,1,10,158,21,53,1,1,3,6,9,23,12,9,0,7,12,46,.396,1.000,.500,15.8,4.6,2.3,1.2,0.9,0.0,1994
