Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Season
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,
1,Steven Adams,"Oct 30, '13, OKC @ UTA",20,11,764,19738,2804,4786,1,17,1134,2129,2765,6115,1145,646,703,1083,1808,6743,.586,.059,.533,25.8,8.8,8.0,1.5,0.8,0.9,2013
2,Giannis Antetokounmpo,"Oct 30, '13, MIL @ NYK",19,12,859,28234,7525,13668,542,1908,4946,7134,1599,8530,4288,961,1064,2586,2531,20538,.551,.284,.693,32.9,23.9,9.9,5.0,1.1,1.2,2013
3,Pero Antić,"Oct 30, '13, ATL @ DAL",31,2,113,1962,231,590,108,344,138,189,115,398,107,37,26,104,258,708,.392,.314,.730,17.4,6.3,3.5,0.9,0.3,0.2,2013
4,Chris Babb,"Mar 1, '14, BOS vs. IND",23,1,14,132,8,30,6,27,0,0,4,17,3,6,0,3,13,22,.267,.222,,9.4,1.6,1.2,0.2,0.4,0.0,2013
5,Anthony Bennett,"Oct 30, '13, CLE vs. BRK",20,4,151,1905,251,641,36,138,120,179,132,472,77,58,27,99,206,658,.392,.261,.670,12.6,4.4,3.1,0.5,0.4,0.2,2013
6,Vander Blue,"Jan 22, '14, BOS @ WAS",21,3,10,134,12,39,2,13,4,12,2,13,12,4,0,11,7,30,.308,.154,.333,13.4,3.0,1.3,1.2,0.4,0.0,2013
7,Lorenzo Brown,"Nov 20, '13, PHI vs. TOR",23,5,103,1185,123,338,18,106,29,41,28,151,183,61,15,74,101,293,.364,.170,.707,11.5,2.8,1.5,1.8,0.6,0.1,2013
8,Reggie Bullock,"Oct 29, '13, LAC @ LAL",22,11,556,12556,1441,3395,879,2284,278,336,188,1451,647,318,81,301,783,4039,.424,.385,.827,22.6,7.3,2.6,1.2,0.6,0.1,2013
9,Trey Burke,"Nov 20, '13, UTA @ NOP",21,9,498,10401,1847,4500,564,1637,534,659,164,878,1522,274,52,555,641,4792,.410,.345,.810,20.9,9.6,1.8,3.1,0.6,0.1,2013
10,Dwight Buycks,"Nov 1, '13, TOR @ ATL",24,3,49,696,115,286,27,73,53,60,18,76,83,30,2,61,53,310,.402,.370,.883,14.2,6.3,1.6,1.7,0.6,0.0,2013
11,Nick Calathes,"Oct 30, '13, MEM @ SAS",24,2,129,2011,246,558,30,104,68,117,42,243,353,129,13,162,217,590,.441,.288,.581,15.6,4.6,1.9,2.7,1.0,0.1,2013
12,Kentavious Caldwell-Pope,"Oct 30, '13, DET vs. WAS",20,12,912,27036,3627,8479,1533,4182,1385,1685,522,2708,1652,1057,265,923,1686,10172,.428,.367,.822,29.6,11.2,3.0,1.8,1.2,0.3,2013
13,Isaiah Canaan,"Dec 25, '13, HOU @ SAS",22,6,235,4799,616,1661,366,1042,315,377,63,438,454,145,23,259,364,1913,.371,.351,.836,20.4,8.1,1.9,1.9,0.6,0.1,2013
14,Michael Carter-Williams,"Oct 30, '13, PHI vs. MIA",22,9,395,9942,1498,3730,183,716,861,1221,379,1718,1708,498,215,916,964,4040,.402,.256,.705,25.2,10.2,4.3,4.3,1.3,0.5,2013
15,Dionte Christmas,"Nov 1, '13, PHO vs. UTA",27,1,31,198,22,62,9,31,18,24,13,38,8,2,3,6,19,71,.355,.290,.750,6.4,2.3,1.2,0.3,0.1,0.1,2013
16,Ian Clark,"Nov 1, '13, UTA @ PHO",22,6,330,4507,718,1635,240,705,164,204,65,440,385,128,44,236,394,1840,.439,.340,.804,13.7,5.6,1.3,1.2,0.4,0.1,2013
17,Robert Covington,"Jan 18, '14, HOU vs. MIL",23,11,614,17334,2235,5469,1263,3493,904,1114,552,3385,884,938,578,861,1738,6637,.409,.362,.811,28.2,10.8,5.5,1.4,1.5,0.9,2013
18,Allen Crabbe,"Nov 1, '13, POR @ DEN",21,7,381,9125,1226,2888,617,1596,384,462,109,1073,434,223,104,285,764,3453,.425,.387,.831,24.0,9.1,2.8,1.1,0.6,0.3,2013
19,Seth Curry,"Jan 5, '14, MEM @ DET",23,11,550,12379,2007,4259,945,2183,517,599,174,1124,1035,359,73,529,817,5476,.471,.433,.863,22.5,10.0,2.0,1.9,0.7,0.1,2013
20,Troy Daniels,"Mar 5, '14, HOU @ ORL",22,7,339,5045,767,1914,555,1404,143,179,74,446,185,100,21,187,429,2232,.401,.395,.799,14.9,6.6,1.3,0.5,0.3,0.1,2013
,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,2013
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,2013
21,Gigi Datome,"Oct 30, '13, DET vs. WAS",26,2,55,447,77,186,25,79,9,11,17,75,20,8,8,20,35,188,.414,.316,.818,8.1,3.4,1.4,0.4,0.1,0.1,2013
22,Brandon Davies,"Nov 2, '13, PHI vs. CHI",22,2,78,998,109,265,10,44,58,90,76,192,58,42,15,64,151,286,.411,.227,.644,12.8,3.7,2.5,0.7,0.5,0.2,2013
23,Dewayne Dedmon,"Nov 18, '13, GSW @ UTA",24,10,515,8896,1287,2445,187,557,494,676,784,2970,358,258,409,497,1290,3255,.526,.336,.731,17.3,6.3,5.8,0.7,0.5,0.8,2013
24,Matthew Dellavedova,"Nov 2, '13, CLE @ IND",23,9,479,9286,894,2323,409,1127,313,375,168,811,1690,213,21,562,865,2510,.385,.363,.835,19.4,5.2,1.7,3.5,0.4,0.0,2013
25,Gorgui Dieng,"Nov 1, '13, MIN vs. OKC",24,10,628,12625,1736,3500,196,552,923,1167,1048,3534,837,468,549,687,1339,4591,.496,.355,.791,20.1,7.3,5.6,1.3,0.7,0.9,2013
26,Shane Edwards,"Mar 16, '14, CLE @ LAC",26,1,2,12,1,3,0,0,0,0,1,2,0,0,0,1,1,2,.333,,,6.0,1.0,1.0,0.0,0.0,0.0,2013
27,Vítor Luiz Faverani,"Oct 30, '13, BOS @ TOR",25,1,37,488,64,147,12,40,24,37,42,128,16,14,27,41,74,164,.435,.300,.649,13.2,4.4,3.5,0.4,0.4,0.7,2013
28,Carrick Felix,"Nov 22, '13, CLE @ NOP",23,1,7,38,7,14,2,5,3,4,1,6,4,0,0,4,4,19,.500,.400,.750,5.4,2.7,0.9,0.6,0.0,0.0,2013
29,Jamaal Franklin,"Nov 6, '13, MEM vs. NOP",22,2,24,174,17,41,6,13,2,2,5,25,9,4,3,14,27,42,.415,.462,1.000,7.3,1.8,1.0,0.4,0.2,0.1,2013
30,Rudy Gobert,"Oct 30, '13, UTA vs. OKC",21,12,829,25430,3903,5950,0,17,2652,4137,2804,9700,1123,576,1718,1337,2209,10458,.656,.000,.641,30.7,12.6,11.7,1.4,0.7,2.1,2013
31,Archie Goodwin,"Oct 30, '13, PHO vs. POR",19,4,165,2396,367,856,45,191,261,373,86,331,206,69,38,206,192,1040,.429,.236,.700,14.5,6.3,2.0,1.2,0.4,0.2,2013
32,Jorge Gutiérrez,"Mar 9, '14, BRK vs. SAC",25,3,47,482,53,106,3,17,28,36,8,54,69,19,1,32,65,137,.500,.176,.778,10.3,2.9,1.1,1.5,0.4,0.0,2013
33,Justin Hamilton,"Mar 8, '14, CHA @ MEM",23,3,113,1961,268,577,68,220,83,104,132,403,91,61,73,73,169,687,.464,.309,.798,17.4,6.1,3.6,0.8,0.5,0.6,2013
34,Tim Hardaway Jr.,"Oct 30, '13, NYK vs. MIL",21,12,813,22262,3860,9258,1844,5108,1587,1947,257,2338,1486,495,108,799,1310,11151,.417,.361,.815,27.4,13.7,2.9,1.8,0.6,0.1,2013
35,Elias Harris,"Oct 30, '13, LAL @ GSW",24,1,2,11,0,1,0,0,0,0,1,1,1,1,0,0,0,0,.000,,,5.5,0.0,0.5,0.5,0.5,0.0,2013
36,Solomon Hill,"Oct 29, '13, IND vs. ORL",22,9,448,9652,843,2175,362,1093,405,508,289,1399,662,307,99,377,765,2453,.388,.331,.797,21.5,5.5,3.1,1.5,0.7,0.2,2013
