Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Season
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,
1,Alaa Abdelnaby,"Nov 2, '90, POR vs. HOU",22,5,256,3200,620,1236,0,3,225,321,283,846,85,71,69,247,484,1465,.502,.000,.701,12.5,5.7,3.3,0.3,0.3,0.3,1990
2,Mahmoud Abdul-Rauf,"Nov 10, '90, DEN @ PHO",21,9,586,15628,3514,7943,474,1339,1051,1161,219,1087,2079,487,46,963,1106,8553,.442,.354,.905,26.7,14.6,1.9,3.5,0.8,0.1,1990
3,Keith Askins,"Dec 11, '90, MIA @ NYK",23,9,486,7983,677,1688,275,774,223,311,525,1428,375,278,170,321,1094,1852,.401,.355,.717,16.4,3.8,2.9,0.8,0.6,0.3,1990
4,Miloš Babić,"Nov 21, '90, CLE vs. MIA",22,2,21,87,12,32,0,0,13,20,8,20,10,2,1,10,7,37,.375,,.650,4.1,1.8,1.0,0.5,0.1,0.0,1990
5,Cedric Ball,"Nov 14, '90, LAC vs. PHO",22,1,7,26,3,8,0,0,2,2,5,11,0,0,2,2,5,8,.375,,1.000,3.7,1.1,1.6,0.0,0.0,0.3,1990
6,Lance Blanks,"Nov 2, '90, DET vs. MIL",24,3,142,1045,116,266,19,75,38,57,31,110,117,39,8,63,122,289,.436,.253,.667,7.4,2.0,0.8,0.8,0.3,0.1,1990
7,Anthony Bonner,"Dec 11, '90, SAC @ PHO",22,6,318,7372,881,1881,2,16,435,737,708,1726,442,346,84,450,784,2199,.468,.125,.590,23.2,6.9,5.4,1.4,1.1,0.3,1990
8,Dee Brown,"Nov 2, '90, BOS vs. CLE",22,12,608,16843,2540,5822,605,1697,1073,1300,319,1569,2227,800,205,905,1264,6758,.436,.357,.825,27.7,11.1,2.6,3.7,1.3,0.3,1990
9,Jud Buechler,"Nov 2, '90, NJN @ IND",22,12,720,8444,961,2221,263,718,200,316,431,1266,560,314,144,297,732,2385,.433,.366,.633,11.7,3.3,1.8,0.8,0.4,0.2,1990
