Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Season
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,
1,Ochai Agbaji,"Oct 19, '22, UTA vs. DEN",22,3,201,4589,609,1353,244,692,127,173,178,579,248,121,89,159,341,1589,.450,.353,.734,22.8,7.9,2.9,1.2,0.6,0.4,2022
2,Patrick Baldwin Jr.,"Oct 30, '22, GSW @ DET",20,3,93,826,121,299,76,204,25,38,23,188,43,27,21,35,77,343,.405,.373,.658,8.9,3.7,2.0,0.5,0.3,0.2,2022
3,Paolo Banchero,"Oct 19, '22, ORL @ DET",20,3,198,6811,1531,3440,291,908,1079,1478,217,1396,919,167,114,583,410,4432,.445,.320,.730,34.4,22.4,7.1,4.6,0.8,0.6,2022
4,Dominick Barlow,"Nov 2, '22, SAS vs. TOR",19,3,96,1203,162,312,10,40,68,100,126,300,79,31,49,29,150,402,.519,.250,.680,12.5,4.2,3.1,0.8,0.3,0.5,2022
5,MarJon Beauchamp,"Oct 22, '22, MIL vs. HOU",22,3,135,1465,204,474,87,246,61,85,71,258,77,38,15,87,139,556,.430,.354,.718,10.9,4.1,1.9,0.6,0.3,0.1,2022
6,Buddy Boeheim,"Oct 21, '22, DET @ NYK",23,2,20,174,14,56,12,50,10,12,5,16,7,2,1,0,11,50,.250,.240,.833,8.7,2.5,0.8,0.4,0.1,0.1,2022
7,Jamaree Bouyea,"Feb 10, '23, MIA vs. HOU",23,3,19,228,22,54,4,20,5,8,5,30,25,9,4,21,18,53,.407,.200,.625,12.0,2.8,1.6,1.3,0.5,0.2,2022
8,Malaki Branham,"Oct 30, '22, SAS vs. MIN",19,3,188,3571,627,1429,204,607,140,166,63,380,321,71,17,201,238,1598,.439,.336,.843,19.0,8.5,2.0,1.7,0.4,0.1,2022
9,Christian Braun,"Oct 19, '22, DEN @ UTA",21,3,237,5511,841,1593,186,484,310,412,225,897,396,168,89,171,408,2178,.528,.384,.752,23.3,9.2,3.8,1.7,0.7,0.4,2022
10,Kendall Brown,"Nov 23, '22, IND vs. MIN",19,2,21,103,12,22,0,3,6,10,5,11,8,4,0,4,18,30,.545,.000,.600,4.9,1.4,0.5,0.4,0.2,0.0,2022
11,John Butler,"Nov 5, '22, POR @ PHO",20,1,19,221,17,53,8,35,3,4,3,17,11,7,9,1,22,45,.321,.229,.750,11.6,2.4,0.9,0.6,0.4,0.5,2022
12,Jamal Cain,"Nov 12, '22, MIA vs. CHO",23,3,81,1001,139,303,44,131,69,95,57,174,44,44,15,36,89,391,.459,.336,.726,12.4,4.8,2.1,0.5,0.5,0.2,2022
13,Julian Champagnie,"Nov 22, '22, PHI vs. BRK",21,3,173,3720,499,1197,312,839,174,203,119,584,224,115,82,142,217,1484,.417,.372,.857,21.5,8.6,3.4,1.3,0.7,0.5,2022
14,Kennedy Chandler,"Oct 22, '22, MEM @ DAL",20,1,36,281,35,83,2,15,6,13,9,38,58,12,5,18,15,78,.422,.133,.462,7.8,2.2,1.1,1.6,0.3,0.1,2022
15,Max Christie,"Oct 18, '22, LAL @ GSW",19,3,186,3583,399,937,183,494,180,214,60,475,227,93,55,136,205,1161,.426,.370,.841,19.3,6.2,2.6,1.2,0.5,0.3,2022
16,Chance Comanche,"Apr 9, '23, POR vs. GSW",26,1,1,21,3,5,0,0,1,4,2,3,0,0,1,0,0,7,.600,,.250,21.0,7.0,3.0,0.0,0.0,1.0,2022
17,Xavier Cooks,"Mar 18, '23, WAS vs. SAC",27,1,10,126,17,28,0,1,4,10,16,38,6,6,4,8,13,38,.607,.000,.400,12.6,3.8,3.8,0.6,0.6,0.4,2022
