Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Season
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,
1,Courtney Alexander,"Nov 4, '00, DAL vs. UTA",23,3,187,4067,655,1552,41,121,339,417,124,409,227,111,18,203,377,1690,.422,.339,.813,21.7,9.0,2.2,1.2,0.6,0.1,2000
2,Dalibor Bagarić,"Nov 22, '00, CHI @ SAC",20,3,95,973,97,269,0,2,57,102,84,238,37,29,43,72,163,251,.361,.000,.559,10.2,2.6,2.5,0.4,0.3,0.5,2000
3,Erick Barkley,"Nov 2, '00, POR @ PHO",22,2,27,266,32,90,4,15,9,10,5,21,40,19,1,17,31,77,.356,.267,.900,9.9,2.9,0.8,1.5,0.7,0.0,2000
4,Raja Bell,"Apr 6, '01, PHI vs. CLE",24,12,706,19813,2581,5949,956,2357,880,1101,408,1968,1208,484,130,695,1840,6998,.434,.406,.799,28.1,9.9,2.8,1.7,0.7,0.2,2000
5,Mark Blount,"Nov 1, '00, BOS vs. DET",25,9,605,13981,2020,4011,37,103,864,1195,895,2784,513,327,508,933,1554,4941,.504,.359,.723,23.1,8.2,4.6,0.8,0.5,0.8,2000
6,Brian Cardinal,"Dec 9, '00, DET @ POR",23,12,456,6477,664,1628,243,653,537,624,286,1050,465,295,69,330,890,2108,.408,.372,.861,14.2,4.6,2.3,1.0,0.6,0.2,2000
7,Mateen Cleaves,"Oct 31, '00, DET @ TOR",23,6,167,1863,233,599,12,45,131,180,33,175,310,67,5,201,213,609,.389,.267,.728,11.2,3.6,1.0,1.9,0.4,0.0,2000
8,Jason Collier,"Oct 31, '00, HOU vs. MIN",23,5,151,2178,338,743,7,20,158,214,175,443,51,36,32,120,295,841,.455,.350,.738,14.4,5.6,2.9,0.3,0.2,0.2,2000
9,Sean Colson,"Jan 18, '01, ATL @ IND",25,1,13,44,6,24,1,5,2,4,2,6,10,1,0,2,6,15,.250,.200,.500,3.4,1.2,0.5,0.8,0.1,0.0,2000
10,Jamal Crawford,"Oct 31, '00, CHI vs. SAC",20,20,1327,38994,6752,16467,2221,6379,3694,4286,466,2948,4541,1179,271,2476,2008,19419,.410,.348,.862,29.4,14.6,2.2,3.4,0.9,0.2,2000
11,Keyon Dooling,"Oct 31, '00, LAC @ UTA",20,13,728,14134,1810,4356,446,1277,1001,1253,132,964,1601,463,75,803,1221,5067,.416,.349,.799,19.4,7.0,1.3,2.2,0.6,0.1,2000
12,Khalid El-Amin,"Oct 31, '00, CHI vs. SAC",21,1,50,936,115,311,28,84,56,72,21,81,145,48,2,54,99,314,.370,.333,.778,18.7,6.3,1.6,2.9,1.0,0.0,2000
13,Marcus Fizer,"Oct 31, '00, CHI vs. SAC",22,6,289,6032,1103,2536,21,110,555,803,375,1340,352,134,81,428,648,2782,.435,.191,.691,20.9,9.6,4.6,1.2,0.5,0.3,2000
14,Rubén Garcés,"Oct 31, '00, PHO @ GSW",27,1,13,73,7,22,0,0,2,8,16,29,5,3,2,5,14,16,.318,,.250,5.6,1.2,2.2,0.4,0.2,0.2,2000
15,Eddie Gill,"Mar 30, '01, NJN @ TOR",22,7,187,2033,179,496,63,197,150,177,28,207,217,104,14,139,209,571,.361,.320,.847,10.9,3.1,1.1,1.2,0.6,0.1,2000
16,Steve Goodrich,"Mar 29, '01, CHI vs. BOS",24,2,21,183,9,28,1,3,5,9,8,26,11,3,3,11,24,24,.321,.333,.556,8.7,1.1,1.2,0.5,0.1,0.1,2000
17,A.J. Guyton,"Oct 31, '00, CHI vs. SAC",22,3,80,1246,166,440,73,193,37,45,22,80,147,20,12,62,58,442,.377,.378,.822,15.6,5.5,1.0,1.8,0.3,0.2,2000
18,Zendon Hamilton,"Nov 18, '00, LAC vs. SEA",25,6,134,1560,176,400,0,0,233,353,184,464,33,39,28,108,215,585,.440,,.660,11.6,4.4,3.5,0.2,0.3,0.2,2000
19,Jason Hart,"Apr 17, '01, MIL @ MIA",22,9,341,5289,614,1473,64,203,331,420,76,567,774,253,34,275,528,1623,.417,.315,.788,15.5,4.8,1.7,2.3,0.7,0.1,2000
20,Donnell Harvey,"Dec 8, '00, DAL vs. CHI",20,5,205,3318,453,985,1,10,243,369,261,827,161,97,80,209,464,1150,.460,.100,.659,16.2,5.6,4.0,0.8,0.5,0.4,2000
,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,2000
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,2000
21,Eddie House,"Nov 1, '00, MIA vs. ORL",22,11,717,12405,2078,5077,817,2096,383,450,164,1223,1112,470,58,569,927,5356,.409,.390,.851,17.3,7.5,1.7,1.6,0.7,0.1,2000
22,Marc Jackson,"Nov 2, '00, GSW @ DEN",26,7,387,7572,1194,2680,7,31,843,1036,630,1655,311,147,102,467,775,3238,.446,.226,.814,19.6,8.4,4.3,0.8,0.4,0.3,2000
23,Stephen Jackson,"Oct 31, '00, NJN vs. CLE",22,14,858,27398,4604,11112,1252,3763,2516,3154,674,3328,2634,1109,317,2141,2043,12976,.414,.333,.798,31.9,15.1,3.9,3.1,1.3,0.4,2000
24,DerMarr Johnson,"Oct 31, '00, ATL vs. CHH",20,7,344,5930,770,1872,274,815,307,389,192,769,304,198,149,349,598,2121,.411,.336,.789,17.2,6.2,2.2,0.9,0.6,0.4,2000
25,Garth Joseph,"Nov 10, '00, TOR vs. CLE",27,1,4,16,1,5,0,0,0,2,2,2,1,0,1,2,1,2,.200,,.000,4.0,0.5,0.5,0.3,0.0,0.3,2000
26,Dan Langhi,"Nov 11, '00, HOU @ POR",23,4,133,1253,172,440,11,38,38,62,54,199,39,30,12,35,106,393,.391,.289,.613,9.4,3.0,1.5,0.3,0.2,0.1,2000
