Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Season
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,
1,Eric Anderson,"Nov 16, '92, NYK @ POR",22,2,27,83,12,35,2,2,16,27,12,31,5,3,2,7,23,42,.343,1.000,.593,3.1,1.6,1.1,0.2,0.1,0.1,1992
2,Anthony Avent,"Nov 6, '92, MIL @ DET",23,6,352,6729,814,2019,0,2,330,481,560,1584,278,166,211,416,824,1958,.403,.000,.686,19.1,5.6,4.5,0.8,0.5,0.6,1992
3,Jon Barry,"Dec 8, '92, MIL @ POR",23,14,821,13880,1595,3672,657,1676,868,1023,318,1513,1784,722,111,808,1016,4715,.434,.392,.848,16.9,5.7,1.8,2.2,0.9,0.1,1992
4,Tony Bennett,"Nov 6, '92, CHH vs. WSB",23,3,152,1886,221,536,55,164,41,56,28,155,303,69,1,93,200,538,.412,.335,.732,12.4,3.5,1.0,2.0,0.5,0.0,1992
5,Alex Blackwell,"Nov 13, '92, LAL vs. LAC",22,1,27,109,14,42,0,3,6,8,10,23,7,4,2,5,14,34,.333,.000,.750,4.0,1.3,0.9,0.3,0.1,0.1,1992
6,Ricky Blanton,"Feb 15, '93, CHI vs. SAC",26,1,2,13,3,7,0,0,0,0,2,3,1,2,0,1,1,6,.429,,,6.5,3.0,1.5,0.5,1.0,0.0,1992
7,Walter Bond,"Nov 7, '92, DAL vs. UTA",23,3,153,2427,329,805,41,137,174,227,80,289,177,97,34,146,360,873,.409,.299,.767,15.9,5.7,1.9,1.2,0.6,0.2,1992
8,Dexter Cambridge,"Jan 7, '93, DAL vs. PHO",23,1,53,885,151,312,0,4,68,99,88,167,58,24,6,63,128,370,.484,.000,.687,16.7,7.0,3.2,1.1,0.5,0.1,1992
9,Doug Christie,"Mar 12, '93, LAL @ PHI",22,15,827,26079,3238,7604,805,2272,2020,2460,797,3382,2992,1555,392,1721,2051,9301,.426,.354,.821,31.5,11.2,4.1,3.6,1.9,0.5,1992
10,Duane Cooper,"Nov 6, '92, LAL @ LAC",23,2,88,781,80,199,8,37,36,50,15,59,178,21,2,89,78,204,.402,.216,.720,8.9,2.3,0.7,2.0,0.2,0.0,1992
11,Joe Courtney,"Jan 12, '93, CHI @ ORL",23,4,96,749,106,245,2,3,50,79,65,140,27,20,23,47,110,264,.433,.667,.633,7.8,2.8,1.5,0.3,0.2,0.2,1992
12,John Crotty,"Nov 6, '92, UTA vs. GSW",23,11,477,5795,625,1449,144,375,509,608,136,502,999,181,20,428,597,1903,.431,.384,.837,12.1,4.0,1.1,2.1,0.4,0.0,1992
13,Radisav Ćurčić,"Dec 18, '92, DAL @ SAS",27,1,20,166,16,41,0,0,26,36,17,49,12,7,2,8,30,58,.390,,.722,8.3,2.9,2.5,0.6,0.4,0.1,1992
14,Lloyd Daniels,"Nov 6, '92, SAS @ SAC",25,5,200,3549,553,1373,152,481,153,206,183,440,312,102,61,211,298,1411,.403,.316,.743,17.7,7.1,2.2,1.6,0.5,0.3,1992
15,Hubert Davis,"Nov 7, '92, NYK vs. PHI",22,12,685,15143,2108,4600,728,1651,639,763,209,1045,1172,297,44,646,1011,5583,.458,.441,.837,22.1,8.2,1.5,1.7,0.4,0.1,1992
16,Todd Day,"Nov 6, '92, MIL @ DET",23,8,483,12214,2036,5017,568,1646,1277,1727,578,1649,713,532,291,717,1348,5917,.406,.345,.739,25.3,12.3,3.4,1.5,1.1,0.6,1992
17,Richard Dumas,"Dec 18, '92, PHO @ LAL",23,3,102,2226,434,852,3,13,209,301,160,351,111,137,47,150,228,1080,.509,.231,.694,21.8,10.6,3.4,1.1,1.3,0.5,1992
18,Pat Durham,"Mar 16, '93, GSW vs. BOS",25,2,64,930,123,262,5,26,72,108,42,108,57,37,33,52,120,323,.469,.192,.667,14.5,5.0,1.7,0.9,0.6,0.5,1992
19,LaPhonso Ellis,"Nov 7, '92, DEN vs. SAS",22,11,624,17616,2895,6409,241,797,1379,1888,1320,4032,981,433,477,1001,1934,7410,.452,.302,.730,28.2,11.9,6.5,1.6,0.7,0.8,1992
20,Jo Jo English,"Dec 2, '92, CHI @ BOS",22,3,50,577,74,178,11,32,20,36,12,54,46,18,13,46,85,179,.416,.344,.556,11.5,3.6,1.1,0.9,0.4,0.3,1992
,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1992
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1992
21,Matt Geiger,"Nov 24, '92, MIA @ IND",23,10,552,12221,2039,4083,16,69,965,1325,1152,3158,388,306,347,744,1629,5059,.499,.232,.728,22.1,9.2,5.7,0.7,0.6,0.6,1992
22,Litterial Green,"Nov 12, '92, ORL vs. WSB",22,5,148,1189,144,343,2,26,133,200,24,75,182,49,6,78,124,423,.420,.077,.665,8.0,2.9,0.5,1.2,0.3,0.0,1992
23,Tom Gugliotta,"Nov 6, '92, WSB @ CHH",23,13,763,23556,3871,8584,208,732,1945,2570,1595,5589,2140,1079,492,1735,1884,9895,.451,.284,.757,30.9,13.0,7.3,2.8,1.4,0.6,1992
24,Jay Guidinger,"Nov 19, '92, CLE @ HOU",23,2,64,346,35,87,0,0,28,46,41,97,20,13,15,26,71,98,.402,,.609,5.4,1.5,1.5,0.3,0.2,0.2,1992
25,Robert Horry,"Nov 6, '92, HOU vs. SEA",22,16,1107,27069,2820,6643,795,2329,1280,1762,1644,5269,2343,1158,1035,1378,2680,7715,.425,.341,.726,24.5,7.0,4.8,2.1,1.0,0.9,1992
