Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Season
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,
1,Cory Alexander,"Nov 4, '95, SAS @ DEN",22,7,307,4847,587,1508,237,669,266,352,78,481,834,263,37,467,514,1677,.389,.354,.756,15.8,5.5,1.6,2.7,0.9,0.1,1995
2,Jerome Allen,"Nov 3, '95, MIN @ SAC",23,2,117,1305,114,326,40,126,68,108,30,123,201,52,9,103,126,336,.350,.317,.630,11.2,2.9,1.1,1.7,0.4,0.1,1995
3,John Amaechi,"Nov 3, '95, CLE @ ORL",25,5,294,4811,663,1646,1,13,510,760,230,772,228,90,94,386,499,1837,.403,.077,.671,16.4,6.2,2.6,0.8,0.3,0.3,1995
4,Ashraf Amaya,"Nov 7, '95, VAN @ DAL",24,2,85,1248,133,292,1,2,112,177,133,355,36,29,13,67,180,379,.455,.500,.633,14.7,4.5,4.2,0.4,0.3,0.2,1995
5,Brent Barry,"Nov 3, '95, LAC vs. PHO",24,14,912,23643,2896,6301,1395,3442,1301,1581,450,2780,2892,955,253,1289,1754,8488,.460,.405,.823,25.9,9.3,3.0,3.2,1.0,0.3,1995
6,Corey Beck,"Dec 23, '95, CHH vs. MIA",24,3,88,951,93,206,3,5,52,76,36,125,123,43,9,87,134,241,.451,.600,.684,10.8,2.7,1.4,1.4,0.5,0.1,1995
7,Mario Bennett,"Mar 5, '96, PHO vs. IND",22,4,68,606,111,208,1,3,46,90,84,182,24,31,22,33,112,269,.534,.333,.511,8.9,4.0,2.7,0.4,0.5,0.3,1995
8,Travis Best,"Nov 3, '95, IND @ ATL",23,10,708,15150,2002,4642,266,772,1106,1324,230,1249,2444,661,60,928,1616,5376,.431,.345,.835,21.4,7.6,1.8,3.5,0.9,0.1,1995
9,Melvin Booker,"Mar 7, '96, HOU @ GSW",23,2,32,561,62,155,15,56,27,31,8,38,74,8,3,39,46,166,.400,.268,.871,17.5,5.2,1.2,2.3,0.3,0.1,1995
10,Donnie Boyce,"Mar 12, '96, ATL vs. UTA",22,2,30,195,30,86,6,24,13,26,12,25,16,13,5,22,19,79,.349,.250,.500,6.5,2.6,0.8,0.5,0.4,0.2,1995
11,Marques Bragg,"Nov 3, '95, MIN @ SAC",25,1,53,369,54,120,0,0,23,41,38,79,8,17,8,26,71,131,.450,,.561,7.0,2.5,1.5,0.2,0.3,0.2,1995
12,Junior Burrough,"Nov 3, '95, BOS vs. MIL",23,1,61,495,64,170,0,0,61,93,45,109,15,15,10,40,74,189,.376,,.656,8.1,3.1,1.8,0.2,0.2,0.2,1995
13,Jason Caffey,"Nov 3, '95, CHI vs. CHH",22,8,462,9045,1276,2652,0,8,816,1282,841,2022,420,209,110,647,1148,3368,.481,.000,.637,19.6,7.3,4.4,0.9,0.5,0.2,1995
14,Chris Carr,"Nov 3, '95, PHO @ LAC",21,6,297,4505,730,1753,159,470,369,457,176,658,294,93,46,310,502,1988,.416,.338,.807,15.2,6.7,2.2,1.0,0.3,0.2,1995
15,Randolph Childress,"Nov 3, '95, POR vs. VAN",23,2,51,405,39,119,18,66,28,35,2,25,49,17,1,46,38,124,.328,.273,.800,7.9,2.4,0.5,1.0,0.3,0.0,1995
16,Robert Churchwell,"Mar 18, '96, GSW @ SAS",23,1,4,20,3,8,0,0,0,0,0,3,1,0,0,2,1,6,.375,,,5.0,1.5,0.8,0.3,0.0,0.0,1995
17,Charles Claxton,"Nov 3, '95, BOS vs. MIL",25,1,3,7,1,2,0,0,0,2,2,2,0,0,1,1,4,2,.500,,.000,2.3,0.7,0.7,0.0,0.0,0.3,1995
18,John Coker,"Mar 8, '96, PHO vs. LAL",24,3,25,141,18,44,0,0,5,6,12,29,3,2,3,4,22,41,.409,,.833,5.6,1.6,1.2,0.1,0.1,0.1,1995
19,Rastko Cvetković,"Dec 21, '95, DEN @ SAS",25,1,14,48,5,16,0,1,0,4,4,11,3,2,1,3,11,10,.313,.000,.000,3.4,0.7,0.8,0.2,0.1,0.1,1995
20,Sasha Danilović,"Nov 4, '95, MIA vs. CLE",25,2,75,2331,331,754,119,314,176,223,41,182,149,69,12,153,209,957,.439,.379,.789,31.1,12.8,2.4,2.0,0.9,0.2,1995
,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1995
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1995
21,Mark Davis,"Nov 3, '95, MIN @ SAC",22,5,230,3681,473,1071,28,114,287,438,291,697,294,200,75,324,481,1261,.442,.246,.655,16.0,5.5,3.0,1.3,0.9,0.3,1995
22,Andrew DeClercq,"Jan 24, '96, GSW vs. UTA",22,10,587,9847,1118,2207,0,2,579,932,1025,2488,339,390,301,550,1789,2815,.507,.000,.621,16.8,4.8,4.2,0.6,0.7,0.5,1995
23,Tyus Edney,"Nov 3, '95, SAC vs. MIN",22,4,226,4743,583,1438,65,202,497,617,122,393,910,217,6,395,387,1728,.405,.322,.806,21.0,7.6,1.7,4.0,1.0,0.0,1995
