Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Season
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,
1,Nick Anderson,"Nov 4, '89, ORL vs. NJN",22,13,800,24922,4416,9891,1055,2964,1642,2461,1011,4064,2087,1114,364,1358,1502,11529,.446,.356,.667,31.2,14.4,5.1,2.6,1.4,0.5,1989
2,Michael Ansley,"Nov 6, '89, ORL vs. NYK",22,3,149,2143,383,746,0,0,260,360,311,621,67,51,24,85,284,1026,.513,,.722,14.4,6.9,4.2,0.4,0.3,0.2,1989
3,B.J. Armstrong,"Nov 3, '89, CHI vs. CLE",22,11,747,17790,2850,5981,436,1026,1184,1383,192,1321,2479,533,47,889,1128,7320,.477,.425,.856,23.8,9.8,1.8,3.3,0.7,0.1,1989
4,Dana Barros,"Nov 3, '89, SEA vs. MIN",22,14,850,19480,3281,7140,1090,2652,1249,1456,232,1609,2837,740,46,1213,1074,8901,.460,.411,.858,22.9,10.5,1.9,3.3,0.9,0.1,1989
5,Kenny Battle,"Nov 3, '89, PHO vs. GSW",25,4,134,1795,243,482,4,30,137,189,138,327,106,98,31,91,214,627,.504,.133,.725,13.4,4.7,2.4,0.8,0.7,0.2,1989
6,Winston Bennett,"Nov 3, '89, CLE @ CHI",24,3,136,2157,257,604,0,1,134,193,177,414,120,50,21,115,305,648,.425,.000,.694,15.9,4.8,3.0,0.9,0.4,0.2,1989
7,Mookie Blaylock,"Nov 3, '89, NJN @ MIA",22,13,889,31026,4705,11499,1283,3816,1269,1724,1017,3659,5972,2075,300,2067,1687,11962,.409,.336,.736,34.9,13.5,4.1,6.7,2.3,0.3,1989
8,Chucky Brown,"Nov 3, '89, CLE @ CHI",21,13,694,11962,1712,3487,22,97,679,972,665,2148,549,228,216,537,1177,4125,.491,.227,.699,17.2,5.9,3.1,0.8,0.3,0.3,1989
9,Raymond Brown,"Feb 19, '90, UTA vs. PHI",24,1,16,56,8,28,0,0,0,2,10,15,4,0,0,6,11,16,.286,,.000,3.5,1.0,0.9,0.3,0.0,0.0,1989
10,Stanley Brundy,"Nov 3, '89, NJN @ MIA",22,1,16,128,15,30,0,0,7,18,15,26,3,6,5,6,24,37,.500,,.389,8.0,2.3,1.6,0.2,0.4,0.3,1989
11,Torgeir Bryn,"Nov 3, '89, LAC vs. HOU",25,1,3,10,0,2,0,0,4,6,0,2,0,2,1,1,5,4,.000,,.667,3.3,1.3,0.7,0.0,0.7,0.3,1989
12,Steve Bucknall,"Nov 7, '89, LAL vs. PHO",23,1,18,75,9,33,0,1,5,6,5,7,10,2,1,11,10,23,.273,.000,.833,4.2,1.3,0.4,0.6,0.1,0.1,1989
13,Adrian Caldwell,"Nov 4, '89, HOU @ GSW",23,6,197,1603,164,338,0,3,62,137,180,496,33,56,41,126,270,390,.485,.000,.453,8.1,2.0,2.5,0.2,0.3,0.2,1989
14,Lanard Copeland,"Nov 8, '89, PHI vs. MIA",24,2,33,158,38,91,1,7,13,16,5,17,14,3,1,23,17,90,.418,.143,.813,4.8,2.7,0.5,0.4,0.1,0.0,1989
15,Terry Davis,"Nov 3, '89, MIA vs. NJN",22,10,480,10369,1202,2545,3,19,654,1081,1106,2887,273,183,149,518,1176,3061,.472,.158,.605,21.6,6.4,6.0,0.6,0.4,0.3,1989
16,Byron Dinkins,"Nov 16, '89, HOU vs. LAC",22,2,45,511,58,143,1,9,34,39,13,52,94,21,2,50,45,151,.406,.111,.872,11.4,3.4,1.2,2.1,0.5,0.0,1989
17,Vlade Divac*,"Nov 3, '89, LAL @ DAL",21,16,1134,33838,5205,10510,100,426,2888,4176,2881,9326,3541,1288,1631,2470,3609,13398,.495,.235,.692,29.8,11.8,8.2,3.1,1.1,1.4,1989
18,Sherman Douglas,"Nov 3, '89, MIA vs. NJN",23,12,765,21148,3335,6886,154,576,1601,2361,558,1672,4536,785,76,1761,1615,8425,.484,.267,.678,27.6,11.0,2.2,5.9,1.0,0.1,1989
19,Terry Dozier,"Nov 3, '89, CHH vs. WSB",23,1,9,92,9,27,0,1,4,8,7,15,3,6,2,7,10,22,.333,.000,.500,10.2,2.4,1.7,0.3,0.7,0.2,1989
20,Blue Edwards,"Nov 3, '89, UTA vs. DEN",24,10,704,18409,3021,6362,304,908,1239,1590,698,2376,1409,728,297,1187,1923,7585,.475,.335,.779,26.1,10.8,3.4,2.0,1.0,0.4,1989
,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1989
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1989
21,Jay Edwards,"Jan 22, '90, LAC @ SAC",21,1,4,26,3,7,0,2,1,3,1,2,4,1,0,1,4,7,.429,.000,.333,6.5,1.8,0.5,1.0,0.3,0.0,1989
22,Sean Elliott,"Nov 4, '89, SAS vs. LAL",21,12,742,24502,3852,8290,589,1572,2251,2816,819,3204,1897,576,284,1328,1626,10544,.465,.375,.799,33.0,14.2,4.3,2.6,0.8,0.4,1989
23,Pervis Ellison,"Nov 14, '89, SAC vs. CHI",22,11,474,11593,1826,3579,1,20,841,1221,1087,3170,691,293,752,798,1493,4494,.510,.050,.689,24.5,9.5,6.7,1.5,0.6,1.6,1989
24,Derrick Gervin,"Feb 14, '90, NJN @ PHI",26,2,77,1082,257,591,7,31,155,203,69,175,38,39,26,57,135,676,.435,.226,.764,14.1,8.8,2.3,0.5,0.5,0.3,1989
25,Greg Grant,"Nov 3, '89, PHO vs. GSW",23,6,274,3350,314,820,41,146,98,138,64,248,751,161,8,231,282,767,.383,.281,.710,12.2,2.8,0.9,2.7,0.6,0.0,1989
26,Scott Haffner,"Nov 3, '89, MIA vs. NJN",23,2,50,609,96,238,3,23,18,27,9,55,89,16,3,37,57,213,.403,.130,.667,12.2,4.3,1.1,1.8,0.3,0.1,1989
27,Tom Hammonds,"Nov 3, '89, WSB @ CHH",22,12,687,10419,1410,2940,0,11,797,1154,733,2243,378,167,136,529,1244,3617,.480,.000,.691,15.2,5.3,3.3,0.6,0.2,0.2,1989
28,Tim Hardaway*,"Nov 3, '89, GSW @ PHO",23,13,867,30626,5640,13076,1542,4345,2551,3263,544,2855,7095,1428,129,2481,2027,15373,.431,.355,.782,35.3,17.7,3.3,8.2,1.6,0.1,1989
29,Mike Higgins,"Nov 12, '89, LAL vs. DAL",22,2,18,111,9,18,0,0,12,17,6,9,5,2,4,5,21,30,.500,,.706,6.2,1.7,0.5,0.3,0.1,0.2,1989
30,Ed Horton,"Nov 3, '89, WSB @ CHH",22,1,45,374,80,162,0,4,42,69,59,108,19,9,5,39,63,202,.494,.000,.609,8.3,4.5,2.4,0.4,0.2,0.1,1989
31,Byron Irvin,"Nov 7, '89, POR @ HOU",23,3,87,849,165,350,7,20,114,158,56,123,73,44,3,59,77,451,.471,.350,.722,9.8,5.2,1.4,0.8,0.5,0.0,1989
32,Jaren Jackson,"Nov 3, '89, NJN @ MIA",22,12,431,7210,865,2215,346,980,294,385,207,786,500,258,53,348,725,2370,.391,.353,.764,16.7,5.5,1.8,1.2,0.6,0.1,1989
33,Eric Johnson,"Nov 8, '89, UTA vs. CHH",23,1,48,272,20,84,1,6,13,17,8,28,64,17,2,26,49,54,.238,.167,.765,5.7,1.1,0.6,1.3,0.4,0.0,1989
34,Nate Johnston,"Nov 10, '89, UTA vs. SAS",23,1,21,87,18,48,1,4,9,13,13,23,1,3,8,6,11,46,.375,.250,.692,4.1,2.2,1.1,0.0,0.1,0.4,1989
35,Shawn Kemp,"Nov 3, '89, SEA vs. MIN",20,14,1051,29293,5505,11278,33,119,4304,5805,3026,8834,1704,1185,1279,2766,3826,15347,.488,.277,.741,27.9,14.6,8.4,1.6,1.1,1.2,1989
36,Stan Kimbrough,"Nov 7, '89, DET @ CHI",23,2,13,65,9,22,1,2,2,2,4,7,6,5,0,4,5,21,.409,.500,1.000,5.0,1.6,0.5,0.5,0.4,0.0,1989
37,Stacey King,"Nov 3, '89, CHI vs. CLE",23,8,438,7406,1071,2240,4,17,673,952,597,1460,387,173,210,527,906,2819,.478,.235,.707,16.9,6.4,3.3,0.9,0.4,0.5,1989
38,Frank Kornet,"Nov 16, '89, MIL vs. ORL",23,2,89,595,65,176,10,38,31,52,35,95,30,19,4,34,82,171,.369,.263,.596,6.7,1.9,1.1,0.3,0.2,0.0,1989
39,Jeff Lebo,"Nov 10, '89, SAS @ UTA",23,1,4,32,2,7,0,0,2,2,2,4,3,2,0,1,7,6,.286,,1.000,8.0,1.5,1.0,0.8,0.5,0.0,1989
40,Tim Legler,"Mar 21, '90, PHO vs. CHH",23,10,310,5253,762,1705,260,603,398,474,128,481,402,149,41,194,509,2182,.447,.431,.840,16.9,7.0,1.6,1.3,0.5,0.1,1989
,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1989
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1989
41,Gary Leonard,"Nov 17, '89, MIN @ BOS",22,3,31,149,17,37,0,1,10,20,13,34,2,4,10,9,31,44,.459,.000,.500,4.8,1.4,1.1,0.1,0.1,0.3,1989
42,Clifford Lett,"Mar 26, '90, CHI vs. PHO",24,2,11,127,16,37,0,1,6,9,1,7,8,2,1,10,17,38,.432,.000,.667,11.5,3.5,0.6,0.7,0.2,0.1,1989
43,Todd Lichti,"Nov 3, '89, DEN @ UTA",23,5,237,4240,733,1595,19,78,385,488,177,505,325,179,45,254,417,1870,.460,.244,.789,17.9,7.9,2.1,1.4,0.8,0.2,1989
44,Roy Marble,"Nov 3, '89, ATL vs. IND",23,2,29,194,18,70,0,2,19,32,18,32,12,7,3,17,17,55,.257,.000,.594,6.7,1.9,1.1,0.4,0.2,0.1,1989
45,Šarūnas Marčiulionis*,"Nov 3, '89, GSW @ PHO",25,7,363,8123,1571,3109,127,344,1362,1773,292,819,807,459,31,715,971,4631,.505,.369,.768,22.4,12.8,2.3,2.2,1.3,0.1,1989
46,Jeff Martin,"Nov 7, '89, LAC @ GSW",23,2,143,2685,384,921,29,103,159,229,131,290,109,78,47,96,201,956,.417,.282,.694,18.8,6.7,2.0,0.8,0.5,0.3,1989
47,Anthony Mason,"Jan 29, '90, NJN @ DAL",23,13,882,30605,3583,7033,2,12,2488,3511,1912,7279,2963,648,244,1549,2353,9656,.509,.167,.709,34.7,10.9,8.3,3.4,0.7,0.3,1989
48,Bob McCann,"Feb 17, '90, DAL vs. ORL",25,5,178,2385,296,618,1,5,146,253,154,468,104,80,79,134,349,739,.479,.200,.577,13.4,4.2,2.6,0.6,0.4,0.4,1989
49,Mel McCants,"Nov 9, '89, LAL @ GSW",22,1,13,65,8,26,0,0,6,8,1,6,2,3,1,1,11,22,.308,,.750,5.0,1.7,0.5,0.2,0.2,0.1,1989
50,George McCloud,"Nov 3, '89, IND @ ATL",22,12,766,17429,2469,6140,920,2573,1067,1318,659,2342,1769,593,190,1070,1646,6925,.402,.358,.810,22.8,9.0,3.1,2.3,0.8,0.2,1989
51,Carlton McKinney,"Nov 3, '89, LAC vs. HOU",25,2,9,113,10,41,0,1,2,4,4,13,7,6,1,7,16,22,.244,.000,.500,12.6,2.4,1.4,0.8,0.7,0.1,1989
52,Scott Meents,"Nov 4, '89, SEA @ SAC",26,2,39,201,26,72,1,1,19,27,10,40,15,11,7,15,17,72,.361,1.000,.704,5.2,1.8,1.0,0.4,0.3,0.2,1989
53,Sam Mitchell,"Nov 3, '89, MIN @ SEA",26,13,994,22257,3220,7206,65,292,2131,2719,1251,3711,1089,548,301,838,2509,8636,.447,.223,.784,22.4,8.7,3.7,1.1,0.6,0.3,1989
54,Mike Morrison,"Dec 7, '89, PHO @ LAL",22,1,36,153,23,68,2,7,24,30,7,20,11,2,0,23,20,72,.338,.286,.800,4.3,2.0,0.6,0.3,0.1,0.0,1989
55,John Morton,"Nov 4, '89, CLE @ IND",22,3,128,1879,204,528,13,58,188,239,54,161,342,92,23,186,165,609,.386,.224,.787,14.7,4.8,1.3,2.7,0.7,0.2,1989
56,Dyron Nix,"Nov 3, '89, IND @ ATL",22,1,20,109,14,39,0,0,11,16,8,26,5,3,1,7,15,39,.359,,.688,5.5,2.0,1.3,0.3,0.2,0.1,1989
57,Žarko Paspalj,"Nov 10, '89, SAS @ UTA",23,1,28,181,27,79,0,1,18,22,15,30,10,3,7,21,37,72,.342,.000,.818,6.5,2.6,1.1,0.4,0.1,0.3,1989
58,Kenny Payne,"Nov 4, '89, PHI vs. MIL",23,4,144,1167,218,532,17,58,55,64,45,170,61,38,22,67,129,508,.410,.293,.859,8.1,3.5,1.2,0.4,0.3,0.2,1989
