Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Season
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,
1,Peter Aluma,"Feb 5, '99, SAC @ SAS",25,1,2,5,1,2,0,0,0,0,1,2,0,1,1,2,4,2,.500,,,2.5,1.0,1.0,0.0,0.5,0.5,1998
2,Toby Bailey,"Feb 5, '99, PHO @ LAC",23,2,73,698,92,226,3,15,54,78,50,126,43,22,6,35,79,241,.407,.200,.692,9.6,3.3,1.7,0.6,0.3,0.1,1998
3,Mark Baker,"Feb 6, '99, TOR @ WAS",29,1,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,.000,,,2.0,0.0,0.0,0.0,0.0,0.0,1998
4,Corey Benjamin,"Feb 7, '99, CHI @ LAC",20,4,153,2191,317,812,57,197,144,221,84,259,143,71,48,164,316,835,.390,.289,.652,14.3,5.5,1.7,0.9,0.5,0.3,1998
5,Mike Bibby,"Feb 7, '99, VAN @ SAC",20,14,1001,33962,5410,12412,1517,3999,2361,2943,529,3103,5517,1172,149,2134,1931,14698,.436,.379,.802,33.9,14.7,3.1,5.5,1.2,0.1,1998
6,Earl Boykins,"Feb 7, '99, NJN vs. ATL",22,13,652,12964,2076,4980,384,1104,1255,1433,275,877,2092,390,34,756,659,5791,.417,.348,.876,19.9,8.9,1.3,3.2,0.6,0.1,1998
7,Gerald Brown,"Feb 5, '99, PHO @ LAC",23,1,33,236,33,89,3,10,11,14,5,22,31,5,1,22,21,80,.371,.300,.786,7.2,2.4,0.7,0.9,0.2,0.0,1998
8,Cory Carr,"Feb 5, '99, CHI @ UTA",23,1,42,624,71,216,5,30,24,32,8,49,66,21,7,46,66,171,.329,.167,.750,14.9,4.1,1.2,1.6,0.5,0.2,1998
9,Vince Carter,"Feb 5, '99, TOR @ BOS",22,22,1541,46367,9293,21339,2290,6168,4852,6082,1658,6606,4714,1530,888,2590,3995,25728,.435,.371,.798,30.1,16.7,4.3,3.1,1.0,0.6,1998
10,Keon Clark,"Feb 5, '99, DEN vs. MIN",23,6,353,7971,1179,2359,1,19,523,811,655,2096,322,184,571,470,1013,2882,.500,.053,.645,22.6,8.2,5.9,0.9,0.5,1.6,1998
11,Kornél Dávid,"Feb 5, '99, CHI @ UTA",27,3,109,1585,201,451,0,4,147,180,111,306,64,46,24,92,172,549,.446,.000,.817,14.5,5.0,2.8,0.6,0.4,0.2,1998
12,Ricky Davis,"Feb 5, '99, CHH vs. PHI",19,12,736,21927,3747,8410,583,1614,1835,2349,566,2550,2426,732,187,1606,1430,9912,.446,.361,.781,29.8,13.5,3.5,3.3,1.0,0.3,1998
13,Michael Dickerson,"Feb 5, '99, HOU @ LAL",23,5,212,7490,1219,2824,288,717,531,677,178,609,553,213,85,407,551,3257,.432,.402,.784,35.3,15.4,2.9,2.6,1.0,0.4,1998
14,Michael Doleac,"Feb 5, '99, ORL vs. NYK",21,10,587,8789,1246,2838,1,8,389,492,582,1955,343,200,209,376,1315,2882,.439,.125,.791,15.0,4.9,3.3,0.6,0.3,0.4,1998
15,Bryce Drew,"Feb 5, '99, HOU @ LAL",24,6,243,3970,419,1096,150,404,93,112,56,295,524,123,10,209,291,1081,.382,.371,.830,16.3,4.4,1.2,2.2,0.5,0.0,1998
16,Marlon Garnett,"Feb 5, '99, BOS vs. TOR",23,1,24,205,15,51,6,23,15,20,3,21,18,5,1,12,18,51,.294,.261,.750,8.5,2.1,0.9,0.8,0.2,0.0,1998
17,Pat Garrity,"Feb 5, '99, PHO @ LAC",22,10,552,11062,1479,3543,631,1587,428,531,343,1457,443,246,104,417,1274,4017,.417,.398,.806,20.0,7.3,2.6,0.8,0.4,0.2,1998
18,Paul Grant,"Feb 5, '99, MIN @ DEN",25,2,16,111,13,29,0,0,3,8,8,18,3,2,1,9,21,29,.448,,.375,6.9,1.8,1.1,0.2,0.1,0.1,1998
19,Matt Harpring,"Feb 5, '99, ORL vs. NYK",22,11,665,17584,2900,6033,158,474,1687,2239,1281,3366,907,497,112,1000,1748,7645,.481,.333,.753,26.4,11.5,5.1,1.4,0.7,0.2,1998
20,Al Harrington,"Feb 5, '99, IND vs. WAS",18,16,981,28009,5028,11318,977,2778,2204,3030,1495,5482,1649,858,246,1838,3069,13237,.444,.352,.727,28.6,13.5,5.6,1.7,0.9,0.3,1998
,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1998
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1998
21,J.R. Henderson,"Feb 7, '99, VAN @ SAC",22,1,30,331,35,96,2,5,25,45,20,47,22,9,4,18,29,97,.365,.400,.556,11.0,3.2,1.6,0.7,0.3,0.1,1998
22,Larry Hughes,"Feb 5, '99, PHI @ CHH",20,13,727,22368,3738,9200,524,1696,2242,2963,738,3039,2290,1092,255,1554,1645,10242,.406,.309,.757,30.8,14.1,4.2,3.1,1.5,0.4,1998
