Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Season
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,
1,Santi Aldama,"Oct 27, '21, MEM @ POR",21,4,235,5320,860,1873,326,944,247,357,284,1226,444,146,141,216,344,2293,.459,.345,.692,22.6,9.8,5.2,1.9,0.6,0.6,2021
2,Jose Alvarado,"Nov 3, '21, NOP @ SAC",23,4,227,4538,678,1649,304,873,196,259,105,505,714,271,46,247,378,1856,.411,.348,.757,20.0,8.2,2.2,3.1,1.2,0.2,2021
3,Joel Ayayi,"Oct 25, '21, WAS @ BRK",21,1,7,20,1,6,0,1,0,0,1,3,4,0,0,0,0,2,.167,.000,,2.9,0.3,0.4,0.6,0.0,0.0,2021
4,Dalano Banton,"Oct 20, '21, TOR vs. WAS",22,4,216,3142,538,1339,159,523,228,313,120,482,422,117,77,234,224,1463,.402,.304,.728,14.5,6.8,2.2,2.0,0.5,0.4,2021
5,Cat Barber,"Dec 25, '21, ATL @ NYK",27,1,3,13,0,4,0,0,0,4,1,3,3,0,0,1,1,0,.000,,.000,4.3,0.0,1.0,1.0,0.0,0.0,2021
6,Scottie Barnes,"Oct 20, '21, TOR vs. WAS",20,4,276,9523,1843,3953,298,993,772,1014,624,2065,1368,331,267,640,593,4756,.466,.300,.761,34.5,17.2,7.5,5.0,1.2,1.0,2021
7,Paris Bass,"Jan 2, '22, PHO @ CHO",26,1,2,7,2,6,0,2,2,2,2,4,0,1,0,2,2,6,.333,.000,1.000,3.5,3.0,2.0,0.0,0.5,0.0,2021
8,Charles Bassey,"Oct 20, '21, PHI @ NOP",21,4,113,1257,214,339,3,13,57,88,176,483,93,43,97,87,187,488,.631,.231,.648,11.1,4.3,4.3,0.8,0.4,0.9,2021
9,Leandro Bolmaro,"Oct 20, '21, MIN vs. HOU",21,2,49,309,20,74,5,22,11,13,20,50,28,9,1,20,36,56,.270,.227,.846,6.3,1.1,1.0,0.6,0.2,0.0,2021
10,Brandon Boston Jr.,"Oct 25, '21, LAC vs. POR",20,4,147,2346,407,989,109,332,178,228,71,327,176,99,30,119,177,1101,.412,.328,.781,16.0,7.5,2.2,1.2,0.7,0.2,2021
11,James Bouknight,"Oct 22, '21, CHO @ CLE",21,3,79,900,136,375,63,188,48,63,31,133,73,22,7,49,81,383,.363,.335,.762,11.4,4.8,1.7,0.9,0.3,0.1,2021
