Player,Season,WS/48,PER,PTS,TRB,AST,STL,BLK,Rookie,ClassRookie
Šarūnas Marčiulionis,1989,0.107,15.5,12.1,2.9,1.6,1.3,0.1,1,0
Sam Mitchell,1989,0.102,13.7,12.7,5.8,1.1,0.8,0.7,1,0
Nick Anderson,1989,0.049,14.9,11.5,3.9,1.5,0.9,0.4,1,0
Pervis Ellison,1989,0.021,10.3,8.0,5.8,1.9,0.5,1.7,1,0
Dana Barros,1989,0.053,12.8,9.7,1.6,2.5,0.7,0.0,1,0
Derrick Gervin,1989,0.184,22.9,12.0,3.1,0.4,1.0,0.3,1,0
Mookie Blaylock,1989,-0.011,11.5,10.1,2.8,4.2,1.6,0.3,1,0
Clifford Robinson,1989,0.01,9.3,9.1,3.8,0.9,0.6,0.6,1,0
Michael Ansley,1989,0.129,17.3,8.7,5.0,0.6,0.3,0.2,1,0
Shawn Kemp,1989,0.092,15.9,6.5,4.3,0.3,0.6,0.9,1,0
Dražen Petrović,1989,0.139,15.5,7.6,1.4,1.5,0.3,0.0,1,0
Dennis Johnson,1989,0.089,12.4,7.1,2.7,6.5,1.1,0.2,0,0
Sam Bowie,1989,0.103,16.2,14.7,10.1,1.3,0.6,1.8,0,0
Todd Lichti,1989,0.066,12.3,8.0,1.9,1.5,0.7,0.2,1,0
Torgeir Bryn,1989,0.065,9.1,1.3,0.7,0.0,0.7,0.3,1,0
Manute Bol,1989,0.001,7.2,1.9,3.7,0.5,0.2,3.2,0,0
Winston Bennett,1989,0.055,10.0,6.1,3.4,1.0,0.4,0.2,1,0
Chris Morris,1989,0.062,14.8,14.8,5.3,1.8,1.6,1.0,0,0
Mike Sanders,1989,0.031,9.1,6.2,2.8,1.1,0.5,0.3,0,0
Derrick Coleman,1990,0.108,17.6,18.4,10.3,2.2,1.0,1.3,1,1
Lionel Simmons,1990,0.044,15.4,18.0,8.8,4.0,1.4,1.1,1,1
Dennis Scott,1990,0.054,13.0,15.7,2.9,1.6,0.8,0.3,1,1
Travis Mays,1990,0.047,12.3,14.3,2.8,4.0,1.3,0.2,1,2
Dee Brown,1990,0.087,13.2,8.7,2.2,4.2,1.0,0.2,1,1
Kendall Gill,1990,0.044,15.4,11.0,3.2,3.7,1.3,0.5,1,1
Gary Payton,1990,0.073,13.2,7.2,3.0,6.4,2.0,0.2,1,2
Felton Spencer,1990,0.128,13.8,7.1,7.9,0.3,0.6,1.5,1,2
Willie Burton,1990,0.052,11.5,12.0,3.4,1.4,0.9,0.3,1,2
Mahmoud Abdul-Rauf,1990,-0.031,12.2,14.1,1.8,3.1,0.8,0.1,1,2
Duane Causwell,1990,0.079,13.0,6.9,5.1,0.9,0.6,1.9,1,0
Mario Elie,1990,0.122,12.9,7.2,3.3,1.4,0.6,0.3,1,0
Henry James,1990,0.053,14.7,8.1,2.1,0.9,0.4,0.1,1,0
Anthony Bonner,1990,0.044,12.2,7.4,4.7,1.4,1.1,0.1,1,0
Marcus Liberty,1990,-0.004,10.4,6.7,2.9,0.8,0.6,0.3,1,0
Cedric Ceballos,1990,0.085,17.8,8.2,2.4,0.6,0.3,0.1,1,0
Alec Kessler,1990,-0.005,8.4,6.2,4.3,0.4,0.2,0.3,1,0
Danny Ferry,1990,0.028,10.9,8.6,3.5,1.8,0.5,0.3,1,0
John Starks,1990,0.097,14.3,7.6,2.1,3.3,1.0,0.3,0,0
James Donaldson,1990,0.074,12.3,10.0,8.9,0.8,0.4,1.1,0,0
Winston Garland,1990,0.069,12.1,8.2,2.9,4.6,1.4,0.1,0,0
Blue Edwards,1990,0.065,10.4,9.3,3.2,1.7,0.9,0.5,0,0
Kenny Smith,1990,0.161,18.3,17.7,2.1,7.1,1.4,0.1,0,0
Charles Smith,1990,0.131,17.6,20.0,8.2,1.8,1.1,2.0,0,0
John Williams,1990,0.051,14.1,12.5,5.4,4.0,1.2,0.2,0,0
Mookie Blaylock,1990,0.04,13.1,14.1,3.5,6.1,2.3,0.6,0,0
Terry Mills,1990,0.078,13.6,5.7,4.2,0.6,0.6,0.5,1,0
Fat Lever,1990,0.014,13.5,7.3,3.8,3.0,1.5,0.8,0,0
Derrick Gervin,1990,0.054,13.3,7.6,2.0,0.5,0.3,0.3,0,0
Larry Smith,1990,0.109,10.3,3.3,8.8,1.1,1.0,0.3,0,0
Dikembe Mutombo,1991,0.086,16.5,16.6,12.3,2.2,0.6,3.0,1,1
Larry Johnson,1991,0.14,18.9,19.2,11.0,3.6,1.0,0.6,1,1
Billy Owens,1991,0.107,15.6,14.3,8.0,2.4,1.1,0.8,1,1
Stanley Roberts,1991,0.092,16.3,10.4,6.1,0.7,0.4,1.5,1,2
Steve Smith,1991,0.04,12.5,12.0,3.1,4.6,1.0,0.3,1,1
Stacey Augmon,1991,0.071,14.4,13.3,5.1,2.5,1.5,0.3,1,1
Larry Stewart,1991,0.101,12.9,10.4,5.9,1.6,0.7,0.6,1,2
Terrell Brandon,1991,0.028,12.8,7.4,2.0,3.9,1.0,0.3,1,2
Rick Fox,1991,0.073,12.2,8.0,2.7,1.6,1.0,0.4,1,2
Mark Macon,1991,-0.016,8.3,10.6,2.9,2.2,2.0,0.2,1,2
Paul Graham,1991,0.1,14.7,10.1,3.0,2.2,1.2,0.3,1,0
Doug Smith,1991,0.023,11.9,8.8,5.1,1.7,0.8,0.4,1,0
Bison Dele,1991,0.097,17.1,9.1,5.7,0.7,0.9,1.1,1,0
Mike Iuzzolino,1991,0.081,13.3,9.3,1.9,3.7,0.6,0.0,1,0
Victor Alexander,1991,0.09,13.9,7.4,4.2,0.4,0.6,0.8,1,0
Donald Hodge,1991,0.069,13.8,8.4,5.4,0.8,0.5,0.5,1,0
Dale Davis,1991,0.126,13.3,6.2,6.4,0.5,0.4,1.2,1,0
Kenny Anderson,1991,0.022,12.8,7.0,2.0,3.2,1.0,0.1,1,0
Carl Thomas,1991,-0.027,6.4,12.0,0.0,1.0,1.0,0.0,1,0
Tracy Moore,1991,0.039,11.6,8.5,2.0,1.1,0.8,0.1,1,0
Ed Pinckney,1991,0.187,16.5,7.6,7.0,0.8,0.9,0.7,0,0
Buck Johnson,1991,0.05,10.0,8.6,3.9,2.0,0.9,0.6,0,0
Benoit Benjamin,1991,0.054,14.1,14.0,8.1,1.2,0.6,1.9,0,0
Terry Davis,1991,0.069,12.4,10.2,9.9,0.8,0.4,0.4,0,0
Chris Gatling,1991,0.156,18.2,5.7,3.4,0.3,0.6,0.7,1,0
Ken Norman,1991,0.095,15.3,12.1,5.8,1.6,0.7,0.9,0,0
Hakeem Olajuwon,1991,0.178,23.7,21.6,12.1,2.2,1.8,4.3,0,0
John Stockton,1991,0.215,22.8,15.8,3.3,13.7,3.0,0.3,0,0
Rumeal Robinson,1991,0.053,14.9,13.0,2.7,5.5,1.3,0.3,0,0
Mark West,1991,0.131,12.5,6.1,4.5,0.3,0.2,1.0,0,0
Walt Williams,1992,0.047,15.0,17.0,4.5,3.0,1.1,0.5,1,2
Christian Laettner,1992,0.085,17.3,18.2,8.7,2.8,1.3,1.0,1,1
Tom Gugliotta,1992,0.028,14.6,14.7,9.6,3.8,1.7,0.4,1,1
Latrell Sprewell,1992,0.07,13.6,15.4,3.5,3.8,1.6,0.7,1,2
LaPhonso Ellis,1992,0.139,16.6,14.7,9.1,1.8,0.9,1.4,1,1
Shaquille O'Neal,1992,0.163,22.9,23.4,13.9,1.9,0.7,3.5,1,1
Clarence Weatherspoon,1992,0.059,15.0,15.6,7.2,1.8,1.0,0.8,1,2
Alonzo Mourning,1992,0.148,20.8,21.0,10.3,1.0,0.3,3.5,1,1
Richard Dumas,1992,0.142,18.6,15.8,4.6,1.3,1.8,0.8,1,2
Robert Horry,1992,0.075,12.1,10.1,5.0,2.4,1.0,1.1,1,2
Sean Rooks,1992,0.034,14.7,13.5,7.4,1.3,0.5,1.1,1,0
Andre Spencer,1992,0.071,12.8,9.4,4.1,1.2,0.9,0.4,1,0
Bryant Stith,1992,0.09,11.7,8.9,3.2,1.3,0.6,0.1,1,0
Anthony Avent,1992,0.005,10.2,9.8,6.2,1.1,0.7,0.9,1,0
Anthony Peeler,1992,0.078,13.9,10.4,2.3,2.2,0.8,0.2,1,0
Todd Day,1992,0.065,14.5,13.8,4.1,1.6,1.1,0.7,1,0
Jim Jackson,1992,-0.081,11.0,16.3,4.4,4.7,1.4,0.4,1,0
