iter	MultiClass
0	1.022472544
1	0.9563079119
2	0.9026246533
3	0.8564377982
4	0.8188158609
5	0.7810260969
6	0.7521389992
7	0.7239715661
8	0.700527444
9	0.6786208637
10	0.6586531056
11	0.6414261167
12	0.6265868226
13	0.6109880828
14	0.5967740236
15	0.5842803719
16	0.5718178974
17	0.5605895687
18	0.5503478847
19	0.5421929579
20	0.5334766766
21	0.5250748798
22	0.5186300196
23	0.5096577374
24	0.5027597937
25	0.4955910854
26	0.4899383579
27	0.4846544134
28	0.4792493391
29	0.4754994753
30	0.470120938
31	0.4647825298
32	0.4597357445
33	0.4565051099
34	0.4533154137
35	0.4509192508
36	0.4470582207
37	0.4424548588
38	0.4397726803
39	0.4374884489
40	0.4345543929
41	0.4310437731
42	0.4292969195
43	0.4275717422
44	0.4250016664
45	0.4230002927
46	0.4195706316
47	0.4174746382
48	0.4157382545
49	0.4136289529
50	0.412001362
51	0.4102736672
52	0.4083923578
53	0.4071390985
54	0.4046411218
55	0.403723468
56	0.4025380979
57	0.4002710689
58	0.3983095572
59	0.3957417242
60	0.394343261
61	0.392990158
62	0.3915558068
63	0.3904572058
64	0.3891078214
65	0.387089751
66	0.3856024959
67	0.3846007658
68	0.3828182457
69	0.3818808956
70	0.3805205381
71	0.3789536844
72	0.3774367134
73	0.3761736539
74	0.3740945712
75	0.3725071518
76	0.370631745
77	0.3689414025
78	0.3682522461
79	0.3668605996
80	0.3658147471
81	0.3649081105
82	0.3635220838
83	0.3617633334
84	0.3604317048
85	0.3596504725
86	0.3591093683
87	0.3583902369
88	0.3573768238
89	0.3553602422
90	0.3546321956
91	0.3540733321
92	0.3527119418
93	0.3513445306
94	0.3507286164
95	0.3499601632
96	0.3482079135
97	0.3467234669
98	0.3458785713
99	0.3451670236
100	0.3441558083
101	0.3433965333
102	0.3419525028
103	0.3414760678
104	0.3402487822
105	0.3381053062
106	0.3370656289
107	0.3346863426
108	0.3339334838
109	0.3331361271
110	0.3316665922
111	0.3302807804
112	0.3280384242
113	0.3274638163
114	0.3265652863
115	0.3255716555
116	0.3248473299
117	0.3236659982
118	0.3214203608
119	0.3193257566
120	0.3179312179
121	0.3168115431
122	0.31659706
123	0.3147777802
124	0.3139138711
125	0.3126929903
126	0.3114093266
127	0.3104988426
128	0.3091953573
129	0.3085545168
130	0.3073408347
131	0.3062925387
132	0.3052766951
133	0.3039192996
134	0.3032371311
135	0.302183395
136	0.3011287331
137	0.3003145392
138	0.2987773461
139	0.2979117759
140	0.2970332805
141	0.2961463152
142	0.2949448552
143	0.2938107607
144	0.2924886162
145	0.2920477633
146	0.2912410139
147	0.290560632
148	0.2895826556
149	0.2890763787
150	0.2883050967
151	0.2875763941
152	0.2867823173
153	0.2852422151
154	0.2841664747
155	0.2835848736
156	0.2832148632
157	0.2819595191
158	0.2814429755
159	0.2802385031
160	0.2793382925
161	0.2788471258
162	0.2782829667
163	0.277893827
164	0.2772284642
165	0.2769011605
166	0.2757377981
167	0.2745323072
168	0.2733273833
169	0.2723732458
170	0.2706761937
171	0.2698652908
172	0.2686537023
173	0.2676021607
174	0.26723279
175	0.2664365728
176	0.2655360631
177	0.2646152532
178	0.2641046538
179	0.2632939989
180	0.2619917202
