Player,Season,VORP,DWS,PER,G,FTA,TOV,PTS,DRB,AllNBA,Class
Elliot Perry,2000,0.1,0.7,11.6,49.0,0.4,0.8,3.0,0.8,0,0
Chris Mills,2000,-0.3,0.1,9.6,15.0,2.4,1.3,12.0,4.6,0,0
Derek Strong,2000,-0.1,0.4,8.8,28.0,1.3,0.8,4.2,2.6,0,0
Mahmoud Abdul-Rauf,2000,0.1,0.0,16.7,41.0,0.7,0.6,6.5,0.5,0,0
Walter McCarty,2000,-0.1,0.4,9.2,60.0,0.5,0.3,2.2,1.0,0,0
Doug Overton,2000,-0.4,0.1,7.5,21.0,0.8,1.5,6.0,1.7,0,0
Tyronn Lue,2000,-0.2,0.2,8.7,38.0,0.6,0.7,3.4,0.7,0,0
William Avery,2000,-0.3,0.2,9.0,55.0,0.7,0.8,2.8,0.4,0,0
Greg Foster,2000,-0.3,0.4,9.5,62.0,0.2,0.4,2.0,1.3,0,0
David Benoit,2000,-0.2,0.4,11.1,49.0,0.8,0.6,3.6,1.2,0,0
Tariq Abdul-Wahad,2000,-0.4,0.3,5.8,29.0,1.2,1.2,3.8,1.6,0,0
Chris Herren,2000,-0.3,0.2,6.1,25.0,0.5,0.8,3.3,0.7,0,0
Eldridge Recasner,2000,-0.3,0.4,6.2,43.0,0.4,0.6,2.4,0.9,0,0
Quincy Lewis,2000,-0.3,0.3,7.1,35.0,0.6,0.5,3.5,0.9,0,0
Detlef Schrempf,2000,-0.1,0.4,9.8,26.0,1.0,1.1,4.0,2.3,0,0
Duane Causwell,2000,-0.5,0.7,4.8,31.0,0.8,0.7,2.5,1.9,0,0
Adrian Griffin,2000,0.0,0.5,10.5,44.0,0.5,0.4,2.1,1.4,0,0
Cal Bowdler,2000,0.1,0.4,15.8,44.0,0.9,0.3,3.2,1.1,0,0
Chris Mullin,2000,0.0,0.2,10.0,20.0,1.4,1.0,5.8,1.6,0,0
Todd Day,2000,0.0,0.2,10.1,31.0,0.7,0.8,4.3,0.9,0,0
Chucky Brown,2000,-0.1,0.2,9.7,26.0,1.3,0.3,3.9,1.8,0,0
Gary Trent,2000,-0.2,0.5,13.8,33.0,1.1,0.7,4.0,1.6,0,0
Chris Carr,2000,0.1,0.2,16.3,35.0,1.7,0.5,4.8,0.9,0,0
Alonzo Mourning,2000,0.4,0.7,24.6,13.0,4.2,2.2,13.6,5.1,0,0
Luc Longley,2000,-0.3,0.5,3.7,25.0,0.7,0.9,2.0,1.6,0,0
Rafer Alston,2000,0.0,0.2,12.1,37.0,0.4,0.5,2.1,0.7,0,0
Obinna Ekezie,2000,-0.2,0.1,12.4,33.0,1.6,0.4,3.1,1.4,0,0
Vladimir Stepania,2000,-0.2,0.4,12.2,29.0,1.2,0.7,2.8,2.6,0,0
John Crotty,2000,-0.2,0.1,7.2,31.0,0.6,0.6,2.1,0.5,0,0
Tyus Edney,2000,0.1,0.3,16.6,24.0,1.6,1.0,4.4,0.8,0,0
Travis Knight,2000,-0.4,0.5,0.9,45.0,0.4,0.2,0.6,0.8,0,0
Jerome Kersey,2000,0.1,0.3,12.9,22.0,0.7,0.3,3.3,1.7,0,0
Terry Davis,2000,-0.2,0.0,6.7,19.0,1.2,0.3,1.7,1.5,0,0
Cory Alexander,2000,-0.2,0.3,6.3,26.0,0.7,1.0,2.0,1.0,0,0
Kornél Dávid,2000,0.0,0.2,12.0,27.0,0.5,0.4,2.3,1.4,0,0
Rick Brunson,2000,-0.2,0.2,6.3,22.0,0.7,0.8,2.1,0.7,0,0
Derrick Dial,2000,0.0,0.3,14.3,33.0,0.6,0.4,2.6,0.8,0,0
Danny Fortson,2000,0.2,0.2,24.4,6.0,9.0,1.7,16.7,11.5,0,0
Anthony Goldwire,2000,0.0,0.1,12.6,20.0,0.9,0.8,4.1,0.6,0,0
Tim James,2000,-0.2,0.2,5.8,30.0,0.5,0.3,1.5,0.7,0,0
Jim McIlvaine,2000,-0.1,0.2,6.2,18.0,0.7,0.5,1.6,1.5,0,0
Bill Curley,2000,-0.2,0.1,10.5,20.0,1.0,0.8,3.2,0.8,0,0
Darrick Martin,2000,0.0,0.2,17.0,31.0,1.1,0.3,3.3,0.5,0,0
Doug West,2000,-0.1,0.0,4.2,15.0,0.5,0.3,1.9,0.7,0,0
Nick Anderson,2000,-0.1,0.3,6.4,21.0,0.0,0.3,1.8,1.0,0,0
Dee Brown,2000,0.0,0.1,9.0,7.0,0.7,1.0,6.9,1.6,0,0
Calbert Cheaney,2000,-0.1,0.1,4.1,9.0,0.2,0.6,2.3,1.7,0,0
Earl Boykins,2000,0.1,0.1,17.2,10.0,1.7,0.9,6.5,0.7,0,0
Chris Garner,2000,-0.4,0.0,1.0,8.0,0.8,1.1,2.4,1.3,0,0
Jamie Feick,2000,0.0,0.3,10.2,6.0,2.0,1.2,3.7,7.3,0,0
Shawnelle Scott,2000,-0.1,0.3,12.0,27.0,0.8,0.4,1.6,1.0,0,0
Grant Hill,2000,0.2,0.2,18.1,4.0,6.5,2.8,13.8,4.3,0,0
Scott Padgett,2000,0.0,0.2,17.6,27.0,0.7,0.4,2.1,0.7,0,0
Michael Stewart,2000,-0.1,0.1,8.7,26.0,0.7,0.2,1.3,0.5,0,0
Bruno Šundov,2000,-0.1,0.1,11.0,11.0,0.5,0.3,3.9,1.7,0,0
Tyrone Corbin,2000,-0.3,0.1,-2.2,15.0,0.3,0.2,1.3,0.7,0,0
Jaren Jackson,2000,0.0,0.2,10.4,16.0,0.1,0.2,2.4,0.7,0,0
Felton Spencer,2000,-0.1,0.2,13.5,18.0,1.4,0.6,2.2,1.1,0,0
Terry Mills,2000,-0.2,0.1,1.1,14.0,0.0,0.7,1.8,1.2,0,0
Anfernee Hardaway,2000,0.1,0.2,16.6,4.0,2.8,0.8,9.8,3.3,0,0
Mark Bryant,2000,-0.2,0.1,2.1,18.0,0.3,0.3,1.1,0.9,0,0
Tony Smith,2000,-0.1,0.1,3.8,6.0,0.3,1.5,2.8,0.2,0,0
Todd Fuller,2000,-0.1,0.1,9.3,10.0,0.8,0.3,2.8,1.1,0,0
Michael Hawkins,2000,-0.1,0.0,3.7,10.0,0.0,0.6,0.8,0.3,0,0
Don MacLean,2000,0.1,0.2,16.3,8.0,1.5,1.3,3.9,1.4,0,0
Antonio Harvey,2000,0.0,0.1,17.0,12.0,0.5,0.3,2.6,0.8,0,0
Ricky Davis,2000,0.1,0.1,18.9,7.0,1.1,0.7,4.6,0.9,0,0
Sam Jacobson,2000,0.0,0.0,10.7,14.0,0.2,0.0,1.4,0.2,0,0
Will Perdue,2000,0.1,0.1,18.5,13.0,0.3,0.0,1.1,0.9,0,0
Jamel Thomas,2000,-0.1,0.0,0.8,5.0,0.0,1.2,2.6,1.0,0,0
James Robinson,2000,-0.1,0.1,5.1,6.0,0.0,0.7,1.7,1.3,0,0
Scott Burrell,2000,0.0,0.1,12.8,4.0,1.0,0.0,4.3,0.5,0,0
Pervis Ellison,2000,-0.1,0.0,2.4,9.0,0.2,0.3,0.7,1.1,0,0
J.R. Reid,2000,0.0,0.0,15.7,6.0,1.3,0.2,1.7,0.5,0,0
Muggsy Bogues,2000,0.0,0.0,-0.5,3.0,0.0,1.3,0.0,1.0,0,0
John Coker,2000,-0.1,0.0,-2.8,6.0,0.0,0.3,0.3,0.3,0,0
Tom Hammonds,2000,-0.1,0.0,-4.9,7.0,0.3,0.4,1.0,0.3,0,0
Brent Price,2000,0.0,0.0,9.4,6.0,1.2,0.7,2.2,0.5,0,0
Etdrick Bohannon,2000,0.0,0.0,22.4,6.0,0.7,0.2,1.3,0.7,0,0
Ira Bowman,2000,0.0,0.0,9.2,3.0,0.0,0.3,0.0,0.3,0,0
Gary Grant,2000,0.0,0.0,22.8,4.0,0.0,0.0,2.5,0.0,0,0
Anthony Miller,2000,0.0,0.0,0.9,4.0,0.0,0.3,0.5,0.5,0,0
David Wingate,2000,0.0,0.0,35.8,1.0,0.0,0.0,6.0,0.0,0,0
Lari Ketner,2000,0.0,0.0,-10.6,3.0,0.0,0.7,0.0,0.0,0,0
Randy Livingston,2000,0.0,0.0,-3.7,2.0,0.0,0.0,0.0,0.5,0,0
Antoine Walker,2001,3.6,5.2,17.1,81.0,4.0,3.1,22.1,7.0,0,0
Tim Duncan,2001,8.0,7.1,27.0,82.0,8.5,3.2,25.5,9.4,1,1
Latrell Sprewell,2001,0.9,1.7,13.7,81.0,4.3,2.8,19.4,3.0,0,0
Baron Davis,2001,4.8,3.8,18.2,82.0,4.1,3.0,18.1,3.1,0,0
Paul Pierce,2001,6.6,5.6,22.3,82.0,7.8,2.9,26.1,5.9,1,3
Gary Payton,2001,5.9,2.5,22.9,82.0,4.1,2.5,22.1,3.9,1,2
Stephon Marbury,2001,2.6,1.7,18.1,82.0,5.5,3.5,20.4,2.3,0,0
Kevin Garnett,2001,7.1,4.9,23.8,81.0,5.5,2.8,21.2,9.1,1,2
Eddie Jones,2001,4.6,5.0,17.5,81.0,4.4,1.8,18.3,3.9,0,0
Jalen Rose,2001,1.9,2.1,16.8,83.0,4.0,2.4,20.4,4.0,0,0
Anthony Mason,2001,1.1,2.0,12.9,82.0,2.7,1.6,9.6,6.4,0,0
Wally Szczerbiak,2001,2.7,1.7,17.1,82.0,3.3,2.2,18.7,3.3,0,0
Cuttino Mobley,2001,1.8,1.1,16.7,74.0,4.2,2.4,21.7,3.2,0,0
Shawn Marion,2001,4.0,5.1,19.8,81.0,2.8,1.8,19.1,7.3,0,0
Kobe Bryant,2001,5.2,3.8,23.2,80.0,7.4,2.8,25.2,4.1,1,1
Jason Kidd,2001,5.0,5.8,19.1,82.0,3.0,3.5,14.7,5.7,1,1
Brent Barry,2001,5.8,3.3,19.3,81.0,2.9,2.0,14.4,4.7,0,0
Karl Malone,2001,4.4,4.3,21.1,80.0,8.0,3.3,22.4,6.8,0,0
Antawn Jamison,2001,1.7,0.8,17.1,82.0,5.4,2.0,19.7,4.2,0,0
Jeff McInnis,2001,0.3,0.8,13.8,81.0,2.7,1.8,14.6,2.1,0,0
Andre Miller,2001,4.5,1.5,21.8,81.0,5.5,3.0,16.5,3.3,0,0
Elton Brand,2001,4.8,3.7,23.6,80.0,6.6,2.2,18.2,6.6,0,0
Shareef Abdur-Rahim,2001,2.8,3.1,19.8,77.0,6.8,3.2,21.2,6.5,0,0
Antonio Davis,2001,0.8,3.6,14.8,77.0,4.6,2.1,14.5,6.3,0,0
Jason Terry,2001,3.9,2.1,19.2,78.0,4.4,2.3,19.3,2.9,0,0
Rasheed Wallace,2001,3.7,4.1,19.3,79.0,3.5,1.7,19.3,6.4,0,0
Alvin Williams,2001,1.7,3.1,13.8,82.0,1.7,1.8,11.8,2.7,0,0
Ben Wallace,2001,4.8,7.2,18.6,80.0,2.9,0.9,7.6,9.0,1,3
Allan Houston,2001,1.4,1.1,15.2,77.0,4.4,2.2,20.4,2.8,0,0
Tracy McGrady,2001,6.4,3.4,25.1,76.0,7.3,2.5,25.6,5.9,1,1
Dikembe Mutombo,2001,2.0,5.5,16.0,80.0,4.6,2.0,11.5,7.6,1,3
Dirk Nowitzki,2001,5.5,3.1,24.1,76.0,6.8,1.9,23.4,8.4,1,2
Reggie Miller,2001,3.3,1.9,16.5,79.0,4.1,1.5,16.5,2.5,0,0
Clifford Robinson,2001,1.1,3.5,13.5,80.0,2.6,1.9,14.6,3.8,0,0
Steve Nash,2001,3.6,0.3,20.7,82.0,3.6,2.8,17.9,2.5,1,3
Doug Christie,2001,3.1,4.2,15.2,81.0,3.0,2.0,12.0,3.7,0,0
Damon Stoudamire,2001,1.7,1.7,14.7,75.0,2.6,2.0,13.5,2.9,0,0
Wesley Person,2001,2.7,0.8,16.3,78.0,1.6,0.9,15.1,3.1,0,0
Kurt Thomas,2001,0.7,3.4,15.8,82.0,3.2,1.9,13.9,6.5,0,0
Michael Finley,2001,2.1,1.0,17.6,69.0,3.6,1.7,20.6,3.9,0,0
Darrell Armstrong,2001,3.0,2.6,16.7,82.0,2.5,2.1,12.4,2.9,0,0
Jermaine O'Neal,2001,1.5,4.1,18.1,72.0,5.7,2.4,19.0,7.9,1,3
Jerry Stackhouse,2001,2.4,2.6,19.0,76.0,7.6,3.5,21.4,3.1,0,0
Mike Bibby,2001,1.6,2.6,14.9,80.0,2.4,1.7,13.7,2.3,0,0
Peja Stojaković,2001,3.3,3.0,19.3,71.0,4.5,2.0,21.2,4.2,0,0
Juwan Howard,2001,0.5,1.5,15.8,81.0,4.2,1.9,14.6,4.8,0,0
Allen Iverson,2001,4.5,4.3,21.9,60.0,9.8,4.0,31.4,3.8,1,2
Sam Cassell,2001,2.9,1.4,21.3,74.0,4.4,2.4,19.7,3.5,0,0
Kerry Kittles,2001,3.0,3.9,16.1,82.0,2.1,1.3,13.4,2.5,0,0
Rashard Lewis,2001,3.2,2.7,18.5,71.0,2.8,1.4,16.8,5.1,0,0
Michael Olowokandi,2001,-0.5,3.5,12.4,80.0,2.4,2.2,11.1,6.8,0,0
John Stockton,2001,4.8,2.6,21.9,82.0,3.9,2.5,13.4,2.5,0,0
P.J. Brown,2001,1.5,3.6,15.1,80.0,2.5,1.1,8.4,6.4,0,0
Matt Harpring,2001,0.8,3.6,14.1,81.0,2.7,1.6,11.8,4.6,0,0
Ray Allen,2001,4.4,1.3,21.6,69.0,3.6,2.3,21.8,3.3,0,0
Kenyon Martin,2001,1.5,4.2,14.5,73.0,3.7,2.4,14.9,3.8,0,0
Nick Van Exel,2001,2.4,0.4,17.8,72.0,3.5,2.2,18.4,3.1,0,0
David Wesley,2001,0.0,1.5,11.3,67.0,2.8,1.8,14.2,1.5,0,0
Kenny Thomas,2001,1.3,1.9,16.4,72.0,4.7,2.0,14.1,5.0,0,0
Keith Van Horn,2001,1.8,4.3,16.0,81.0,2.4,1.8,14.8,5.8,0,0
Anfernee Hardaway,2001,1.0,2.8,13.9,80.0,2.4,2.4,12.0,3.2,0,0
Alonzo Mourning,2001,2.0,4.8,18.9,75.0,5.7,2.4,15.7,6.0,0,0
Raef LaFrentz,2001,2.3,2.7,17.9,78.0,1.9,1.2,13.5,5.2,0,0
Dale Davis,2001,1.9,3.1,16.6,78.0,2.7,0.8,9.5,5.5,0,0
Kenny Anderson,2001,1.0,3.5,13.6,76.0,1.7,1.6,9.6,2.9,0,0
Shaquille O'Neal,2001,6.1,4.0,29.7,67.0,10.7,2.6,27.2,7.2,1,1
Vlade Divac,2001,2.9,4.2,17.0,80.0,4.3,2.0,11.1,5.8,0,0
Desmond Mason,2001,0.2,1.6,13.4,75.0,3.2,1.4,12.4,3.5,0,0
Pat Garrity,2001,0.9,1.7,12.3,80.0,0.9,0.9,11.1,3.3,0,0
Vince Carter,2001,3.9,2.4,20.5,60.0,5.1,2.6,24.7,2.9,0,0
Mark Jackson,2001,2.1,1.7,16.3,82.0,1.3,1.8,8.4,3.1,0,0
Chauncey Billups,2001,2.7,1.5,17.6,82.0,2.9,1.7,12.5,2.3,0,0
Bonzi Wells,2001,2.3,3.0,18.4,74.0,3.9,2.6,17.0,4.4,0,0
Glenn Robinson,2001,1.4,2.1,19.1,66.0,4.3,2.6,20.7,5.1,0,0
Steve Francis,2001,2.1,1.2,19.1,57.0,7.4,3.9,21.6,5.2,0,0
Lamond Murray,2001,1.5,1.3,16.7,71.0,3.7,2.0,16.6,4.1,0,0
David Robinson,2001,3.4,5.1,20.3,78.0,5.1,1.3,12.2,5.8,0,0
Rod Strickland,2001,1.6,3.0,15.6,76.0,2.6,2.1,10.4,2.4,0,0
Rick Fox,2001,0.7,2.8,11.3,82.0,1.0,1.6,7.9,3.6,0,0
Chucky Atkins,2001,1.3,1.8,14.5,79.0,1.5,1.6,12.1,1.6,0,0
Brad Miller,2001,2.5,2.3,20.1,76.0,5.0,1.5,13.6,4.9,0,0
Brian Grant,2001,0.5,3.7,12.7,72.0,1.7,1.7,9.3,5.7,0,0
Moochie Norris,2001,-0.2,0.7,13.1,82.0,2.1,1.9,8.1,2.1,0,0
James Posey,2001,0.7,2.2,12.9,73.0,2.8,1.7,10.7,4.4,0,0
Jason Williams,2001,1.1,1.5,15.1,65.0,1.6,3.3,14.8,2.7,0,0
Darius Miles,2001,1.5,2.6,14.4,82.0,3.1,2.0,9.5,4.2,0,0
Eric Snow,2001,1.3,2.9,14.7,61.0,3.7,2.3,12.1,3.0,0,0
Rasho Nesterović,2001,0.2,2.5,12.9,82.0,0.9,1.1,8.4,4.1,0,0
Danny Fortson,2001,0.0,2.1,15.9,77.0,4.0,2.1,11.2,7.9,0,0
Steve Smith,2001,1.6,2.4,13.9,77.0,2.4,1.4,11.6,1.9,0,0
Horace Grant,2001,1.1,2.0,13.9,76.0,1.5,0.7,8.0,4.2,0,0
Richard Hamilton,2001,0.6,0.6,16.9,63.0,5.3,2.1,20.0,2.3,0,0
Keon Clark,2001,0.7,3.6,16.7,81.0,2.8,1.7,11.3,5.2,0,0
Antonio Daniels,2001,1.3,2.3,13.4,82.0,2.6,0.9,9.2,1.9,0,0
Chris Whitney,2001,2.0,1.1,15.6,82.0,2.1,1.0,10.2,1.7,0,0
Nazr Mohammed,2001,-1.0,2.4,14.0,82.0,2.7,1.4,9.7,5.0,0,0
Elden Campbell,2001,2.2,3.5,19.5,77.0,5.0,1.8,13.9,5.2,0,0
Quentin Richardson,2001,2.3,1.6,17.4,81.0,2.3,1.3,13.3,2.7,0,0
Jumaine Jones,2001,0.7,1.8,13.2,81.0,0.8,1.0,8.3,4.5,0,0
Robert Horry,2001,3.0,3.6,14.5,81.0,1.7,1.1,6.8,4.3,0,0
Mike Miller,2001,1.2,1.3,15.0,63.0,2.9,1.7,15.2,3.6,0,0
Michael Jordan,2001,2.7,2.1,20.7,60.0,5.6,2.7,22.9,4.8,0,0
Derrick Coleman,2001,1.5,3.2,16.2,58.0,3.9,2.1,15.1,5.9,0,0
Chris Webber,2001,3.9,3.9,24.4,54.0,6.3,2.9,24.5,7.3,1,2
Anthony Peeler,2001,1.0,1.3,12.2,82.0,0.7,0.9,9.0,2.1,0,0
Larry Hughes,2001,1.2,1.1,15.4,73.0,3.5,2.3,12.3,2.2,0,0
Bryon Russell,2001,-0.3,1.6,9.8,66.0,2.1,1.7,9.6,3.3,0,0
Scottie Pippen,2001,1.9,2.6,14.9,62.0,2.4,2.8,10.6,3.9,0,0
Morris Peterson,2001,1.4,1.7,15.3,63.0,2.7,1.4,14.0,2.1,0,0
Tim Thomas,2001,-0.1,1.3,13.1,74.0,2.4,1.7,11.7,3.2,0,0
Jon Barry,2001,3.0,2.5,17.7,82.0,1.4,1.4,9.0,2.3,0,0
Derek Fisher,2001,1.5,1.8,14.0,70.0,1.6,0.9,11.2,1.9,0,0
Hedo Türkoğlu,2001,1.4,2.7,14.2,80.0,2.9,1.0,10.1,3.8,0,0
Marcus Fizer,2001,-0.5,1.3,14.2,76.0,3.7,1.7,12.3,3.9,0,0
Ricky Davis,2001,0.5,0.8,15.9,82.0,3.0,1.8,11.7,2.2,0,0
Bo Outlaw,2001,1.2,2.4,11.4,83.0,1.2,1.2,4.5,2.6,0,0
Joe Smith,2001,0.9,2.0,16.0,72.0,2.9,1.2,10.7,4.2,0,0
Popeye Jones,2001,0.4,1.9,14.4,79.0,1.6,1.1,7.0,4.4,0,0
Kelvin Cato,2001,0.6,1.7,15.0,75.0,2.6,0.7,6.6,4.7,0,0
Michael Curry,2001,-0.9,1.6,6.2,82.0,1.1,0.7,4.0,1.9,0,0
Lee Nailon,2001,0.3,1.7,14.4,79.0,1.9,1.2,10.8,2.4,0,0
Scot Pollard,2001,1.3,3.5,15.0,80.0,2.1,0.9,6.4,4.7,0,0
Rodney Rogers,2001,1.6,2.2,17.0,77.0,1.9,1.4,11.9,2.8,0,0
Grant Long,2001,-1.2,1.2,7.7,66.0,1.9,1.6,6.3,3.0,0,0
Derek Anderson,2001,1.7,1.5,15.5,70.0,3.0,1.2,10.8,2.0,0,0
Jacque Vaughn,2001,-0.1,1.0,13.1,82.0,1.5,1.4,6.6,1.8,0,0
Troy Hudson,2001,0.1,0.9,15.3,81.0,2.5,2.0,11.7,1.4,0,0
George McCloud,2001,-0.6,0.8,9.8,69.0,2.4,2.1,8.8,2.7,0,0
Jim Jackson,2001,0.5,2.5,11.3,55.0,1.6,1.9,10.7,4.3,0,0
Tony Battie,2001,0.6,3.0,14.5,74.0,1.8,0.7,6.9,4.0,0,0
Stromile Swift,2001,0.4,2.0,17.2,68.0,4.5,1.8,11.8,4.0,0,0
Jeff Foster,2001,0.3,2.7,12.9,82.0,2.2,1.0,5.7,4.3,0,0
Bob Sura,2001,1.6,0.9,17.1,78.0,4.2,1.7,10.0,2.1,0,0
Rodney Buford,2001,-1.0,1.0,10.1,63.0,1.3,1.0,9.4,3.5,0,0
Ruben Patterson,2001,1.8,1.9,18.8,75.0,3.7,1.5,11.2,1.9,0,0
Devean George,2001,1.0,2.6,12.6,82.0,1.5,0.8,7.1,2.7,0,0
Bobby Jackson,2001,1.8,2.2,17.3,81.0,2.3,1.1,11.1,2.1,0,0
Donyell Marshall,2001,1.6,2.1,19.2,58.0,3.9,2.1,14.8,4.9,0,0
Eric Williams,2001,-0.4,2.2,8.8,74.0,3.0,1.3,6.4,2.2,0,0
Travis Best,2001,0.6,1.4,14.3,74.0,1.6,1.3,7.9,1.8,0,0
Erick Dampier,2001,-0.7,1.1,11.3,73.0,2.9,2.1,7.6,3.0,0,0
Clarence Weatherspoon,2001,0.4,1.9,13.3,56.0,2.6,0.8,8.8,5.6,0,0
DerMarr Johnson,2001,0.3,1.5,11.3,72.0,1.5,1.4,8.4,2.6,0,0
Malik Rose,2001,0.3,3.4,16.4,82.0,3.1,1.7,9.4,3.9,0,0
Kevin Ollie,2001,0.0,1.0,12.3,81.0,2.8,1.3,5.7,2.0,0,0
Eric Piatkowski,2001,1.3,0.8,13.8,71.0,1.6,0.9,8.8,2.0,0,0
Ron Mercer,2001,-1.1,0.4,10.2,53.0,2.2,1.7,13.9,2.4,0,0
Vin Baker,2001,-0.7,0.9,14.1,55.0,4.1,2.3,14.1,3.3,0,0
Corliss Williamson,2001,0.7,1.9,20.0,78.0,3.8,1.8,13.6,2.6,0,0
Bruce Bowen,2001,0.3,2.2,8.2,59.0,1.6,1.1,7.0,2.0,0,0
Ryan Bowen,2001,0.4,1.2,11.4,75.0,1.2,0.5,4.9,2.2,0,0
LaPhonso Ellis,2001,-0.2,2.2,9.1,66.0,1.3,1.1,7.1,2.7,0,0
Voshon Lenard,2001,0.9,0.8,14.5,71.0,1.7,1.3,11.5,2.0,0,0
Ervin Johnson,2001,-0.6,1.9,8.6,81.0,0.8,0.6,2.6,4.0,0,0
Chris Mihm,2001,-2.0,1.1,10.0,74.0,2.4,1.3,7.7,3.5,0,0
Samaki Walker,2001,0.9,2.8,14.5,69.0,1.9,0.8,6.7,5.1,0,0
Jonathan Bender,2001,-0.1,1.3,10.6,78.0,2.3,1.2,7.4,2.3,0,0
Erick Strickland,2001,0.6,2.0,12.9,79.0,2.0,1.2,7.7,2.4,0,0
Metta World Peace,2001,1.9,2.7,15.8,55.0,3.7,2.1,13.2,3.6,0,0
Jerome Williams,2001,1.1,2.3,15.7,68.0,3.0,1.0,7.6,3.3,0,0
Calbert Cheaney,2001,-0.6,0.6,10.3,68.0,1.0,1.0,7.3,2.7,0,0
Lindsey Hunter,2001,0.2,1.7,9.4,82.0,0.5,0.7,5.8,1.3,0,0
Corey Maggette,2001,0.5,1.0,14.3,63.0,4.0,1.8,11.4,2.8,0,0
Jamal Mashburn,2001,1.3,1.6,16.9,40.0,6.0,2.8,21.5,5.3,0,0
Tim Hardaway,2001,0.6,0.6,13.6,68.0,1.4,1.6,9.6,1.6,0,0
Shandon Anderson,2001,-0.3,1.3,8.0,82.0,1.3,1.2,5.0,2.3,0,0
Jake Tsakalidis,2001,-0.6,1.8,11.7,67.0,2.4,1.2,7.3,3.6,0,0
Chris Childs,2001,-0.9,1.5,8.8,69.0,1.0,1.8,4.1,2.0,0,0
Othella Harrington,2001,-0.4,1.4,13.0,77.0,2.2,1.2,7.7,2.9,0,0
Lucious Harris,2001,1.3,2.1,15.7,74.0,2.1,0.8,9.1,2.1,0,0
Jamaal Magloire,2001,0.7,2.4,18.8,82.0,4.1,1.4,8.5,3.8,0,0
Aaron Williams,2001,0.6,2.5,15.2,82.0,2.3,1.0,7.2,2.7,0,0
Greg Anthony,2001,0.1,0.9,12.6,60.0,1.5,1.6,7.9,1.8,0,0
Todd MacCulloch,2001,1.2,2.5,17.7,62.0,2.6,1.1,9.7,3.6,0,0
Tyrone Nesby,2001,0.4,1.6,13.1,70.0,1.3,0.7,6.3,3.0,0,0
Toni Kukoč,2001,0.8,1.0,14.4,59.0,2.6,1.9,9.9,3.0,0,0
Adonal Foyle,2001,0.0,1.6,12.5,79.0,1.2,1.0,4.8,3.0,0,0
Aaron McKie,2001,1.7,2.1,15.8,48.0,2.5,1.9,12.2,3.5,0,0
Tyronn Lue,2001,0.4,0.8,13.7,71.0,0.9,1.4,7.8,1.5,0,0
Tony Delk,2001,0.7,1.5,13.8,63.0,1.5,0.9,9.5,2.3,0,0
Christian Laettner,2001,0.9,1.6,13.7,57.0,1.3,1.5,7.1,4.0,0,0
Corie Blount,2001,0.1,2.4,10.2,72.0,0.6,0.7,3.6,3.0,0,0
Michael Redd,2001,1.6,0.7,20.0,67.0,1.7,0.9,11.4,2.2,0,0
Kendall Gill,2001,-0.6,2.0,7.6,65.0,1.0,0.8,5.7,2.4,0,0
Fred Hoiberg,2001,0.4,1.1,12.2,79.0,1.2,0.4,4.4,2.4,0,0
Adrian Griffin,2001,1.1,1.2,14.2,58.0,0.8,0.7,7.2,2.8,0,0
Charles Oakley,2001,-1.1,1.3,6.6,57.0,0.5,1.5,3.8,4.8,0,0
Hakeem Olajuwon,2001,0.6,2.9,14.4,61.0,1.4,1.6,7.1,4.4,0,0
Hanno Möttölä,2001,-1.2,0.8,8.4,82.0,0.9,0.9,4.8,2.3,0,0
Eduardo Nájera,2001,0.7,1.2,14.8,62.0,2.4,0.6,6.5,3.1,0,0
Avery Johnson,2001,0.7,0.2,16.6,68.0,2.4,1.1,7.9,0.8,0,0
Jahidi White,2001,0.2,1.8,14.9,71.0,2.2,0.9,5.4,4.0,0,0
Vitaly Potapenko,2001,-0.6,1.7,11.4,79.0,1.5,0.8,4.6,2.3,0,0
Zydrunas Ilgauskas,2001,-0.3,1.0,17.4,62.0,4.5,1.5,11.1,3.2,0,0
Courtney Alexander,2001,-0.1,0.6,13.6,56.0,2.2,1.1,9.8,1.9,0,0
Stacey Augmon,2001,0.3,1.6,11.5,77.0,1.3,0.7,4.6,2.2,0,0
Al Harrington,2001,0.0,1.4,14.3,44.0,3.3,1.8,13.1,4.1,0,0
Scott Padgett,2001,0.8,1.2,15.4,75.0,1.4,0.9,6.7,2.3,0,0
Terry Porter,2001,1.2,1.9,13.9,72.0,1.2,1.2,5.5,2.1,0,0
Austin Croshere,2001,0.7,1.4,14.3,76.0,1.5,0.9,6.8,2.9,0,0
Monty Williams,2001,0.4,1.2,14.7,68.0,2.0,1.3,7.1,2.3,0,0
Ira Newble,2001,0.2,0.9,11.5,42.0,2.1,1.2,8.0,3.4,0,0
Lorenzen Wright,2001,-0.4,1.4,14.8,43.0,2.9,1.7,12.0,6.4,0,0
Tony Massenburg,2001,-0.8,1.2,11.4,73.0,1.6,0.9,5.5,3.1,0,0
Chris Mills,2001,0.1,0.3,12.3,66.0,1.6,0.8,7.4,2.1,0,0
Shawn Kemp,2001,-0.5,1.6,12.1,75.0,1.7,1.1,6.1,2.6,0,0
Hubert Davis,2001,0.4,0.4,10.7,51.0,0.4,0.9,7.2,1.4,0,0
Eddie House,2001,0.2,1.6,11.6,64.0,0.8,1.3,8.0,1.5,0,0
