Player,Season,VORP,DWS,PER,G,FTA,TOV,PTS,DRB,AllNBA,Class
Rodney McCray,1988,1.0,1.8,13.1,68.0,3.4,2.5,12.6,5.5,0,0
Wayman Tisdale,1988,1.2,2.0,17.5,79.0,5.2,2.2,17.5,5.3,0,0
Adrian Dantley,1988,1.6,1.9,17.4,73.0,7.8,2.2,19.2,2.7,0,0
Jeff Malone,1988,0.8,0.9,16.7,76.0,4.5,2.2,21.7,1.6,0,0
Gerald Wilkins,1988,1.1,1.9,13.8,81.0,3.0,2.1,14.3,1.8,0,0
John Williams,1988,4.0,3.5,18.8,82.0,3.5,1.9,13.7,5.1,0,0
Scottie Pippen,1988,1.5,3.3,14.9,73.0,4.1,2.7,14.4,4.2,0,0
Joe Dumars,1988,2.4,2.2,16.8,69.0,4.4,2.6,17.2,1.7,0,0
Greg Anderson,1988,0.0,3.1,14.9,82.0,4.9,2.2,13.7,5.1,0,0
Xavier McDaniel,1988,0.8,1.8,18.6,82.0,5.2,2.6,20.5,3.1,0,0
Darrell Griffith,1988,0.2,3.7,12.3,82.0,2.2,1.7,13.8,3.1,0,0
Danny Ainge,1988,2.7,1.4,18.0,73.0,3.3,2.0,17.5,2.5,0,0
Nate McMillan,1988,2.4,2.7,14.5,75.0,2.5,2.8,7.1,3.3,0,0
Johnny Newman,1988,1.8,1.8,15.3,81.0,4.3,1.9,16.0,1.4,0,0
Bill Cartwright,1988,-1.7,2.0,11.0,78.0,3.9,2.4,12.4,4.7,0,0
LaSalle Thompson,1988,0.4,2.9,15.6,76.0,3.7,2.4,13.9,6.5,0,0
Dennis Johnson,1988,0.2,1.5,11.5,72.0,2.7,2.4,10.0,2.2,0,0
Kelly Tripucka,1988,1.3,0.9,17.7,71.0,7.2,3.3,22.6,2.6,0,0
Maurice Cheeks,1988,2.2,1.0,16.5,71.0,2.7,1.6,11.6,2.0,0,0
Alvin Robertson,1988,2.6,3.1,17.2,65.0,3.9,3.6,17.3,3.5,0,0
Billy Thompson,1988,0.4,2.3,13.4,79.0,2.8,2.4,10.8,4.2,0,0
Mike Woodson,1988,0.2,2.3,12.0,81.0,2.9,1.7,12.9,1.8,0,0
Harold Pressley,1988,2.2,2.1,15.7,80.0,1.5,1.6,12.3,3.4,0,0
Kurt Rambis,1988,1.3,2.3,16.1,75.0,3.3,2.0,11.1,5.8,0,0
Jay Humphries,1988,1.8,2.5,14.6,73.0,2.2,2.2,11.6,1.6,0,0
Dennis Rodman,1988,2.3,3.9,16.3,82.0,1.9,1.5,9.0,5.4,0,0
Cliff Levingston,1988,1.2,2.8,13.4,80.0,2.4,1.3,9.2,3.8,0,0
Paul Pressey,1988,2.3,2.7,15.0,67.0,3.6,2.7,12.1,2.8,0,0
Robert Reid,1988,-1.1,0.7,12.2,82.0,2.4,1.3,14.7,2.7,0,0
Hot Rod Williams,1988,2.3,3.8,17.6,82.0,3.8,1.2,11.6,3.7,0,0
Armen Gilliam,1988,0.5,2.7,15.7,74.0,4.4,1.9,15.9,5.1,0,0
Mike Sanders,1988,-0.2,3.1,10.5,82.0,1.6,1.3,9.3,2.5,0,0
Ricky Pierce,1988,2.0,1.7,18.6,75.0,4.0,1.5,17.6,1.5,0,0
Terry Catledge,1988,-0.5,1.9,12.6,79.0,3.2,1.5,10.4,4.3,0,0
Vinnie Johnson,1988,2.2,2.4,17.3,82.0,3.2,1.3,13.8,1.8,0,0
Earl Cureton,1988,-0.4,1.2,10.1,82.0,1.5,1.4,6.5,3.7,0,0
Eddie Johnson,1988,2.1,1.9,19.4,70.0,3.6,1.7,21.5,3.1,0,0
Mike McGee,1988,0.4,1.1,13.2,80.0,1.8,1.6,13.0,1.5,0,0
Mark West,1988,1.5,3.3,12.9,82.0,2.5,1.3,7.2,4.7,0,0
Ed Pinckney,1988,1.8,2.1,17.2,80.0,4.4,1.5,11.5,3.5,0,0
Joe Barry Carroll,1988,0.5,2.2,14.2,64.0,3.4,2.2,14.1,5.5,0,0
Mychal Thompson,1988,0.5,2.4,13.3,80.0,2.9,1.2,9.2,3.9,0,0
Michael Cooper,1988,1.5,1.8,11.9,80.0,1.2,1.2,7.3,2.0,0,0
Danny Schayes,1988,0.4,2.4,15.4,76.0,5.3,2.1,12.8,4.7,0,0
Larry Smith,1988,0.2,2.3,11.9,80.0,0.7,1.4,5.7,4.8,0,0
Rod Higgins,1988,1.5,1.5,15.5,81.0,2.8,0.9,10.6,3.3,0,0
Craig Ehlo,1988,1.9,3.1,13.7,82.0,1.4,1.4,7.4,2.4,0,0
Wayne Cooper,1988,0.9,3.1,13.6,79.0,1.3,0.9,6.6,5.2,0,0
Walter Davis,1988,0.7,1.4,16.7,81.0,2.5,1.6,15.6,1.4,0,0
Buck Johnson,1988,0.7,2.1,11.4,67.0,2.0,1.6,9.6,2.6,0,0
Detlef Schrempf,1988,0.9,1.5,15.3,69.0,5.1,1.9,12.0,3.9,0,0
Trent Tucker,1988,1.6,1.5,12.1,81.0,0.7,0.7,8.5,1.5,0,0
Frank Brickowski,1988,0.7,2.2,15.0,64.0,4.4,2.6,13.7,4.0,0,0
Alton Lister,1988,0.0,2.3,13.7,82.0,2.2,1.4,8.0,4.1,0,0
Rick Mahorn,1988,1.1,3.1,12.1,72.0,2.2,1.3,7.3,4.9,0,0
Manute Bol,1988,0.4,2.8,9.8,80.0,0.8,1.0,3.9,4.3,0,0
Muggsy Bogues,1988,1.4,1.0,15.3,79.0,1.1,1.6,5.4,1.4,0,0
Elston Turner,1988,0.0,1.9,7.8,78.0,0.7,0.8,4.3,2.3,0,0
James Donaldson,1988,0.9,2.3,14.2,53.0,2.3,1.6,9.1,7.8,0,0
John Paxson,1988,0.3,1.0,12.0,78.0,0.5,0.9,7.3,1.0,0,0
Brad Sellers,1988,0.1,1.4,10.6,80.0,1.3,0.9,6.9,1.8,0,0
Quintin Dailey,1988,0.3,1.0,16.3,69.0,4.1,1.8,16.1,2.0,0,0
Sam Vincent,1988,0.3,1.3,13.6,70.0,1.8,2.0,9.4,2.2,0,0
Michael Holton,1988,0.0,0.4,12.3,67.0,2.1,1.8,8.3,1.1,0,0
Kareem Abdul-Jabbar,1988,0.0,2.0,12.9,74.0,2.2,1.3,10.1,3.1,0,0
John Battle,1988,0.4,1.0,13.5,82.0,2.9,1.3,9.5,1.3,0,0
Tyrone Corbin,1988,1.5,2.3,14.7,77.0,2.3,1.2,8.2,2.9,0,0
John Bagley,1988,-0.3,1.0,11.3,68.0,1.8,2.3,7.4,1.6,0,0
Jim Petersen,1988,-0.9,1.8,11.4,66.0,2.3,2.2,10.2,4.4,0,0
Otis Smith,1988,0.4,1.8,14.8,80.0,2.7,1.6,10.0,2.5,0,0
Sidney Moncrief,1988,1.9,1.6,16.4,62.0,3.8,1.5,12.1,2.0,0,0
Scott Skiles,1988,0.1,0.8,12.5,80.0,1.8,2.2,6.8,1.6,0,0
Terry Teagle,1988,0.3,1.4,16.7,66.0,3.4,1.8,15.2,2.3,0,0
Dennis Hopson,1988,0.1,1.2,13.8,62.0,3.5,1.6,12.7,1.8,0,0
Jon Koncak,1988,0.9,2.5,12.0,74.0,1.5,0.8,4.7,4.1,0,0
Orlando Woolridge,1988,0.1,1.6,14.0,74.0,4.6,1.4,9.7,2.6,0,0
Antoine Carr,1988,0.4,1.4,12.7,78.0,1.9,1.1,7.5,2.2,0,0
Dave Corzine,1988,-0.3,1.5,10.8,81.0,1.2,1.1,5.9,2.8,0,0
Steve Johnson,1988,-0.6,1.3,12.4,72.0,3.4,1.9,10.0,3.1,0,0
John Salley,1988,1.0,2.3,12.4,67.0,2.9,1.5,7.0,3.0,0,0
Joe Wolf,1988,-1.3,0.7,7.0,66.0,1.0,1.4,5.8,2.8,0,0
Steve Colter,1988,0.9,1.3,14.1,80.0,2.1,0.8,6.7,1.5,0,0
Dave Hoppen,1988,-0.5,0.9,11.8,77.0,1.8,1.0,6.5,3.4,0,0
Joe Kleine,1988,-0.9,1.3,10.0,75.0,2.0,1.4,6.5,3.4,0,0
Dave Greenwood,1988,-0.2,1.8,11.8,67.0,2.6,1.4,7.0,3.9,0,0
Brad Davis,1988,0.4,1.0,13.3,78.0,1.6,1.2,6.4,1.2,0,0
Walter Berry,1988,0.3,1.4,13.2,69.0,2.1,1.3,8.8,2.6,0,0
Tim Kempton,1988,-0.5,0.9,10.4,79.0,2.6,1.5,6.1,2.7,0,0
Jon Sundvold,1988,-0.1,0.4,12.6,68.0,0.8,1.3,10.4,1.0,0,0
Norm Nixon,1988,-0.8,0.3,9.8,53.0,1.2,2.2,6.8,1.2,0,0
Blair Rasmussen,1988,-0.8,1.3,11.6,77.0,1.1,0.6,7.6,2.4,0,0
Reggie Williams,1988,-0.2,1.0,12.1,63.0,1.9,1.8,10.2,1.7,0,0
Derek Smith,1988,-0.3,0.7,11.7,65.0,2.9,1.4,8.7,1.6,0,0
Caldwell Jones,1988,-0.3,1.5,6.8,72.0,0.8,1.2,2.8,2.9,0,0
Sidney Green,1988,-0.2,1.5,12.6,82.0,2.1,1.5,6.3,2.9,0,0
Tim McCormick,1988,-0.4,1.4,9.3,81.0,1.6,0.8,5.2,2.1,0,0
James Edwards,1988,-0.2,1.5,11.6,76.0,2.6,0.9,7.3,2.1,0,0
Fred Roberts,1988,0.1,1.3,10.6,71.0,1.8,1.1,5.9,2.0,0,0
