Player,Season,TS%,WS/48,VORP,PTS,TRB,AST,STL,BLK,AllNBA
Billy Owens,1994,0.523,0.067,1.2,14.3,7.2,3.5,1.1,0.4,0
Brian Grant,1994,0.546,0.112,1.0,13.2,7.5,1.2,0.6,1.5,0
Rod Strickland,1994,0.544,0.179,4.2,18.9,5.0,8.8,1.9,0.1,0
Chris Dudley,1994,0.424,0.087,-0.6,5.5,9.3,0.4,0.5,1.5,0
Bimbo Coles,1994,0.497,0.06,0.3,10.0,2.8,6.1,1.5,0.2,0
Reggie Williams,1994,0.538,0.126,2.5,13.4,4.4,3.1,1.5,0.9,0
Eric Murdock,1994,0.524,0.096,1.9,13.0,2.9,6.4,1.5,0.2,0
Charles Smith,1994,0.544,0.107,0.6,12.7,4.3,1.6,0.6,1.3,0
Dino Radja,1994,0.537,0.102,1.1,17.2,8.7,1.7,0.9,1.3,0
Rodney Rogers,1994,0.55,0.088,1.1,12.2,4.8,2.0,1.2,0.6,0
Chris Morris,1994,0.504,0.09,1.8,13.4,5.7,2.1,1.2,0.7,0
Tony Massenburg,1994,0.526,0.049,-1.0,9.3,5.7,0.8,0.6,0.7,0
Kendall Gill,1994,0.527,0.103,1.4,13.7,4.0,2.6,1.6,0.4,0
Derrick Coleman,1994,0.525,0.117,1.8,20.5,10.6,3.3,0.6,1.7,0
Otis Thorpe,1994,0.582,0.129,0.8,13.4,8.0,1.6,0.6,0.4,0
Donyell Marshall,1994,0.465,0.007,-0.7,12.6,5.6,1.5,0.6,1.2,0
Mahmoud Abdul-Rauf,1994,0.543,0.115,1.7,16.0,1.9,3.6,1.1,0.1,0
Scott Skiles,1994,0.599,0.103,1.3,13.0,2.6,7.3,1.1,0.1,0
Elden Campbell,1994,0.5,0.087,0.2,12.5,6.1,1.3,0.9,1.8,0
Robert Horry,1994,0.556,0.097,2.1,10.2,5.1,3.4,1.5,1.2,0
Nate McMillan,1994,0.496,0.119,2.9,5.2,3.8,5.3,2.1,0.7,0
Chris Webber,1994,0.521,0.093,2.9,20.1,9.6,4.7,1.5,1.6,0
Marty Conlon,1994,0.556,0.073,-0.2,9.9,5.2,1.3,0.5,0.2,0
Sherman Douglas,1994,0.53,0.099,1.7,14.7,2.6,6.9,1.2,0.0,0
Sharone Wright,1994,0.502,0.04,-0.9,11.4,6.0,0.6,0.5,1.3,0
Michael Cage,1994,0.537,0.137,1.1,5.0,6.9,0.7,0.7,0.8,0
Vernon Maxwell,1994,0.508,0.044,0.2,13.3,2.6,4.3,1.2,0.2,0
Chuck Person,1994,0.549,0.085,0.8,10.8,3.2,1.3,0.6,0.1,0
Kenny Smith,1994,0.64,0.144,2.1,10.4,1.9,4.0,0.9,0.1,0
Cedric Ceballos,1994,0.57,0.123,1.5,21.7,8.0,1.8,1.0,0.3,0
Scott Burrell,1994,0.571,0.135,2.1,11.5,5.7,2.5,1.2,0.6,0
Dale Ellis,1994,0.553,0.083,0.2,11.3,2.7,0.7,0.5,0.1,0
Allan Houston,1994,0.589,0.091,1.4,14.5,2.2,2.2,0.8,0.2,0
Jim Jackson,1994,0.549,0.118,2.0,25.7,5.1,3.7,0.5,0.2,0
Eddie Jones,1994,0.548,0.122,2.1,14.0,3.9,2.0,2.0,0.6,0
Elliot Perry,1994,0.59,0.126,2.1,9.7,1.8,4.8,1.9,0.0,0
Terrell Brandon,1994,0.527,0.137,2.8,13.3,2.8,5.4,1.6,0.2,0
John Salley,1994,0.563,0.089,0.4,7.3,4.5,1.6,0.6,1.1,0
Winston Garland,1994,0.488,0.03,-0.3,6.1,2.3,4.4,1.0,0.2,0
Johnny Newman,1994,0.563,0.07,-0.3,7.7,2.1,1.1,0.8,0.2,0
Mario Elie,1994,0.631,0.122,1.0,8.8,2.4,2.3,0.8,0.1,0
Sam Cassell,1994,0.556,0.12,1.1,9.5,2.6,4.9,1.1,0.2,0
Ken Norman,1994,0.511,0.081,0.4,12.7,4.9,1.3,0.5,0.3,0
David Benoit,1994,0.564,0.121,0.8,10.4,5.2,0.8,0.6,0.7,0
Donald Royal,1994,0.561,0.094,0.1,9.1,4.0,2.8,0.6,0.2,0
Steve Kerr,1994,0.635,0.153,1.4,8.2,1.5,1.8,0.5,0.0,0
Brian Shaw,1994,0.468,0.035,-0.1,6.4,3.1,5.2,0.9,0.2,0
Wesley Person,1994,0.596,0.101,0.9,10.4,2.6,1.3,0.6,0.3,0
Jalen Rose,1994,0.55,0.103,1.1,8.2,2.7,4.8,0.8,0.3,0
Scott Williams,1994,0.51,0.084,-0.1,6.4,6.3,0.8,0.9,0.5,0
Rafael Addison,1994,0.521,0.04,-0.6,8.3,3.1,1.4,0.7,0.3,0
Terry Dehere,1994,0.513,0.013,-0.9,10.4,1.9,2.8,0.6,0.1,0
Harvey Grant,1994,0.498,0.108,0.8,9.1,3.8,1.1,0.7,0.7,0
Lee Mayberry,1994,0.533,0.044,-0.3,5.8,1.0,3.4,0.6,0.0,0
Michael Smith,1994,0.544,0.101,0.5,6.9,5.9,0.8,0.7,0.6,0
Keith Jennings,1994,0.598,0.117,1.3,7.4,1.9,4.7,1.2,0.0,0
Vincent Askew,1994,0.577,0.128,0.8,9.9,2.5,2.5,0.7,0.2,0
Gheorghe Mureșan,1994,0.591,0.116,0.5,10.0,6.7,0.5,0.7,1.7,0
Dell Curry,1994,0.565,0.093,1.5,13.6,2.4,1.6,0.8,0.3,0
Matt Geiger,1994,0.563,0.077,-0.3,8.3,5.6,0.7,0.6,0.7,0
Doug Overton,1994,0.521,0.048,-0.3,7.0,1.7,3.0,0.6,0.0,0
Hubert Davis,1994,0.612,0.136,1.8,10.0,1.3,1.8,0.4,0.1,0
Lucious Harris,1994,0.548,0.117,1.3,9.5,2.8,1.7,0.7,0.2,0
Antoine Carr,1994,0.588,0.123,0.2,9.6,3.4,0.9,0.3,0.9,0
Bo Outlaw,1994,0.519,0.071,1.0,5.2,3.9,1.0,1.1,1.9,0
Malik Sealy,1994,0.507,0.062,0.3,13.0,3.6,1.8,1.2,0.4,0
Benoit Benjamin,1994,0.555,0.066,-0.3,11.1,7.2,0.6,0.4,1.0,0
Will Perdue,1994,0.57,0.142,0.3,8.0,6.7,1.2,0.3,0.7,0
Dennis Rodman,1994,0.604,0.178,1.5,7.1,16.8,2.0,0.6,0.5,3
Charles Oakley,1994,0.551,0.138,1.0,10.1,8.9,2.5,1.2,0.1,0
J.R. Reid,1994,0.565,0.106,0.1,7.0,4.9,0.7,0.7,0.4,0
Willie Burton,1994,0.561,0.079,0.4,15.3,3.1,1.8,0.6,0.4,0
Anthony Peeler,1994,0.528,0.073,0.1,10.4,2.3,1.7,0.7,0.2,0
Oliver Miller,1994,0.577,0.095,0.8,8.5,7.4,1.5,0.9,1.8,0
Mitchell Butler,1994,0.506,0.01,-0.6,7.9,2.2,1.2,0.8,0.1,0
Mark West,1994,0.555,0.057,-0.8,7.5,6.1,0.3,0.4,1.5,0
James Robinson,1994,0.484,0.038,-0.1,9.2,1.9,2.5,0.7,0.2,0
Ron Harper,1994,0.483,0.073,0.6,6.9,2.3,2.0,1.3,0.4,0
Byron Scott,1994,0.587,0.124,1.3,10.0,1.9,1.4,0.8,0.2,0
Danny Manning,1994,0.578,0.109,1.1,17.9,6.0,3.3,0.9,1.2,0
Dennis Scott,1994,0.577,0.147,1.7,12.9,2.4,2.1,0.7,0.2,0
Clifford Rozier,1994,0.49,0.043,-0.9,6.8,7.4,0.7,0.5,0.6,0
Chris Gatling,1994,0.64,0.129,0.8,13.7,7.6,0.9,0.7,0.9,0
Rex Chapman,1994,0.516,0.081,1.0,16.2,2.5,2.8,1.5,0.3,0
Khalid Reeves,1994,0.561,0.115,1.4,9.2,2.8,4.3,1.1,0.1,0
Rex Walters,1994,0.532,0.052,-0.3,6.5,1.2,1.5,0.5,0.2,0
Xavier McDaniel,1994,0.488,0.046,-0.1,8.6,4.4,1.6,0.4,0.3,0
Tyrone Corbin,1994,0.488,0.073,-0.1,6.2,3.2,0.8,0.7,0.2,0
Sedale Threatt,1994,0.574,0.131,0.9,9.5,2.1,4.2,0.9,0.2,0
David Wesley,1994,0.533,0.091,0.9,7.4,2.3,5.2,1.6,0.2,0
Sam Mitchell,1994,0.54,0.13,0.3,6.5,3.0,0.8,0.5,0.2,0
Mark Price,1994,0.554,0.147,2.4,15.8,2.3,7.0,0.7,0.1,0
Danny Ainge,1994,0.596,0.118,0.8,7.7,1.5,2.8,0.6,0.1,0
Roy Tarpley,1994,0.521,0.098,0.5,12.6,8.2,1.1,0.8,1.0,0
Robert Parish,1994,0.467,0.051,-0.6,4.8,4.3,0.5,0.3,0.4,0
Kevin Johnson,1994,0.561,0.169,1.9,15.5,2.4,7.7,1.0,0.4,0
Pete Chilcutt,1994,0.517,0.074,-0.1,5.3,4.7,1.0,0.4,0.6,0
Derek Strong,1994,0.545,0.086,-0.3,6.3,5.4,0.6,0.3,0.2,0
David Wood,1994,0.567,0.078,-0.4,5.5,3.1,0.8,0.4,0.2,0
Carl Herrera,1994,0.548,0.076,-0.3,6.8,4.6,0.7,0.7,0.6,0
Danny Ferry,1994,0.572,0.144,1.5,7.5,1.7,1.2,0.3,0.3,0
Wayman Tisdale,1994,0.518,0.065,-0.7,10.0,3.8,0.7,0.4,0.4,0
Terry Cummings,1994,0.502,0.076,-0.5,6.8,5.0,0.8,0.5,0.3,0
Adam Keefe,1994,0.616,0.154,0.5,6.1,4.4,0.4,0.5,0.3,0
Pete Myers,1994,0.472,0.049,-0.1,4.5,2.0,2.1,0.8,0.2,0
Anthony Bowie,1994,0.532,0.077,0.0,5.5,1.8,2.1,0.6,0.3,0
Bison Dele,1994,0.616,0.089,0.0,7.9,4.7,0.8,0.6,0.7,0
Tom Chambers,1994,0.517,0.098,-0.1,6.2,2.6,0.9,0.3,0.4,0
Victor Alexander,1994,0.53,0.044,-0.3,10.0,5.8,1.2,0.6,0.6,0
Sam Bowie,1994,0.5,0.044,-0.1,4.6,4.3,1.8,0.3,1.2,0
Kevin Gamble,1994,0.567,0.134,1.1,7.4,1.6,1.5,0.7,0.1,0
Eric Piatkowski,1994,0.559,0.079,0.4,7.0,1.6,1.0,0.5,0.2,0
Šarūnas Marčiulionis,1994,0.562,0.092,0.3,9.3,1.0,1.7,1.1,0.0,0
Johnny Dawkins,1994,0.552,0.046,0.0,6.5,2.3,4.1,1.0,0.0,0
Craig Ehlo,1994,0.526,0.088,0.7,9.7,3.0,2.3,0.9,0.1,0
Robert Pack,1994,0.537,0.091,0.9,12.1,2.7,6.9,1.5,0.1,0
Greg Foster,1994,0.525,0.042,-0.9,4.9,3.3,0.5,0.2,0.4,0
Jerome Kersey,1994,0.467,0.104,0.3,8.1,4.1,1.3,0.8,0.6,0
Tony Campbell,1994,0.508,0.089,-0.1,6.0,2.0,0.9,0.4,0.1,0
Anthony Bonner,1994,0.497,0.079,0.1,3.8,4.5,1.4,0.8,0.4,0
Blue Edwards,1994,0.531,0.053,-0.1,6.9,1.9,1.1,0.6,0.2,0
Bobby Hurley,1994,0.449,-0.014,-0.7,4.2,1.0,3.3,0.4,0.0,0
Jeff Grayer,1994,0.466,0.017,-0.5,8.3,3.2,1.6,0.6,0.1,0
Randy Brown,1994,0.491,0.071,0.6,4.7,1.6,2.0,1.5,0.3,0
Pervis Ellison,1994,0.546,0.08,-0.2,6.8,5.6,0.6,0.4,1.0,0
Chris Smith,1994,0.548,0.056,0.2,5.0,1.1,2.3,0.5,0.3,0
Anthony Avent,1994,0.466,0.069,-0.5,3.6,4.1,0.6,0.4,0.7,0
Lionel Simmons,1994,0.469,0.039,0.0,5.6,3.4,1.5,0.5,0.4,0
Don MacLean,1994,0.511,0.051,-0.6,11.0,4.2,1.3,0.4,0.1,0
Rick Fox,1994,0.573,0.128,1.0,8.8,2.9,2.6,1.0,0.4,0
Rony Seikaly,1994,0.566,0.032,-0.2,12.1,7.4,1.3,0.6,1.0,0
Derrick Alston,1994,0.481,0.045,-0.2,4.7,3.4,0.5,0.6,0.5,0
Antonio Davis,1994,0.521,0.095,-0.2,7.6,6.4,0.6,0.4,0.7,0
Haywoode Workman,1994,0.484,0.088,0.7,4.2,1.6,2.8,0.9,0.1,0
Tony Smith,1994,0.505,0.059,-0.1,5.6,1.8,1.7,0.8,0.1,0
Chris Childs,1994,0.495,0.058,-0.1,5.8,1.3,4.1,0.8,0.1,0
John Crotty,1994,0.519,0.097,0.4,3.7,1.2,2.6,0.5,0.1,0
Carlos Rogers,1994,0.542,0.045,-0.3,8.9,5.7,0.8,0.4,1.1,0
Luc Longley,1994,0.513,0.087,-0.4,6.5,4.8,1.3,0.4,0.8,0
Doc Rivers,1994,0.475,0.097,0.8,5.1,1.7,2.6,1.0,0.3,0
Jayson Williams,1994,0.482,0.102,-0.3,4.8,5.7,0.5,0.3,0.4,0
Anthony Tucker,1994,0.493,0.03,-0.3,3.9,2.7,1.1,0.7,0.2,0
Joe Kleine,1994,0.489,0.068,-0.7,3.7,3.5,0.5,0.2,0.2,0
Bill Wennington,1994,0.527,0.116,-0.5,5.0,2.6,0.5,0.3,0.2,0
Tom Hammonds,1994,0.607,0.129,0.0,5.9,3.2,0.5,0.2,0.2,0
George Lynch,1994,0.512,0.046,0.0,6.1,3.3,1.1,0.9,0.2,0
Greg Minor,1994,0.562,0.106,0.5,6.0,2.2,1.0,0.5,0.3,0
Lindsey Hunter,1994,0.459,-0.015,-0.4,7.5,1.8,3.8,1.2,0.2,0
Jon Koncak,1994,0.453,0.094,0.3,2.9,3.0,0.8,0.6,0.7,0
Greg Anthony,1994,0.57,0.147,1.1,6.1,1.0,2.6,0.8,0.1,0
Ervin Johnson,1994,0.469,0.067,-0.5,3.1,4.5,0.3,0.3,1.0,0
Felton Spencer,1994,0.578,0.104,-0.3,9.3,7.6,0.5,0.4,0.9,0
Ledell Eackles,1994,0.518,0.055,-0.2,7.3,1.8,1.3,0.4,0.0,0
Chris Mullin,1994,0.602,0.093,0.9,19.0,4.6,5.0,1.5,0.8,0
Corie Blount,1994,0.497,0.094,-0.1,3.5,3.5,0.9,0.4,0.5,0
Harold Miner,1994,0.474,-0.023,-0.8,7.3,2.6,1.5,0.3,0.1,0
Bryon Russell,1994,0.507,0.079,0.2,4.5,2.2,0.5,0.8,0.2,0
Keith Askins,1994,0.493,0.107,0.4,4.6,4.0,0.8,0.7,0.3,0
Pat Durham,1994,0.541,0.051,0.2,5.1,1.6,0.9,0.6,0.5,0
Ed Pinckney,1994,0.563,0.092,0.3,2.3,3.4,0.3,0.5,0.3,0
Sleepy Floyd,1994,0.427,-0.01,-0.9,4.1,1.1,2.6,0.3,0.1,0
Aaron McKie,1994,0.5,0.115,0.5,6.5,2.9,2.0,0.8,0.4,0
Doug Smith,1994,0.461,0.058,-0.3,5.1,2.3,0.7,0.5,0.4,0
Danny Schayes,1994,0.544,0.084,0.1,4.4,3.0,1.3,0.3,0.5,0
Duane Causwell,1994,0.55,0.105,0.1,3.6,3.0,0.3,0.2,1.4,0
Kevin Duckworth,1994,0.475,-0.002,-0.7,7.1,4.9,0.5,0.5,0.6,0
Chucky Brown,1994,0.619,0.123,-0.1,6.1,4.6,0.7,0.3,0.3,0
B.J. Tyler,1994,0.462,-0.039,-0.6,3.5,1.1,3.2,0.7,0.0,0
Scott Brooks,1994,0.55,0.11,0.4,5.8,1.1,2.0,0.6,0.1,0
Darrick Martin,1994,0.485,0.004,-0.5,7.5,1.9,3.9,1.0,0.0,0
George McCloud,1994,0.543,0.137,0.7,9.6,3.5,1.3,0.5,0.2,0
Stacey King,1994,0.518,0.003,-0.8,5.3,3.3,0.5,0.5,0.4,0
Alton Lister,1994,0.507,0.062,-0.3,2.8,3.9,0.2,0.3,1.0,0
Greg Graham,1994,0.492,0.02,-0.4,5.0,1.2,1.3,0.6,0.1,0
Terry Porter,1994,0.515,0.106,0.5,8.9,2.3,3.8,0.9,0.1,0
Steve Colter,1994,0.489,0.087,0.2,3.4,1.0,1.8,0.5,0.1,0
Herb Williams,1994,0.476,0.041,-0.2,3.3,2.4,0.5,0.2,0.8,0
Sean Higgins,1994,0.461,0.002,-0.8,4.7,1.4,0.5,0.2,0.2,0
Brad Lohaus,1994,0.562,0.099,0.6,4.4,1.7,0.7,0.3,0.4,0
Mark Macon,1994,0.468,0.033,0.0,5.0,1.4,1.1,1.2,0.0,0
Negele Knight,1994,0.442,-0.013,-0.4,4.2,1.3,2.7,0.4,0.1,0
Greg Sutton,1994,0.526,0.058,-0.1,5.0,1.1,1.7,0.6,0.0,0
Vern Fleming,1994,0.551,0.132,0.4,4.6,1.6,2.0,0.5,0.0,0
Jamie Watson,1994,0.552,0.055,0.1,3.3,1.2,1.0,0.6,0.2,0
Ricky Pierce,1994,0.562,0.107,0.2,12.5,2.4,1.5,0.8,0.1,0
Ryan Lorthridge,1994,0.52,0.032,-0.1,7.4,1.9,2.7,0.8,0.0,0
Michael Jordan,1994,0.493,0.167,1.1,26.9,6.9,5.3,1.8,0.8,0
Jeff Malone,1994,0.565,0.094,0.2,18.4,2.9,1.5,0.8,0.0,0
Mark Bryant,1994,0.555,0.116,0.1,5.0,3.3,0.6,0.4,0.3,0
Harold Ellis,1994,0.524,0.066,0.4,3.7,1.3,0.6,1.0,0.2,0
Donald Hodge,1994,0.461,0.026,-0.5,3.9,2.3,0.8,0.2,0.3,0
Rick Mahorn,1994,0.574,0.093,-0.3,3.4,2.8,0.4,0.2,0.2,0
Eric Leckner,1994,0.572,0.069,-0.6,3.9,3.1,0.2,0.3,0.3,0
Greg Anderson,1994,0.547,0.118,0.0,2.9,3.7,0.3,0.5,0.6,0
Tony Dumas,1994,0.465,0.0,-0.4,4.6,1.1,1.0,0.2,0.1,0
James Donaldson,1994,0.628,0.08,0.1,2.6,2.5,0.3,0.1,0.7,0
Duane Ferrell,1994,0.549,0.095,0.1,4.1,1.6,0.6,0.5,0.1,0
Jud Buechler,1994,0.542,0.122,0.4,3.8,1.7,0.9,0.4,0.2,0
Lloyd Daniels,1994,0.471,0.019,-0.2,6.9,2.1,1.3,0.7,0.3,0
Jon Barry,1994,0.564,0.084,0.2,3.7,0.9,1.6,0.6,0.1,0
Bill Curley,1994,0.477,0.042,-0.5,2.7,2.3,0.5,0.4,0.4,0
Eric Mobley,1994,0.593,0.107,0.1,3.9,3.3,0.5,0.2,0.6,0
Dickey Simpkins,1994,0.478,0.058,-0.4,3.5,2.6,0.6,0.2,0.1,0
Joe Wolf,1994,0.511,0.077,-0.3,1.4,2.0,0.6,0.1,0.1,0
Terry Davis,1994,0.493,0.039,-0.6,3.0,3.4,0.2,0.1,0.1,0
Jeff Turner,1994,0.522,0.091,-0.2,4.1,2.0,0.8,0.2,0.1,0
Antonio Harvey,1994,0.457,0.032,-0.3,3.0,1.7,0.4,0.3,0.7,0
Willie Anderson,1994,0.514,0.061,0.1,4.9,1.4,1.4,0.7,0.3,0
Howard Eisley,1994,0.43,-0.044,-0.7,2.4,1.0,1.9,0.4,0.1,0
Jim McIlvaine,1994,0.539,0.074,0.0,1.7,1.9,0.2,0.2,1.1,0
Anthony Miller,1994,0.571,0.111,0.0,4.1,3.3,0.8,0.4,0.2,0
Tracy Murray,1994,0.513,0.047,-0.3,4.8,1.1,0.4,0.3,0.1,0
David Wingate,1994,0.46,0.037,-0.1,2.3,1.2,1.1,0.4,0.1,0
Alaa Abdelnaby,1994,0.519,0.027,-0.3,4.7,2.1,0.2,0.3,0.2,0
Monty Williams,1994,0.458,0.032,-0.2,3.3,2.4,1.2,0.5,0.1,0
Randy Woods,1994,0.464,0.015,0.0,2.0,0.7,2.2,0.7,0.0,0
Greg Dreiling,1994,0.458,0.059,-0.5,1.9,2.0,0.4,0.1,0.4,0
Tree Rollins,1994,0.548,0.054,-0.1,1.2,1.9,0.2,0.1,0.7,0
Gary Grant,1994,0.539,0.065,0.0,6.2,1.1,2.8,0.9,0.1,0
Cliff Levingston,1994,0.431,0.052,-0.2,2.3,2.2,0.5,0.2,0.4,0
Kevin Edwards,1994,0.568,0.061,0.0,14.0,2.6,1.9,1.4,0.4,0
LaSalle Thompson,1994,0.448,0.015,-0.4,2.9,2.3,0.5,0.5,0.3,0
Tim Perry,1994,0.397,-0.006,-0.4,1.8,2.1,0.3,0.2,0.4,0
Michael Adams,1994,0.583,0.169,0.6,6.5,1.0,3.3,0.8,0.0,0
Eric Riley,1994,0.511,0.063,-0.2,4.4,2.8,0.3,0.4,0.9,0
Bill Cartwright,1994,0.434,0.021,-0.5,2.4,3.0,0.3,0.2,0.1,0
Darrin Hancock,1994,0.554,0.049,0.0,3.3,1.2,0.7,0.4,0.1,0
Morlon Wiley,1994,0.564,0.124,0.4,3.2,1.0,1.7,0.5,0.0,0
Kenny Gattison,1994,0.51,0.055,-0.3,6.0,3.6,0.8,0.3,0.7,0
John Williams,1994,0.397,-0.055,-0.4,2.9,1.8,0.8,0.3,0.1,0
Dwayne Morton,1994,0.502,0.025,-0.1,4.1,1.4,0.4,0.3,0.4,0
Steve Henson,1994,0.613,0.13,0.1,3.2,0.7,2.3,0.2,0.0,0
Tim Legler,1994,0.677,0.135,0.3,7.3,1.7,1.1,0.5,0.0,0
Matt Fish,1994,0.516,0.03,-0.2,4.7,3.2,0.7,0.6,0.3,0
Elmore Spencer,1994,0.471,-0.085,-0.3,6.9,3.4,1.3,0.7,1.2,0
Larry Stewart,1994,0.499,0.063,0.0,2.6,1.7,0.5,0.4,0.2,0
Tim Breaux,1994,0.449,0.0,-0.3,3.0,0.8,0.4,0.3,0.1,0
Ivano Newbill,1994,0.366,0.022,-0.3,1.2,2.4,0.5,0.4,0.3,0
Trevor Ruffin,1994,0.545,0.009,0.0,4.8,0.5,1.0,0.3,0.0,0
Dwayne Schintzius,1994,0.39,-0.012,-0.3,2.0,1.9,0.3,0.1,0.4,0
Ennis Whatley,1994,0.522,0.109,0.1,2.6,1.1,2.0,0.7,0.0,0
Walter Bond,1994,0.577,0.072,0.0,4.7,1.4,1.0,0.3,0.2,0
Larry Krystkowiak,1994,0.487,0.051,-0.1,4.4,3.1,1.4,0.5,0.1,0
John Battle,1994,0.462,0.038,-0.1,4.1,0.4,1.3,0.3,0.0,0
Corey Gaines,1994,0.492,0.013,-0.1,5.0,1.6,3.0,0.7,0.1,0
James Edwards,1994,0.414,0.002,-0.3,2.7,1.5,0.3,0.2,0.3,0
Kenny Walker,1994,0.525,0.023,-0.3,2.4,2.0,0.3,0.2,0.2,0
Byron Houston,1994,0.533,0.091,-0.2,3.4,1.4,0.2,0.3,0.1,0
Jaren Jackson,1994,0.446,0.006,-0.1,3.3,2.0,0.9,0.4,0.2,0
Brooks Thompson,1994,0.486,0.022,-0.2,3.1,0.6,1.1,0.3,0.1,0
Charles Shackleford,1994,0.637,0.16,0.1,4.5,3.2,0.4,0.4,0.3,0
Reggie Slater,1994,0.57,0.081,0.0,4.8,2.3,0.5,0.3,0.1,0
Fred Roberts,1994,0.479,0.092,-0.1,3.8,1.6,0.4,0.3,0.1,0
Mike Brown,1994,0.337,-0.097,-0.4,1.3,1.7,0.4,0.3,0.0,0
Doug Edwards,1994,0.54,0.043,-0.2,1.8,1.3,0.3,0.1,0.1,0
Acie Earl,1994,0.409,-0.038,-0.4,2.2,1.5,0.1,0.2,0.3,0
Jay Humphries,1994,0.28,-0.1,-0.3,1.1,0.7,1.1,0.5,0.0,0
Kurt Rambis,1994,0.546,0.076,0.0,1.7,1.3,0.6,0.1,0.3,0
Kevin Pritchard,1994,0.533,0.038,-0.1,2.3,0.6,1.8,0.1,0.1,0
Jim Les,1994,0.501,0.05,-0.1,2.1,1.1,1.8,0.2,0.0,0
Žan Tabak,1994,0.518,0.043,-0.3,2.0,1.5,0.1,0.1,0.2,0
Chris Whitney,1994,0.405,-0.044,-0.3,1.7,0.5,1.1,0.2,0.0,0
Andrés Guibert,1994,0.406,-0.02,-0.2,2.6,2.6,0.6,0.5,0.1,0
Richard Dumas,1994,0.512,0.072,0.0,5.5,1.9,0.5,0.7,0.1,0
Jerome Harmon,1994,0.413,0.009,0.0,4.6,2.3,1.2,0.9,0.0,0
Greg Grant,1994,0.405,0.011,-0.1,2.2,0.6,3.1,0.4,0.1,0
Henry Turner,1994,0.47,0.038,-0.1,2.3,0.9,0.2,0.3,0.0,0
Moses Malone,1994,0.499,0.088,0.0,2.9,2.7,0.4,0.1,0.2,0
Trevor Wilson,1994,0.509,0.103,0.1,3.1,1.7,0.8,0.3,0.1,0
Askia Jones,1994,0.441,-0.021,-0.2,4.1,1.0,1.5,0.5,0.0,0
Jo Jo English,1994,0.481,0.053,0.0,5.4,0.4,0.9,0.9,0.1,0
Jack Haley,1994,0.486,0.01,-0.2,2.4,0.9,0.1,0.1,0.2,0
Steve Scheffler,1994,0.631,0.193,0.1,2.2,1.3,0.2,0.1,0.1,0
Alphonso Ford,1994,0.238,-0.21,-0.2,3.8,4.0,1.8,0.2,0.0,0
Julius Nwosu,1994,0.437,-0.009,-0.2,1.3,1.0,0.1,0.0,0.1,0
Randolph Keys,1994,0.372,-0.008,-0.1,3.3,2.8,0.3,0.2,0.3,0
Dontonio Wingfield,1994,0.415,0.007,-0.2,2.3,1.5,0.2,0.3,0.2,0
Manute Bol,1994,0.75,0.083,0.1,3.0,2.4,0.0,0.0,1.8,0
James Blackwell,1994,0.628,0.091,0.1,1.4,0.8,0.8,0.3,0.0,0
Doug Christie,1994,0.31,-0.202,-0.2,1.3,1.1,0.7,0.2,0.1,0
Danny Young,1994,0.688,0.141,0.1,3.4,0.7,1.7,0.6,0.0,0
Greg Kite,1994,0.187,-0.163,-0.3,0.7,2.0,0.1,0.0,0.0,0
Doug Lee,1994,0.628,0.229,0.1,2.0,0.2,0.2,0.3,0.1,0
Sergei Bazarevich,1994,0.578,0.101,0.0,3.0,0.7,1.4,0.1,0.1,0
Aaron Williams,1994,0.41,-0.067,-0.1,1.6,1.3,0.0,0.1,0.4,0
LaPhonso Ellis,1994,0.434,0.032,0.0,4.0,2.8,0.7,0.2,0.8,0
Tom Tolbert,1994,0.371,-0.015,-0.1,1.4,1.7,0.2,0.0,0.0,0
Antonio Lang,1994,0.468,-0.083,-0.1,0.9,0.3,0.1,0.0,0.2,0
Aaron Swinson,1994,0.594,0.039,-0.1,2.7,0.9,0.3,0.1,0.0,0
Rod Higgins,1994,0.363,0.003,0.0,2.0,1.4,0.6,0.2,0.2,0
Tony Bennett,1994,0.538,-0.006,-0.1,4.7,0.7,1.3,0.0,0.0,0
Charlie Ward,1994,0.342,-0.258,-0.1,1.6,0.6,0.4,0.2,0.0,0
Brian Oliver,1994,0.559,0.022,0.0,2.3,0.7,0.7,0.0,0.0,0
Mark Randall,1994,0.3,-0.02,-0.1,0.8,1.5,0.1,0.0,0.0,0
Charles Jones,1994,0.387,0.05,0.0,1.0,2.3,0.0,0.0,0.3,0
Adrian Caldwell,1994,0.377,0.02,0.0,0.7,1.4,0.0,0.1,0.0,0
Corey Crowder,1994,0.237,-0.224,-0.1,0.9,0.4,0.1,0.1,0.0,0
Gerald Madkins,1994,0.515,-0.029,0.0,1.1,0.0,0.1,0.3,0.0,0
Micheal Williams,1994,0.484,-0.057,0.0,6.0,1.0,3.0,2.0,0.0,0
Fred Vinson,1994,0.269,-0.18,-0.1,0.8,0.0,0.2,0.0,0.0,0
Mike Peplowski,1994,0.935,0.142,0.0,1.8,0.5,0.2,0.2,0.0,0
Elmer Bennett,1994,0.588,0.206,0.1,3.8,0.3,0.8,1.0,0.0,0
Tony Harris,1994,0.585,0.172,0.0,4.7,0.0,0.0,0.0,0.0,0
Bob Martin,1994,0.2,-0.107,0.0,2.0,2.0,1.0,0.0,1.0,0
Eldridge Recasner,1994,0.387,-0.047,0.0,2.0,0.7,0.3,1.0,0.0,0
