Season,Team,Voting,Player,Position
2015-16,2nd,(V),Chris Paul ,G
2015-16,2nd,(V),Damian Lillard ,G
2015-16,3rd,(V),Andre Drummond ,C
2015-16,3rd,(V),Paul George ,F
2015-16,3rd,(V),LaMarcus Aldridge ,F
2015-16,3rd,(V),Klay Thompson ,G
2015-16,3rd,(V),Kyle Lowry ,G
,,,,
,,,,
,,,,
,,,,
,,,,
2014-15,1st,(V),Marc Gasol ,C
2014-15,1st,(V),LeBron James ,F
2014-15,1st,(V),Anthony Davis ,F
2014-15,1st,(V),Stephen Curry ,G
2014-15,1st,(V),James Harden ,G
2014-15,2nd,(V),DeMarcus Cousins ,C
2014-15,2nd,(V),Pau Gasol ,C
2014-15,2nd,(V),LaMarcus Aldridge ,F
2014-15,2nd,(V),Russell Westbrook ,G
2014-15,2nd,(V),Chris Paul ,G
2014-15,3rd,(V),DeAndre Jordan ,C
2014-15,3rd,(V),Blake Griffin ,F
2014-15,3rd,(V),Tim Duncan ,F
2014-15,3rd,(V),Klay Thompson ,G
2014-15,3rd,(V),Kyrie Irving ,G
,,,,
,,,,
,,,,
,,,,
,,,,
2013-14,1st,(V),Joakim Noah ,C
2013-14,1st,(V),Kevin Durant ,F
2013-14,1st,(V),LeBron James ,F
2013-14,1st,(V),James Harden ,G
2013-14,1st,(V),Chris Paul ,G
2013-14,2nd,(V),Dwight Howard ,C
2013-14,2nd,(V),Blake Griffin ,F
2013-14,2nd,(V),Kevin Love ,F
2013-14,2nd,(V),Stephen Curry ,G
2013-14,2nd,(V),Tony Parker ,G
2013-14,3rd,(V),Al Jefferson ,C
2013-14,3rd,(V),Paul George ,F
2013-14,3rd,(V),LaMarcus Aldridge ,F
2013-14,3rd,(V),Goran Dragić ,G
2013-14,3rd,(V),Damian Lillard ,G
,,,,
,,,,
,,,,
,,,,
,,,,
2012-13,1st,(V),Tim Duncan ,C
2012-13,1st,(V),Kevin Durant ,F
2012-13,1st,(V),LeBron James ,F
2012-13,1st,(V),Kobe Bryant ,G
2012-13,1st,(V),Chris Paul ,G
2012-13,2nd,(V),Marc Gasol ,C
2012-13,2nd,(V),Carmelo Anthony ,F
2012-13,2nd,(V),Blake Griffin ,F
2012-13,2nd,(V),Tony Parker ,G
2012-13,2nd,(V),Russell Westbrook ,G
2012-13,3rd,(V),Dwight Howard ,C
2012-13,3rd,(V),Paul George ,F
2012-13,3rd,(V),David Lee ,F
2012-13,3rd,(V),James Harden ,G
2012-13,3rd,(V),Dwyane Wade ,G
,,,,
,,,,
,,,,
,,,,
,,,,
2011-12,1st,(V),Dwight Howard ,C
2011-12,1st,(V),Kevin Durant ,F
2011-12,1st,(V),LeBron James ,F
2011-12,1st,(V),Kobe Bryant ,G
2011-12,1st,(V),Chris Paul ,G
2011-12,2nd,(V),Andrew Bynum ,C
2011-12,2nd,(V),Blake Griffin ,F
2011-12,2nd,(V),Kevin Love ,F
